Treatment,Session,GroupID,Round,group_relative_contribution,surplus,gini,success,game
FE,1,1,1,0.479166666667,1.05416666667,0.0836713995943,,linear
FE,1,1,2,0.520833333333,1.14583333333,0.0752427184466,,linear
FE,1,1,3,0.21875,0.48125,0.0650492264416,,linear
FE,1,1,4,0.291666666667,0.641666666667,0.120558375635,,linear
FE,1,1,5,0.364583333333,0.802083333333,0.0852601156069,,linear
FE,1,1,6,0.4375,0.9625,0.0875796178344,,linear
FE,1,1,7,0.708333333333,1.55833333333,0.0692182410423,,linear
FE,1,1,8,0.583333333333,1.28333333333,0.0912408759124,,linear
FE,1,1,9,0.34375,0.75625,0.108244365362,,linear
FE,1,1,10,0.59375,1.30625,0.0982384823848,,linear
FE,1,1,11,0.291666666667,0.641666666667,0.120558375635,,linear
FE,1,1,12,0.34375,0.75625,0.10231316726,,linear
FE,1,1,13,0.416666666667,0.916666666667,0.0869565217391,,linear
FE,1,1,14,0.385416666667,0.847916666667,0.0859639233371,,linear
FE,1,1,15,0.541666666667,1.19166666667,0.0760456273764,,linear
FE,1,1,16,0.510416666667,1.12291666667,0.0797350343474,,linear
FE,1,1,17,0.489583333333,1.07708333333,0.0814944834504,,linear
FE,1,1,18,0.5,1.1,0.0744047619048,,linear
FE,1,1,19,0.385416666667,0.847916666667,0.111330326945,,linear
FE,1,1,20,0.708333333333,1.55833333333,0.0773615635179,,linear
FE,1,2,1,0.5625,1.2375,0.0721601489758,,linear
FE,1,2,2,0.583333333333,1.28333333333,0.0342153284672,,linear
FE,1,2,3,0.75,1.65,0.0471698113208,,linear
FE,1,2,4,0.875,1.925,0.0106837606838,,linear
FE,1,2,5,0.8125,1.7875,0.026158445441,,linear
FE,1,2,6,0.729166666667,1.60416666667,0.048,,linear
FE,1,2,7,0.75,1.65,0.0491352201258,,linear
FE,1,2,8,0.572916666667,1.26041666667,0.0794930875576,,linear
FE,1,2,9,0.666666666667,1.46666666667,0.0548986486486,,linear
FE,1,2,10,0.572916666667,1.26041666667,0.0541474654378,,linear
FE,1,2,11,0.46875,1.03125,0.0884615384615,,linear
FE,1,2,12,0.458333333333,1.00833333333,0.0959543568465,,linear
FE,1,2,13,0.5625,1.2375,0.0721601489758,,linear
FE,1,2,14,0.760416666667,1.67291666667,0.0496882307093,,linear
FE,1,2,15,0.760416666667,1.67291666667,0.0496882307093,,linear
FE,1,2,16,0.708333333333,1.55833333333,0.057003257329,,linear
FE,1,2,17,0.5,1.1,0.0892857142857,,linear
FE,1,2,18,0.40625,0.89375,0.119636963696,,linear
FE,1,2,19,0.229166666667,0.504166666667,0.114265927978,,linear
FE,1,2,20,0.354166666667,0.779166666667,0.120023419204,,linear
FE,1,3,1,0.510416666667,1.12291666667,0.116535819431,,linear
FE,1,3,2,0.729166666667,1.60416666667,0.07,,linear
FE,1,3,3,0.75,1.65,0.0707547169811,,linear
FE,1,3,4,0.458333333333,1.00833333333,0.119294605809,,linear
FE,1,3,5,0.333333333333,0.733333333333,0.0540865384615,,linear
FE,1,3,6,0.697916666667,1.53541666667,0.0770336894002,,linear
FE,1,3,7,0.375,0.825,0.114155251142,,linear
FE,1,3,8,0.75,1.65,0.0707547169811,,linear
FE,1,3,9,0.708333333333,1.55833333333,0.057003257329,,linear
FE,1,3,10,0.697916666667,1.53541666667,0.0770336894002,,linear
FE,1,3,11,0.770833333333,1.69583333333,0.0637557959815,,linear
FE,1,3,12,0.75,1.65,0.0707547169811,,linear
FE,1,3,13,0.625,1.375,0.0921052631579,,linear
FE,1,3,14,0.635416666667,1.39791666667,0.0879669852302,,linear
FE,1,3,15,0.75,1.65,0.0707547169811,,linear
FE,1,3,16,0.75,1.65,0.0707547169811,,linear
FE,1,3,17,0.5,1.1,0.119047619048,,linear
FE,1,3,18,0.75,1.65,0.0707547169811,,linear
FE,1,3,19,0.75,1.65,0.0707547169811,,linear
FE,1,3,20,0.75,1.65,0.0707547169811,,linear
FE,1,4,1,0.510416666667,1.12291666667,0.0748282630029,,linear
FE,1,4,2,0.5625,1.2375,0.0628491620112,,linear
FE,1,4,3,0.625,1.375,0.0723684210526,,linear
FE,1,4,4,0.729166666667,1.60416666667,0.046,,linear
FE,1,4,5,0.822916666667,1.81041666667,0.0213120830245,,linear
FE,1,4,6,0.697916666667,1.53541666667,0.0605998356615,,linear
FE,1,4,7,0.708333333333,1.55833333333,0.0366449511401,,linear
FE,1,4,8,0.572916666667,1.26041666667,0.0841013824885,,linear
FE,1,4,9,0.541666666667,1.19166666667,0.0807984790875,,linear
FE,1,4,10,0.458333333333,1.00833333333,0.0674273858921,,linear
FE,1,4,11,0.604166666667,1.32916666667,0.0469588550984,,linear
FE,1,4,12,0.5,1.1,0.014880952381,,linear
FE,1,4,13,0.5,1.1,0,,linear
FE,1,4,14,0.5625,1.2375,0.0162942271881,,linear
FE,1,4,15,0.53125,1.16875,0.0228146013449,,linear
FE,1,4,16,0.427083333333,0.939583333333,0.0362513426423,,linear
FE,1,4,17,0.489583333333,1.07708333333,0.0238214643932,,linear
FE,1,4,18,0.40625,0.89375,0.0398789878988,,linear
FE,1,4,19,0.197916666667,0.435416666667,0.0707547169811,,linear
FE,1,4,20,0.09375,0.20625,0.0410189982729,,linear
FE,1,5,1,0.71875,1.58125,0.0655770782889,,linear
FE,1,5,2,0.958333333333,2.10833333333,0.0100536193029,,linear
FE,1,5,3,1,2.2,0,,linear
FE,1,5,4,1,2.2,0,,linear
FE,1,5,5,1,2.2,0,,linear
FE,1,5,6,1,2.2,0,,linear
FE,1,5,7,1,2.2,0,,linear
FE,1,5,8,1,2.2,0,,linear
FE,1,5,9,1,2.2,0,,linear
FE,1,5,10,1,2.2,0,,linear
FE,1,5,11,1,2.2,0,,linear
FE,1,5,12,1,2.2,0,,linear
FE,1,5,13,1,2.2,0,,linear
FE,1,5,14,1,2.2,0,,linear
FE,1,5,15,1,2.2,0,,linear
FE,1,5,16,1,2.2,0,,linear
FE,1,5,17,1,2.2,0,,linear
FE,1,5,18,1,2.2,0,,linear
FE,1,5,19,1,2.2,0,,linear
FE,1,5,20,0.75,1.65,0.0707547169811,,linear
FE,1,6,1,0.479166666667,1.05416666667,0.0938133874239,,linear
FE,1,6,2,0.375,0.825,0.119863013699,,linear
FE,1,6,3,0.208333333333,0.458333333333,0.0714285714286,,linear
FE,1,6,4,0.260416666667,0.572916666667,0.091059602649,,linear
FE,1,6,5,0.239583333333,0.527083333333,0.0903819918145,,linear
FE,1,6,6,0.166666666667,0.366666666667,0.0876524390244,,linear
FE,1,6,7,0.520833333333,1.14583333333,0.0898058252427,,linear
FE,1,6,8,0.489583333333,1.07708333333,0.0488966900702,,linear
FE,1,6,9,0.447916666667,0.985416666667,0.053777544596,,linear
FE,1,6,10,0.4375,0.9625,0.0690021231423,,linear
FE,1,6,11,0.302083333333,0.664583333333,0.0923028785982,,linear
FE,1,6,12,0.291666666667,0.641666666667,0.0983502538071,,linear
FE,1,6,13,0.302083333333,0.664583333333,0.0891739674593,,linear
FE,1,6,14,0.333333333333,0.733333333333,0.0991586538462,,linear
FE,1,6,15,0,0,0,,linear
FE,1,6,16,0.0625,0.1375,0.03663003663,,linear
FE,1,6,17,0.166666666667,0.366666666667,0.0609756097561,,linear
FE,1,6,18,0.0833333333333,0.183333333333,0.0220070422535,,linear
FE,1,6,19,0.0208333333333,0.0458333333333,0.0149402390438,,linear
FE,1,6,20,0.364583333333,0.802083333333,0.117052023121,,linear
FE,1,7,1,0.53125,1.16875,0.0612391930836,,linear
FE,1,7,2,0.614583333333,1.35208333333,0.0387511071745,,linear
FE,1,7,3,0.645833333333,1.42083333333,0.0344234079174,,linear
FE,1,7,4,0.65625,1.44375,0.0287723785166,,linear
FE,1,7,5,0.697916666667,1.53541666667,0.0503286770748,,linear
FE,1,7,6,0.708333333333,1.55833333333,0.0488599348534,,linear
FE,1,7,7,0.822916666667,1.81041666667,0.0250185322461,,linear
FE,1,7,8,0.885416666667,1.94791666667,0.0150176678445,,linear
FE,1,7,9,0.90625,1.99375,0.0165274878219,,linear
FE,1,7,10,0.885416666667,1.94791666667,0.0114840989399,,linear
FE,1,7,11,0.947916666667,2.08541666667,0.0109723160027,,linear
FE,1,7,12,0.947916666667,2.08541666667,0.0092842673869,,linear
FE,1,7,13,0.958333333333,2.10833333333,0.00837801608579,,linear
FE,1,7,14,0.958333333333,2.10833333333,0.00502680965147,,linear
FE,1,7,15,0.96875,2.13125,0.00249500998004,,linear
FE,1,7,16,0.989583333333,2.17708333333,0.00245901639344,,linear
FE,1,7,17,1,2.2,0,,linear
FE,1,7,18,1,2.2,0,,linear
FE,1,7,19,1,2.2,0,,linear
FE,1,7,20,1,2.2,0,,linear
FE,1,8,1,0.760416666667,1.67291666667,0.0672252533125,,linear
FE,1,8,2,1,2.2,0,,linear
FE,1,8,3,1,2.2,0,,linear
FE,1,8,4,1,2.2,0,,linear
FE,1,8,5,1,2.2,0,,linear
FE,1,8,6,1,2.2,0,,linear
FE,1,8,7,1,2.2,0,,linear
FE,1,8,8,1,2.2,0,,linear
FE,1,8,9,1,2.2,0,,linear
FE,1,8,10,1,2.2,0,,linear
FE,1,8,11,1,2.2,0,,linear
FE,1,8,12,1,2.2,0,,linear
FE,1,8,13,1,2.2,0,,linear
FE,1,8,14,1,2.2,0,,linear
FE,1,8,15,1,2.2,0,,linear
FE,1,8,16,1,2.2,0,,linear
FE,1,8,17,1,2.2,0,,linear
FE,1,8,18,1,2.2,0,,linear
FE,1,8,19,0.760416666667,1.67291666667,0.0672252533125,,linear
FE,1,8,20,0.708333333333,1.55833333333,0.0773615635179,,linear
FE,1,9,1,0.71875,1.58125,0.069612590799,,linear
FE,1,9,2,0.791666666667,1.74166666667,0.0341945288754,,linear
FE,1,9,3,0.822916666667,1.81041666667,0.0250185322461,,linear
FE,1,9,4,0.833333333333,1.83333333333,0.0220588235294,,linear
FE,1,9,5,0.666666666667,1.46666666667,0.0675675675676,,linear
FE,1,9,6,0.822916666667,1.81041666667,0.0250185322461,,linear
FE,1,9,7,0.583333333333,1.28333333333,0.0729927007299,,linear
FE,1,9,8,0.364583333333,0.802083333333,0.0968208092486,,linear
FE,1,9,9,0.28125,0.61875,0.0981338481338,,linear
FE,1,9,10,0.354166666667,0.779166666667,0.0790398126464,,linear
FE,1,9,11,0.291666666667,0.641666666667,0.0571065989848,,linear
FE,1,9,12,0.270833333333,0.595833333333,0.0620104438642,,linear
FE,1,9,13,0.333333333333,0.733333333333,0.0360576923077,,linear
FE,1,9,14,0.395833333333,0.870833333333,0.0306236080178,,linear
FE,1,9,15,0.5625,1.2375,0.0349162011173,,linear
FE,1,9,16,0.666666666667,1.46666666667,0.0337837837838,,linear
FE,1,9,17,0.65625,1.44375,0.022378516624,,linear
FE,1,9,18,0.604166666667,1.32916666667,0.0268336314848,,linear
FE,1,9,19,0.291666666667,0.641666666667,0.0920050761421,,linear
FE,1,9,20,0.135416666667,0.297916666667,0.0742375601926,,linear
FE,1,10,1,0.875,1.925,0.0320512820513,,linear
FE,1,10,2,0.875,1.925,0.0320512820513,,linear
FE,1,10,3,1,2.2,0,,linear
FE,1,10,4,1,2.2,0,,linear
FE,1,10,5,1,2.2,0,,linear
FE,1,10,6,1,2.2,0,,linear
FE,1,10,7,0.989583333333,2.17708333333,0.00245901639344,,linear
FE,1,10,8,1,2.2,0,,linear
FE,1,10,9,0.875,1.925,0.0320512820513,,linear
FE,1,10,10,0.833333333333,1.83333333333,0.0367647058824,,linear
FE,1,10,11,0.75,1.65,0.0471698113208,,linear
FE,1,10,12,0.75,1.65,0.0471698113208,,linear
FE,1,10,13,0.75,1.65,0.0471698113208,,linear
FE,1,10,14,0.75,1.65,0.0471698113208,,linear
FE,1,10,15,0.75,1.65,0.0471698113208,,linear
FE,1,10,16,0.625,1.375,0.0394736842105,,linear
FE,1,10,17,0.625,1.375,0.0394736842105,,linear
FE,1,10,18,0.625,1.375,0.0394736842105,,linear
FE,1,10,19,0.625,1.375,0.0394736842105,,linear
FE,1,10,20,0.5,1.1,0,,linear
FE,1,11,1,0.75,1.65,0.0707547169811,,linear
FE,1,11,2,0.8125,1.7875,0.0504484304933,,linear
FE,1,11,3,0.75,1.65,0.0707547169811,,linear
FE,1,11,4,0.645833333333,1.42083333333,0.0839070567986,,linear
FE,1,11,5,0.666666666667,1.46666666667,0.0760135135135,,linear
FE,1,11,6,0.541666666667,1.19166666667,0.0712927756654,,linear
