seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026090800,0.158833333333,1513,1461,1473,1553,0.603238020833,1.51721442708,0.0636723115663,,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_AI_2026090800,40,4000,0.600677083333,1.50320833333,0.0667103479267,
2026090801,0.0978333333333,1474,1539,1475,1512,0.706427213542,1.77628838542,0.0440813854847,,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_AI_2026090801,40,4000,0.704622395833,1.77277083333,0.0457940788524,
2026090802,0.126,1481,1524,1485,1510,0.696127864583,1.75775223958,0.0420775147367,,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_AI_2026090802,40,4000,0.705768229167,1.78233854167,0.0395941927288,
2026090803,0.105666666667,1512,1514,1482,1492,0.623979036458,1.58193130208,0.0558130543351,,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_AI_2026090803,40,4000,0.624427083333,1.58284895833,0.0568622254631,
2026090804,0.134666666667,1505,1503,1465,1527,0.631695833333,1.59220817708,0.0580730081456,,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_AI_2026090804,40,4000,0.6274609375,1.58328125,0.0568523341365,
2026090805,0.0291666666667,1484,1470,1493,1553,0.806795442708,2.06372520833,0.0247042310122,,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_AI_2026090805,40,4000,0.806119791667,2.06165104167,0.0247453999492,
2026090806,0.128666666667,1592,1480,1473,1455,0.657103515625,1.66150921875,0.0480223031326,,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_AI_2026090806,40,4000,0.6646484375,1.680421875,0.0484118717552,
2026090807,0.0681666666667,1509,1495,1498,1498,0.798752994792,2.03856572917,0.0196173503799,,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_AI_2026090807,40,4000,0.804583333333,2.05419270833,0.0185339638904,
2026090808,0.0533333333333,1537,1558,1463,1442,0.801605598958,2.03047458333,0.0238425392586,,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_AI_2026090808,40,4000,0.800533854167,2.02740104167,0.0245886100933,
2026090809,0.140166666667,1478,1467,1554,1501,0.614491145833,1.54617505208,0.0580779256654,,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_AI_2026090809,40,4000,0.611484375,1.54265625,0.0576893810456,
2026090810,0.0736666666667,1469,1504,1477,1550,0.7783015625,1.98778484375,0.031873540939,,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_AI_2026090810,40,4000,0.777565104167,1.98561979167,0.0321676865272,
