seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026090800,250,250,0.669795833333,1.70507583333,0.0488591922008,,0.156,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090801,250,250,0.57310625,1.439935,0.070516608836,,0.244,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090802,250,250,0.54478125,1.3783925,0.0694753821773,,0.192,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090803,250,250,0.675377083333,1.69002083333,0.0546058393483,,0.16,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090804,250,250,0.6177625,1.576115,0.0601055374384,,0.188,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090805,250,250,0.580525,1.4491525,0.0636845592363,,0.156,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090806,250,250,0.535366666667,1.35030166667,0.0756872406912,,0.26,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090807,250,250,0.687495833333,1.76031083333,0.036353420304,,0.088,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090808,250,250,0.601677083333,1.50287333333,0.0673093566577,,0.136,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090809,250,250,0.62525625,1.5790825,0.0543644526465,,0.076,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090810,250,250,0.6068875,1.51887,0.0723106737815,,0.152,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090811,250,250,0.582808333333,1.44790583333,0.0713960556267,,0.156,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090812,250,250,0.51030625,1.2686525,0.0876836929632,,0.26,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090813,250,250,0.499029166667,1.25132666667,0.0860074835303,,0.16,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090814,250,250,0.66975,1.6784975,0.0511697747867,,0.208,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090815,250,250,0.595735416667,1.49987916667,0.066437448924,,0.14,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090816,250,250,0.58026875,1.46802,0.0669208987785,,0.112,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090817,250,250,0.589133333333,1.49016333333,0.063387237216,,0.196,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090818,250,250,0.5860875,1.473045,0.0713390729873,,0.124,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090819,250,250,0.586883333333,1.47809333333,0.0694938969473,,0.2,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090820,250,250,0.6515875,1.6470925,0.0568812498467,,0.192,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090821,250,250,0.590966666667,1.47902166667,0.0661957919722,,0.276,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090822,250,250,0.584510416667,1.47546916667,0.0656733261128,,0.164,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090823,250,250,0.593602083333,1.49400833333,0.0693865820453,,0.24,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090824,250,250,0.51635,1.2889425,0.0859602005663,,0.224,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090825,250,250,0.69294375,1.73516,0.0481005463969,,0.056,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090826,250,250,0.5662,1.434735,0.0616909978263,,0.2,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090827,250,250,0.538904166667,1.35903416667,0.0703899042507,,0.18,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090828,250,250,0.6863,1.691635,0.0489176886206,,0.056,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090829,250,250,0.514427083333,1.29037333333,0.0822945286758,,0.208,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090830,250,250,0.56081875,1.4181825,0.0744853665688,,0.208,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090831,250,250,0.635022916667,1.63044166667,0.0505197182232,,0.144,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090800,500,250,0.77573125,1.9878325,0.0238184674257,,0.084,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090801,500,250,0.69063125,1.728965,0.0456848481207,,0.202,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090802,500,250,0.524164583333,1.32909833333,0.0761109091513,,0.254,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090803,500,250,0.568147916667,1.44165916667,0.0676782646172,,0.204,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090804,500,250,0.587795833333,1.48428333333,0.0665425857381,,0.198,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090805,500,250,0.721875,1.80875,0.0391333959696,,0.078,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090806,500,250,0.52648125,1.33024,0.0796929322494,,0.27,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090807,500,250,0.61319375,1.5498225,0.0606055162105,,0.142,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090808,500,250,0.622147916667,1.56801666667,0.0590090579183,,0.13,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090809,500,250,0.62513125,1.5468075,0.0691248198702,,0.1,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090810,500,250,0.522897916667,1.31802916667,0.0769721845112,,0.214,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090811,500,250,0.645583333333,1.60258333333,0.0604528189983,,0.124,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090812,500,250,0.58416875,1.48872,0.0587971592209,,0.25,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090813,500,250,0.778539583333,1.97086833333,0.0322788581975,,0.1,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090814,500,250,0.7121625,1.78867,0.0388222529559,,0.148,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090815,500,250,0.632108333333,1.64182333333,0.0438710421082,,0.12,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090816,500,250,0.594685416667,1.49693666667,0.0661871686544,,0.164,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090817,500,250,0.5614125,1.4298475,0.0637166756021,,0.166,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090818,500,250,0.666410416667,1.69082916667,0.0459370122079,,0.106,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090819,500,250,0.619595833333,1.57018333333,0.0607411426062,,0.206,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090820,500,250,0.7979375,2.0105125,0.0312592796421,,0.098,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090821,500,250,0.56988125,1.4395,0.0714603966398,,0.246,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090822,500,250,0.511864583333,1.28518333333,0.080223255233,,0.24,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090823,500,250,0.722216666667,1.80832166667,0.0319642399076,,0.124,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090824,500,250,0.535560416667,1.36189416667,0.0753685527095,,0.224,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090825,500,250,0.727329166667,1.83993916667,0.0414731948488,,0.056,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090826,500,250,0.65045625,1.61314,0.064859064404,,0.124,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090827,500,250,0.667789583333,1.68207333333,0.0463171777739,,0.118,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
2026090828,500,250,0.607660416667,1.54338666667,0.0608102294523,,0.15,baseline,linear,AI,6000,2000,100,20,13,0,14,1,random,mean,250
