seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026090700,250,250,0.476266666667,1.04778666667,0.0523587808585,,0.12,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090701,250,250,0.6397,1.40734,0.049456224921,,0.088,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090702,250,250,0.534995833333,1.17699083333,0.0557962349238,,0.272,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090703,250,250,0.489239583333,1.07632708333,0.0505438626302,,0.196,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090704,250,250,0.6106375,1.3434025,0.042842103817,,0.084,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090705,250,250,0.463997916667,1.02079541667,0.0575152738929,,0.34,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090706,250,250,0.62034375,1.36475625,0.0492721999112,,0.12,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090707,250,250,0.6632875,1.4592325,0.0480697483242,,0.02,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090708,250,250,0.494939583333,1.08886708333,0.0613706496643,,0.348,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090709,250,250,0.577233333333,1.26991333333,0.0480633044615,,0.072,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090710,250,250,0.5772125,1.2698675,0.0524950021482,,0.192,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090711,250,250,0.506589583333,1.11449708333,0.0570934622861,,0.192,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090712,250,250,0.553060416667,1.21673291667,0.0563364391646,,0.196,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090713,250,250,0.489933333333,1.07785333333,0.0531429443189,,0.32,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090714,250,250,0.5023625,1.1051975,0.0528966059074,,0.272,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090715,250,250,0.56146875,1.23523125,0.0464675324644,,0.236,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090716,250,250,0.607335416667,1.33613791667,0.0451530597709,,0.232,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090717,250,250,0.50168125,1.10369875,0.0625859144269,,0.24,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090718,250,250,0.51980625,1.14357375,0.0574179630601,,0.268,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090719,250,250,0.636733333333,1.40081333333,0.0435277604898,,0.132,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090720,250,250,0.578866666667,1.27350666667,0.0599155618647,,0.232,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090721,250,250,0.522941666667,1.15047166667,0.0597679372376,,0.248,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090722,250,250,0.518539583333,1.14078708333,0.0553516785147,,0.344,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090723,250,250,0.675004166667,1.48500916667,0.0436904699274,,0.032,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090724,250,250,0.600820833333,1.32180583333,0.0363427789052,,0.148,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090725,250,250,0.550610416667,1.21134291667,0.0539917391786,,0.22,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090726,250,250,0.517560416667,1.13863291667,0.0624586309249,,0.26,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090727,250,250,0.5978625,1.3152975,0.0535224256223,,0.18,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090728,250,250,0.527479166667,1.16045416667,0.0545851407001,,0.248,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090729,250,250,0.479483333333,1.05486333333,0.0562629223746,,0.332,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090730,250,250,0.605072916667,1.33116041667,0.0544755024988,,0.124,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090731,250,250,0.644689583333,1.41831708333,0.0457912335194,,0.168,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090700,500,250,0.703320833333,1.54730583333,0.0462339963183,,0.108,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090701,500,250,0.561752083333,1.23585458333,0.0501573983334,,0.164,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090702,500,250,0.495635416667,1.09039791667,0.056943768241,,0.218,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090703,500,250,0.5308,1.16776,0.0493616951813,,0.152,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
2026090704,500,250,0.622875,1.370325,0.0339409141099,,0.07,baseline,linear,FE,6000,2000,100,20,13,0,14,1,random,mean,250
