seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026090900,0.227333333333,1487,1501,1473,1539,0.563842708333,1.07652005208,0.0842188330706,,baseline,linear,MI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_MI_2026090900,40,4000,0.565182291667,1.07274479167,0.0800720436917,
2026090901,0.235666666667,1510,1421,1565,1504,0.554382161458,1.06544083333,0.086678302026,,baseline,linear,MI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_MI_2026090901,40,4000,0.555872395833,1.07197395833,0.0872614662345,
2026090902,0.2375,1562,1464,1500,1474,0.534381510417,1.02485197917,0.0905460540324,,baseline,linear,MI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_MI_2026090902,40,4000,0.520104166667,1.00057291667,0.0937657525031,
2026090903,0.2685,1485,1512,1546,1457,0.508812760417,0.979667604167,0.0973323175574,,baseline,linear,MI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_MI_2026090903,40,4000,0.51515625,0.989484375,0.0946710935514,
2026090904,0.221333333333,1500,1509,1481,1510,0.553447395833,1.07125817708,0.0904312275578,,baseline,linear,MI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_MI_2026090904,40,4000,0.5669921875,1.09971875,0.0887016817315,
2026090905,0.210166666667,1438,1528,1529,1505,0.646287760417,1.23535385417,0.0663144476125,,baseline,linear,MI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_MI_2026090905,40,4000,0.658229166667,1.25968229167,0.0643333801505,
2026090906,0.195,1520,1513,1507,1460,0.572125,1.0956790625,0.0828238947652,,baseline,linear,MI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_MI_2026090906,40,4000,0.559244791667,1.07446354167,0.0878394447459,
2026090907,0.264,1468,1500,1531,1501,0.55196484375,1.0576453125,0.0875356831894,,baseline,linear,MI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_MI_2026090907,40,4000,0.527747395833,1.01327083333,0.0918680415435,
2026090908,0.229333333333,1536,1508,1526,1430,0.56791875,1.0893659375,0.083361301314,,baseline,linear,MI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_MI_2026090908,40,4000,0.5706640625,1.0859375,0.0791140674526,
2026090909,0.192,1521,1537,1557,1385,0.540314973958,1.04792270833,0.0879254177404,,baseline,linear,MI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_MI_2026090909,40,4000,0.5374609375,1.043765625,0.0889977772483,
2026090910,0.1065,1454,1501,1520,1525,0.670910807292,1.28422635417,0.0567379448484,,baseline,linear,MI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_MI_2026090910,40,4000,0.677395833333,1.29517708333,0.0551063469198,
2026090911,0.195166666667,1531,1511,1491,1467,0.575741666667,1.10626182292,0.0809870179992,,baseline,linear,MI,6000,2000,100,20,13,0,14,1,random,mean,250,baseline_linear_MI_2026090911,40,4000,0.578763020833,1.10867708333,0.0810345996453,
