seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026100800,0.0155,1446,1536,1545,1473,0.55062421875,0.266646614583,0.0991189547631,0.980725,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_AI_2026100800,40,4000,0.550208333333,0.266458333333,0.0990739202212,0.98
2026100801,0.0213333333333,1498,1480,1487,1535,0.595042447917,0.170884635417,0.111130195839,0.9191125,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_AI_2026100801,40,4000,0.593268229167,0.171315104167,0.10946652091,0.9175
2026100802,0.0085,1546,1519,1422,1513,0.567829427083,0.225212239583,0.106956205633,0.95165,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_AI_2026100802,40,4000,0.567395833333,0.2253125,0.107212611211,0.95125
2026100803,0.0318333333333,1503,1421,1579,1497,0.198559375,-0.0911322916667,0.249459348258,0.1289125,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_AI_2026100803,40,4000,0.180065104167,-0.0988151041667,0.253826294162,0.0975
2026100804,0.0141666666667,1468,1544,1520,1468,0.569384375,0.228584375,0.100520867325,0.9575625,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_AI_2026100804,40,4000,0.569453125,0.228463541667,0.100473784962,0.9575
2026100805,0.0453333333333,1486,1494,1503,1517,0.338737109375,-0.151122526042,0.229538971039,0.2251375,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_AI_2026100805,40,4000,0.33421875,-0.151927083333,0.22882841577,0.21875
2026100806,0.0111666666667,1425,1567,1486,1522,0.520005078125,0.309203255208,0.0940722955019,0.99505,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_AI_2026100806,40,4000,0.519791666667,0.309375,0.0941741565416,0.995
2026100807,0.0206666666667,1504,1521,1465,1510,0.495228776042,0.293364973958,0.108012368595,0.9463125,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_AI_2026100807,40,4000,0.495546875,0.295078125,0.107409392983,0.94875
2026100808,0.019,1482,1534,1519,1465,0.547430859375,0.233819140625,0.107759588979,0.9375,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_AI_2026100808,40,4000,0.555416666667,0.245625,0.103983892883,0.96125
2026100809,0.0085,1471,1473,1585,1471,0.66424375,0.169089583333,0.072650009736,1,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_AI_2026100809,40,4000,0.6644140625,0.168919270833,0.0725419180992,1
