seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026100800,250,250,0.4431375,-0.1206375,0.233527554381,0.387,0.132,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100801,250,250,0.506602083333,0.06173125,0.168911282232,0.682,0.096,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100802,250,250,0.505329166667,0.0388375,0.172850893911,0.653,0.076,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100803,250,250,0.389858333333,-0.122358333333,0.249893152326,0.321,0.188,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100804,250,250,0.349916666667,-0.166916666667,0.28213862471,0.2196,0.152,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100805,250,250,0.413458333333,-0.249125,0.263097254165,0.1972,0.14,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100806,250,250,0.663472916667,0.0343604166667,0.121405323127,0.8374,0.032,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100807,250,250,0.444845833333,-0.138845833333,0.222465710449,0.3672,0.136,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100808,250,250,0.39466875,-0.170835416667,0.265866052448,0.2686,0.184,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100809,250,250,0.611960416667,0.158872916667,0.121349574311,0.925,0.052,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100810,250,250,0.501483333333,0.0950166666667,0.155519783958,0.7158,0.104,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100811,250,250,0.335939583333,-0.21110625,0.254148416341,0.1498,0.064,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100812,250,250,0.57656875,-0.01056875,0.152957691515,0.6792,0.124,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100813,250,250,0.55679375,0.210872916667,0.127195875439,0.9212,0.04,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100814,250,250,0.23455,-0.18705,0.256338647722,0.057,0.036,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100815,250,250,0.525685416667,0.19548125,0.1085909075,0.8654,0.06,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100816,250,250,0.46959375,-0.175927083333,0.231546172589,0.3524,0.092,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100817,250,250,0.423766666667,-0.0897666666667,0.233889299723,0.4008,0.176,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100818,250,250,0.331641666667,-0.191808333333,0.254218506072,0.1678,0.136,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100819,250,250,0.237741666667,-0.118741666667,0.27682743389,0.1428,0.052,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100820,250,250,0.620577083333,0.145589583333,0.119850476129,0.9194,0.06,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100821,250,250,0.448252083333,-0.11841875,0.251683573113,0.3958,0.144,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100822,250,250,0.421747916667,-0.128414583333,0.239636399555,0.352,0.108,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100823,250,250,0.536645833333,0.0255208333333,0.179662132707,0.6746,0.252,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100824,250,250,0.28568125,-0.268514583333,0.259454892673,0.0206,0.016,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100825,250,250,0.45835,-0.0756833333333,0.224590314084,0.4592,0.16,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100826,250,250,0.333870833333,-0.156204166667,0.270703116179,0.2132,0.128,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100827,250,250,0.4192375,-0.1807375,0.24251836131,0.2862,0.092,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100828,250,250,0.369789583333,-0.254789583333,0.242873470097,0.138,0.048,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100829,250,250,0.167885416667,-0.148052083333,0.296636012392,0.0238,0.02,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100830,250,250,0.556433333333,0.126566666667,0.13844384465,0.8196,0.096,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100831,250,250,0.444575,-0.0242416666667,0.211346282695,0.5044,0.052,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100800,500,250,0.395989583333,-0.165989583333,0.231034840737,0.276,0.072,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100801,500,250,0.378233333333,-0.2919,0.2800508675,0.1036,0.078,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100802,500,250,0.5516875,0.274979166667,0.0865100772301,0.992,0.042,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100803,500,250,0.305577083333,-0.156410416667,0.271211823178,0.179,0.136,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100804,500,250,0.46043125,0.107735416667,0.181767352702,0.6818,0.102,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100805,500,250,0.300358333333,-0.300358333333,0.298647739574,0,0.074,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100806,500,250,0.699539583333,0.05479375,0.0919376265128,0.9052,0.024,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100807,500,250,0.38218125,-0.138514583333,0.211395584023,0.2924,0.074,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100808,500,250,0.2887875,-0.266120833333,0.28886699961,0.0272,0.112,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100809,500,250,0.615625,0.176041666667,0.103978377907,0.95,0.028,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100810,500,250,0.505729166667,0.2859375,0.0932475444194,0.95,0.052,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100811,500,250,0.274260416667,-0.231260416667,0.277476741527,0.0516,0.06,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100812,500,250,0.742479166667,0.0823541666667,0.0951897394071,0.9898,0.088,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100813,500,250,0.5143875,0.198279166667,0.129699302852,0.8552,0.022,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100814,500,250,0.372708333333,-0.0965416666667,0.235239853517,0.3314,0.07,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100815,500,250,0.522627083333,0.291872916667,0.103968210369,0.9774,0.038,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100816,500,250,0.629547916667,0.127785416667,0.134739375069,0.9088,0.058,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100817,500,250,0.239152083333,-0.194652083333,0.279307241338,0.0534,0.096,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100818,500,250,0.270664583333,-0.22733125,0.245356759045,0.052,0.078,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100819,500,250,0.234102083333,-0.219935416667,0.27889964888,0.017,0.038,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100820,500,250,0.5705125,0.262820833333,0.0953671323446,1,0.036,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100821,500,250,0.433927083333,-0.0797604166667,0.23022003035,0.425,0.11,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100822,500,250,0.217129166667,-0.158295833333,0.279250954703,0.0706,0.064,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100823,500,250,0.556402083333,0.17843125,0.133299281303,0.8818,0.148,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100824,500,250,0.278645833333,-0.278645833333,0.260385584355,0,0.008,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100825,500,250,0.500610416667,0.0462229166667,0.17424859849,0.6562,0.122,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100826,500,250,0.31021875,-0.226552083333,0.229775969252,0.1004,0.096,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100827,500,250,0.3391125,-0.247779166667,0.275060423761,0.1096,0.048,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100828,500,250,0.35954375,-0.321877083333,0.246689275349,0.0452,0.032,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100829,500,250,0.439733333333,-0.0912333333333,0.230350582914,0.4182,0.082,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100830,500,250,0.551945833333,0.236054166667,0.0959388110767,0.9456,0.056,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100831,500,250,0.474364583333,-0.0428645833333,0.198876096627,0.5178,0.086,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100800,750,250,0.482,0.126333333333,0.151163022637,0.73,0.0626666666667,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100801,750,250,0.3737625,-0.1207625,0.25271155659,0.3036,0.0693333333333,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100802,750,250,0.5546875,0.278645833333,0.0821327683616,1,0.028,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100803,750,250,0.346108333333,-0.184275,0.25897506798,0.1942,0.1,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100804,750,250,0.519614583333,0.272052083333,0.134075167752,0.95,0.0706666666667,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100805,750,250,0.36309375,-0.28659375,0.274475199582,0.0918,0.0746666666667,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100806,750,250,0.727352083333,0.0996479166667,0.0725746412884,0.9924,0.0173333333333,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100807,750,250,0.490327083333,0.09900625,0.184240078808,0.7072,0.0693333333333,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100808,750,250,0.24534375,-0.21784375,0.261060810397,0.033,0.0773333333333,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100809,750,250,0.615625,0.176041666667,0.103978377907,0.95,0.0186666666667,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100810,750,250,0.505579166667,0.2860875,0.0929760292679,0.95,0.036,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100811,750,250,0.220066666667,-0.220066666667,0.263038497653,0,0.0426666666667,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100812,750,250,0.533733333333,-0.00456666666667,0.195440311516,0.635,0.092,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100813,750,250,0.5140625,0.194270833333,0.129683011491,0.85,0.0146666666667,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100814,750,250,0.3915,-0.103833333333,0.210469027255,0.3452,0.0706666666667,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100815,750,250,0.5125875,0.320745833333,0.0978662665734,1,0.0266666666667,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100816,750,250,0.661085416667,0.17208125,0.0825673103984,0.9998,0.0426666666667,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100817,750,250,0.33190625,-0.18790625,0.262361487763,0.1728,0.104,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100818,750,250,0.261979166667,-0.2203125,0.242190175514,0.05,0.052,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100819,750,250,0.249029166667,-0.249029166667,0.292759388642,0,0.032,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100820,750,250,0.554616666667,0.278716666667,0.0959656236917,1,0.0266666666667,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100821,750,250,0.5757,0.2208,0.121043951853,0.9558,0.0813333333333,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100822,750,250,0.22004375,-0.14754375,0.273967126713,0.087,0.0533333333333,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100823,750,250,0.543929166667,0.200904166667,0.120707339524,0.8938,0.105333333333,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100824,750,250,0.278645833333,-0.278645833333,0.260385584355,0,0.00533333333333,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100825,750,250,0.533972916667,0.299360416667,0.0982186302812,1,0.0866666666667,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100826,750,250,0.383175,-0.158675,0.257855979982,0.2694,0.110666666667,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100827,750,250,0.446029166667,-0.0306958333333,0.21262310613,0.4984,0.0733333333333,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100828,750,250,0.3426375,-0.3426375,0.256313014942,0,0.0253333333333,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100829,750,250,0.28234375,-0.18784375,0.277627925666,0.1134,0.0626666666667,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100830,750,250,0.548839583333,0.23699375,0.102458368568,0.943,0.0453333333333,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100831,750,250,0.534414583333,0.129585416667,0.144073534691,0.7968,0.0653333333333,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100800,1000,250,0.550327083333,0.240339583333,0.110421422131,0.9488,0.056,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100801,1000,250,0.41216875,-0.0653354166667,0.224468928658,0.4162,0.084,baseline,threshold,AI,6000,2000,100,20,13,18,94,1,random,mean,250
