seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026100700,250,250,0.582822916667,0.200010416667,0.0448077924178,0.9394,0.072,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
2026100701,250,250,0.36213125,-0.20513125,0.104439366147,0.1884,0.088,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
2026100702,250,250,0.70371875,0.0706145833333,0.05890598211,0.9292,0.06,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
2026100703,250,250,0.54481875,0.06668125,0.0674556417152,0.7338,0.12,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
2026100704,250,250,0.562783333333,0.147716666667,0.0655020711664,0.8526,0.136,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
2026100705,250,250,0.466577083333,-0.07374375,0.0768377093469,0.4714,0.108,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
2026100706,250,250,0.5887625,0.195570833333,0.0490613619116,0.9412,0.032,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
2026100707,250,250,0.657,0.1015,0.0495885368088,0.9102,0.064,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
2026100708,250,250,0.531725,0.179775,0.0735377312399,0.8538,0.072,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
2026100709,250,250,0.520808333333,0.278358333333,0.0384943632595,0.959,0.04,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
2026100710,250,250,0.710285416667,0.117547916667,0.0347119180072,0.9934,0.02,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
2026100711,250,250,0.516845833333,0.0604875,0.0884186921201,0.6928,0.092,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
2026100712,250,250,0.59701875,0.15998125,0.0556801218516,0.9084,0.024,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
2026100713,250,250,0.572658333333,0.0648416666667,0.0909736119411,0.765,0.124,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
2026100714,250,250,0.5452625,0.1637375,0.0692443347346,0.8508,0.092,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
2026100715,250,250,0.614022916667,0.169477083333,0.0415877487905,0.9402,0.028,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
2026100716,250,250,0.521004166667,0.1446625,0.0829729108404,0.7988,0.116,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
2026100717,250,250,0.28266875,-0.218002083333,0.0743906133434,0.0776,0.048,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
2026100718,250,250,0.536029166667,0.1116375,0.0886981908785,0.7772,0.156,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
2026100719,250,250,0.5712375,0.187595833333,0.0455848319011,0.9106,0.044,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
2026100720,250,250,0.542066666667,-0.0122333333333,0.0917676582008,0.6358,0.108,baseline,threshold,FE,6000,2000,100,20,13,18,94,1,random,mean,250
