seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026100900,0.0095,1447,1479,1536,1538,0.500741927083,0.31965390625,0.0970411880054,0.984475,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_MI_2026100900,40,4000,0.500794270833,0.321080729167,0.0967101691062,0.98625
2026100901,0.01,1510,1501,1514,1475,0.49494140625,0.296725260417,0.106066596366,0.95,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_MI_2026100901,40,4000,0.4949609375,0.296705729167,0.10607299453,0.95
2026100902,0.0085,1484,1478,1490,1548,0.526397135417,0.306936197917,0.0973535802023,1,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_MI_2026100902,40,4000,0.526341145833,0.3069921875,0.0973515250792,1
2026100903,0.011,1485,1458,1544,1513,0.53989453125,0.25169921875,0.102964475929,0.9499125,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_MI_2026100903,40,4000,0.540169270833,0.251497395833,0.102866605614,0.95
2026100904,0.0108333333333,1504,1457,1509,1530,0.531728776042,0.258094140625,0.113983185461,0.9477875,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_MI_2026100904,40,4000,0.532096354167,0.258528645833,0.113676069442,0.94875
2026100905,0.00733333333333,1484,1488,1533,1495,0.497981770833,0.3227890625,0.104494803858,0.984925,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_MI_2026100905,40,4000,0.498020833333,0.3228125,0.104350765025,0.985
2026100906,0.0225,1498,1439,1539,1524,0.648753255208,0.184580078125,0.0796083692181,1,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_MI_2026100906,40,4000,0.649192708333,0.184140625,0.0795039419805,1
2026100907,0.0425,1529,1452,1542,1477,0.473907421875,0.118925911458,0.164741289617,0.7114,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_MI_2026100907,40,4000,0.456471354167,0.1070703125,0.172659155833,0.67625
2026100908,0.0145,1557,1533,1430,1480,0.494818229167,0.2956296875,0.107914193504,0.9485375,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_MI_2026100908,40,4000,0.495065104167,0.2966015625,0.107596933117,0.95
2026100909,0.009,1487,1512,1481,1520,0.57604140625,0.252948177083,0.0892052187601,0.9947875,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_MI_2026100909,40,4000,0.576861979167,0.253346354167,0.0885682385844,0.99625
2026100910,0.0116666666667,1520,1492,1475,1513,0.57160078125,0.24971171875,0.0926173820131,0.985575,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_MI_2026100910,40,4000,0.5723828125,0.250533854167,0.0922319720661,0.9875
2026100911,0.00783333333333,1526,1496,1466,1512,0.542796614583,0.243703385417,0.108843813412,0.9438,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_MI_2026100911,40,4000,0.54265625,0.243802083333,0.108827626549,0.94375
2026100912,0.016,1488,1489,1558,1465,0.6355921875,0.171418229167,0.091233972776,0.9684125,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_MI_2026100912,40,4000,0.636484375,0.170807291667,0.0907072246561,0.96875
2026100913,0.022,1519,1476,1540,1465,0.505472005208,0.285965494792,0.109453441132,0.949725,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_MI_2026100913,40,4000,0.503346354167,0.287278645833,0.109784614963,0.94875
2026100914,0.0106666666667,1596,1453,1490,1461,0.232979166667,-0.0738020833333,0.230240386624,0.1910125,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_MI_2026100914,40,4000,0.238841145833,-0.0659244791667,0.2278362572,0.2075
2026100915,0.0203333333333,1535,1487,1461,1517,0.509262109375,0.307071223958,0.106159824692,0.9796,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250,baseline_threshold_MI_2026100915,40,4000,0.509205729167,0.3074609375,0.105751906651,0.98
