seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026100900,250,250,0.521360416667,0.158139583333,0.155731102395,0.8154,0.12,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100901,250,250,0.44196875,0.0761979166667,0.210785988786,0.6218,0.116,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100902,250,250,0.488458333333,0.194375,0.165452352389,0.8194,0.072,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100903,250,250,0.395289583333,-0.0957895833333,0.230134839589,0.3594,0.16,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100904,250,250,0.551233333333,-0.0499,0.193424153431,0.6016,0.14,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100905,250,250,0.46005,0.289116666667,0.161463192543,0.899,0.064,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100906,250,250,0.523310416667,0.139522916667,0.14202565504,0.7954,0.068,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100907,250,250,0.438066666667,0.0334333333333,0.206945849407,0.5658,0.084,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100908,250,250,0.45556875,-0.0452354166667,0.218786044781,0.4924,0.196,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100909,250,250,0.37174375,-0.154410416667,0.241416270599,0.2608,0.072,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100910,250,250,0.670864583333,0.112635416667,0.112678957834,0.9402,0.056,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100911,250,250,0.56379375,0.241039583333,0.105258324563,0.9658,0.036,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100912,250,250,0.331572916667,-0.14690625,0.269807775961,0.2216,0.164,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100913,250,250,0.415804166667,-0.123304166667,0.239204009097,0.351,0.14,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100914,250,250,0.258375,-0.198041666667,0.259217603092,0.0724,0.108,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100915,250,250,0.234189583333,-0.105189583333,0.239604510435,0.1548,0.06,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100916,250,250,0.5079,0.139266666667,0.160967064163,0.7766,0.072,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100917,250,250,0.483747916667,0.176085416667,0.169364060571,0.7918,0.156,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100918,250,250,0.373110416667,-0.28844375,0.252144528749,0.1016,0.036,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100919,250,250,0.349689583333,-0.247022916667,0.276595475554,0.1232,0.08,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100920,250,250,0.520379166667,0.203620833333,0.143161354405,0.8688,0.1,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100921,250,250,0.49285,-0.00985,0.202056912084,0.5796,0.224,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100922,250,250,0.475445833333,0.1318875,0.175052132931,0.7288,0.08,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100923,250,250,0.451939583333,-0.0229395833333,0.223672148413,0.5148,0.164,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100924,250,250,0.545154166667,0.119845833333,0.153373665028,0.798,0.056,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100925,250,250,0.54026875,0.229064583333,0.11868748367,0.9232,0.024,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100926,250,250,0.548435416667,0.260897916667,0.130383496898,0.9712,0.032,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100927,250,250,0.252233333333,-0.0849,0.261846392184,0.2008,0.048,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100928,250,250,0.510791666667,0.0877083333333,0.184445329904,0.7182,0.088,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100929,250,250,0.463035416667,0.05563125,0.18994995066,0.6224,0.064,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100930,250,250,0.728822916667,0.0930104166667,0.0707744675775,0.9862,0.028,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100931,250,250,0.57253125,0.191135416667,0.127485641825,0.9164,0.088,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100900,500,250,0.46573125,-0.100064583333,0.208554916939,0.4388,0.062,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100901,500,250,0.46285,0.16065,0.172612985623,0.7482,0.082,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100902,500,250,0.370708333333,-0.038875,0.234808895132,0.3982,0.072,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100903,500,250,0.50829375,0.280872916667,0.134591274602,0.947,0.09,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100904,500,250,0.591435416667,0.171397916667,0.106237556644,0.9154,0.1,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100905,500,250,0.492054166667,0.242445833333,0.131943535983,0.8814,0.042,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100906,500,250,0.5192,0.212633333333,0.144100032919,0.8782,0.052,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100907,500,250,0.471845833333,0.197154166667,0.158516475696,0.8028,0.044,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100908,500,250,0.608541666667,0.195958333333,0.0893574540199,0.9654,0.108,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100909,500,250,0.567120833333,0.244545833333,0.103625163365,0.974,0.048,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100910,500,250,0.70625,0.0854166666667,0.0909739165563,0.95,0.028,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100911,500,250,0.565625,0.226041666667,0.094814624039,0.95,0.018,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100912,500,250,0.51901875,0.26698125,0.115351896604,0.9432,0.102,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100913,500,250,0.46674375,0.03225625,0.200334364261,0.5988,0.114,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100914,500,250,0.2143625,-0.165195833333,0.244687093683,0.059,0.06,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100915,500,250,0.217595833333,-0.1342625,0.255973468897,0.1,0.032,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100916,500,250,0.47605625,0.137777083333,0.180340376238,0.7366,0.07,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100917,500,250,0.492527083333,0.0946395833333,0.160453421317,0.7046,0.12,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100918,500,250,0.328125,-0.286458333333,0.264861761503,0.05,0.018,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100919,500,250,0.305614583333,-0.0996145833333,0.237506662637,0.2472,0.048,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100920,500,250,0.50144375,0.296722916667,0.121588272,0.9578,0.052,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100921,500,250,0.535022916667,0.270477083333,0.113602373161,0.9666,0.128,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100922,500,250,0.458702083333,0.284464583333,0.151328455472,0.8918,0.054,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100923,500,250,0.549708333333,0.151458333333,0.132127435476,0.8414,0.122,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100924,500,250,0.56793125,0.21006875,0.11326086047,0.9336,0.038,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100925,500,250,0.520795833333,0.270870833333,0.123100411277,0.95,0.014,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100926,500,250,0.561045833333,0.266620833333,0.1152106917,0.9932,0.026,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100927,500,250,0.241575,-0.235908333333,0.259941881166,0.0068,0.032,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100928,500,250,0.573875,0.102625,0.135674108523,0.8118,0.056,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100929,500,250,0.51725,0.261916666667,0.107318086051,0.935,0.038,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100930,500,250,0.727604166667,0.105729166667,0.0680833914456,1,0.018,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100931,500,250,0.55744375,0.275889583333,0.0996403675763,1,0.048,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100900,750,250,0.4764,0.0656,0.172938183451,0.6504,0.0466666666667,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100901,750,250,0.48766875,0.282997916667,0.12743648513,0.9248,0.0613333333333,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100902,750,250,0.550504166667,0.0998291666667,0.128741766462,0.7804,0.064,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100903,750,250,0.491852083333,0.299814583333,0.142423905332,0.95,0.0613333333333,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100904,750,250,0.5578125,0.1921875,0.11493405382,0.9,0.0666666666667,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100905,750,250,0.4958,0.276366666667,0.115583110859,0.9266,0.0293333333333,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100906,750,250,0.515170833333,0.3181625,0.132449516505,1,0.036,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100907,750,250,0.470833333333,0.279166666667,0.138133922009,0.9,0.0293333333333,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100908,750,250,0.550283333333,0.187883333333,0.128540905903,0.8858,0.0973333333333,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100909,750,250,0.572654166667,0.223345833333,0.0938714146704,0.9552,0.0333333333333,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100910,750,250,0.70625,0.0854166666667,0.0909739165563,0.95,0.0186666666667,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100911,750,250,0.578122916667,0.242377083333,0.0841047847971,0.9846,0.0146666666667,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100912,750,250,0.540014583333,0.234152083333,0.123688357051,0.929,0.0786666666667,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100913,750,250,0.501241666667,0.076925,0.175074145736,0.6938,0.113333333333,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100914,750,250,0.19893125,-0.180597916667,0.248208526999,0.022,0.0453333333333,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100915,750,250,0.414397916667,0.00226875,0.210612838361,0.5,0.056,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100916,750,250,0.4750125,0.0374875,0.185836801596,0.615,0.0706666666667,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100917,750,250,0.550827083333,0.25150625,0.103634633184,0.9628,0.088,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100918,750,250,0.322770833333,-0.281104166667,0.258444867372,0.05,0.0146666666667,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100919,750,250,0.181966666667,-0.181966666667,0.247735887725,0,0.0386666666667,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100920,750,250,0.483354166667,0.329979166667,0.123261939773,0.976,0.0373333333333,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100921,750,250,0.526041666667,0.265625,0.121203075927,0.95,0.0853333333333,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100922,750,250,0.443741666667,0.347925,0.145477576025,0.95,0.0373333333333,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100923,750,250,0.5785875,0.254745833333,0.0884277617591,1,0.0826666666667,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100924,750,250,0.5453125,0.163020833333,0.130759297521,0.85,0.0253333333333,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100925,750,250,0.522697916667,0.247802083333,0.124657091487,0.9246,0.016,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100926,750,250,0.575520833333,0.2578125,0.0897878329789,1,0.0186666666667,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100927,750,250,0.2296875,-0.2296875,0.256418918919,0,0.0213333333333,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100928,750,250,0.656079166667,0.1230875,0.100546199976,0.935,0.044,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100929,750,250,0.515104166667,0.2765625,0.104003540904,0.95,0.0253333333333,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100930,750,250,0.723091666667,0.110241666667,0.0706654878595,1,0.0133333333333,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100931,750,250,0.53048125,0.302852083333,0.102999812899,1,0.0346666666667,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
2026100900,1000,250,0.478645833333,0.313020833333,0.121892911011,0.95,0.035,baseline,threshold,MI,6000,2000,100,20,13,18,94,1,random,mean,250
