"experiment","game","treatment","metric","simulation_mean","mc_se","mc_lower","mc_upper","n_seeds","seed_sd","seed_p10","seed_p90","snapshot_mean","experimental_mean","experimental_session1_mean","experimental_session2_mean","experimental_n_group_sessions","simulation_minus_experiment","snapshot_minus_all_steps","experimental_uncertainty","simulation_uncertainty"
"baseline","linear","FE","group_relative_contribution",0.661860347493531,0.0149442899589669,0.631381267175371,0.692339427811691,32,0.0845376701600284,0.5927402213542,0.7760795442708,0.659168294270875,0.63270833333328,0.58891666666664,0.67649999999992,50,0.0291520141602513,-0.00269205322265631,"Descriptive pooled means; no iid pooled CI because participants recur across sessions","95% t interval across independent finite-chain means; not model uncertainty or convergence proof"
"baseline","linear","FE","surplus",1.45609276448531,0.0328774379097608,1.38903878778529,1.52314674118533,32,0.185982874352253,1.304028486979,1.7073749974,1.45017024739625,1.39195833333286,1.29561666666652,1.4882999999992,50,0.0641344311524525,-0.00592251708906244,"Descriptive pooled means; no iid pooled CI because participants recur across sessions","95% t interval across independent finite-chain means; not model uncertainty or convergence proof"
"baseline","linear","FE","gini",0.0390411398176156,0.0017823389256053,0.0354060356128079,0.0426762440224234,32,0.010082431525346,0.0219064129522,0.04771609063393,0.0394822870242,0.0389725282037856,0.0476621333920516,0.0302829230155196,50,6.86116138300247e-05,0.000441147206584377,"Descriptive pooled means; no iid pooled CI because participants recur across sessions","95% t interval across independent finite-chain means; not model uncertainty or convergence proof"
"baseline","linear","AI","group_relative_contribution",0.691249031575437,0.0130075327744881,0.664719993577427,0.717778069573448,32,0.0735817170507746,0.603323489583,0.800206354167,0.691131591796906,0.67029246794875,0.637399839743577,0.703185096153923,52,0.0209565636266875,-0.000117439778531292,"Descriptive pooled means; no iid pooled CI because participants recur across sessions","95% t interval across independent finite-chain means; not model uncertainty or convergence proof"
"baseline","linear","AI","surplus",1.74647801106687,0.0333207211620176,1.67851995221331,1.81443606992044,32,0.18849046310151,1.523016640622,2.028126026039,1.74613281250031,1.66321314102613,1.57397435897446,1.75245192307781,52,0.0832648700407403,-0.000345198566562344,"Descriptive pooled means; no iid pooled CI because participants recur across sessions","95% t interval across independent finite-chain means; not model uncertainty or convergence proof"
"baseline","linear","AI","gini",0.0453115677319062,0.00236204070147254,0.0404941539603174,0.0501289815034951,32,0.0133617199795989,0.02392870843396,0.06077358032148,0.0455009967041438,0.0740813453382907,0.0828904277185354,0.0652722629580459,52,-0.0287697776063844,0.000189428972237504,"Descriptive pooled means; no iid pooled CI because participants recur across sessions","95% t interval across independent finite-chain means; not model uncertainty or convergence proof"
"baseline","linear","MI","group_relative_contribution",0.562607145182312,0.00763075090849064,0.547044126098344,0.578170164266281,32,0.0431660457035131,0.5224124869789,0.6240402213545,0.560713704427062,0.672685185185093,0.664795524691222,0.680574845678963,54,-0.11007804000278,-0.00189344075525,"Descriptive pooled means; no iid pooled CI because participants recur across sessions","95% t interval across independent finite-chain means; not model uncertainty or convergence proof"
"baseline","linear","MI","surplus",1.07921883463572,0.0143769051951477,1.04989694317265,1.10854072609879,32,0.0813280572477203,1.001637473955,1.19172238542,1.07503548177062,1.30140046296237,1.28719135802378,1.31560956790096,54,-0.222181628326652,-0.00418335286509386,"Descriptive pooled means; no iid pooled CI because participants recur across sessions","95% t interval across independent finite-chain means; not model uncertainty or convergence proof"
"baseline","linear","MI","gini",0.0845355325463219,0.00181401018501934,0.0808358343820749,0.0882352307105689,32,0.0102615912237491,0.07241686629006,0.09354125886471,0.0845936956571906,0.0749264238431206,0.0769831636193881,0.072869684066853,54,0.00960910870320132,5.81631108687586e-05,"Descriptive pooled means; no iid pooled CI because participants recur across sessions","95% t interval across independent finite-chain means; not model uncertainty or convergence proof"
"baseline","threshold","FE","group_relative_contribution",0.561080814615906,0.0157573139675953,0.528943560899906,0.593218068331907,32,0.0891368284781773,0.5015593750003,0.6599297395833,0.560956217447937,0.483251096491211,0.465131578947368,0.501370614035053,38,0.0778297181246958,-0.000124597167968865,"Descriptive pooled means; no iid pooled CI because participants recur across sessions","95% t interval across independent finite-chain means; not model uncertainty or convergence proof"
"baseline","threshold","FE","surplus",0.223646073404875,0.017381215595095,0.188196850483964,0.259095296325786,32,0.0983230033004562,0.1282753255208,0.302979947917,0.22367919921875,0.266748903508624,0.225657894736668,0.307839912280579,38,-0.0431028301037487,3.31258138750179e-05,"Descriptive pooled means; no iid pooled CI because participants recur across sessions","95% t interval across independent finite-chain means; not model uncertainty or convergence proof"
"baseline","threshold","FE","gini",0.0110802401839387,0.000933384380312849,0.00917659018963431,0.0129838901782432,32,0.00528001939818256,0.005244717908301,0.01685218838893,0.0110030193235341,0.0182005506066689,0.0277807117775408,0.008620389435797,38,-0.00712031042273015,-7.72208604046878e-05,"Descriptive pooled means; no iid pooled CI because participants recur across sessions","95% t interval across independent finite-chain means; not model uncertainty or convergence proof"
