seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026090800,0.166333333333,1513,1461,1473,1553,0.592412630208,1.48928114583,0.0647297389225,,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_AI_2026090800,40,4000,0.593489583333,1.48914583333,0.065339749886,
2026090801,0.149833333333,1474,1539,1475,1512,0.59641640625,1.51373828125,0.0634472275948,,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_AI_2026090801,40,4000,0.611653645833,1.55381770833,0.0613724729231,
2026090802,0.122333333333,1481,1524,1485,1510,0.696127864583,1.75775223958,0.0420775147367,,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_AI_2026090802,40,4000,0.705768229167,1.78233854167,0.0395941927288,
2026090803,0.107666666667,1512,1514,1482,1492,0.63367421875,1.59279796875,0.0549864086832,,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_AI_2026090803,40,4000,0.636236979167,1.59704166667,0.0550688771132,
2026090804,0.1305,1505,1503,1465,1527,0.631695833333,1.59220817708,0.0580730081456,,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_AI_2026090804,40,4000,0.6274609375,1.58328125,0.0568523341365,
2026090805,0.00733333333333,1484,1470,1493,1553,0.945227473958,2.36933411458,0.00517282293342,,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_AI_2026090805,40,4000,0.944791666667,2.36819791667,0.00516745821567,
2026090806,0.1085,1592,1480,1473,1455,0.657103515625,1.66150921875,0.0480223031326,,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_AI_2026090806,40,4000,0.6646484375,1.680421875,0.0484118717552,
2026090807,0.0963333333333,1509,1495,1498,1498,0.69832265625,1.75504046875,0.0426679006486,,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_AI_2026090807,40,4000,0.7009765625,1.7665625,0.0408948545268,
2026090808,0.0576666666667,1537,1558,1463,1442,0.801605598958,2.03047458333,0.0238425392586,,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_AI_2026090808,40,4000,0.800533854167,2.02740104167,0.0245886100933,
2026090809,0.005,1478,1467,1554,1501,0.91564375,2.26437609375,0.0161477012194,,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_AI_2026090809,40,4000,0.915390625,2.263671875,0.0162036903133,
2026090810,0.0085,1469,1504,1477,1550,0.8958078125,2.23548828125,0.014880147441,,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_AI_2026090810,40,4000,0.895221354167,2.23415104167,0.0149152665102,
2026090811,0.0885,1496,1511,1468,1525,0.690558723958,1.73973348958,0.0470172655291,,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_AI_2026090811,40,4000,0.691328125,1.751203125,0.0450029923207,
2026090812,0.0413333333333,1464,1512,1494,1530,0.800367838542,2.00698901042,0.0237592090905,,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_AI_2026090812,40,4000,0.799361979167,2.00427604167,0.0239361346656,
2026090813,0.119666666667,1496,1529,1538,1437,0.576492447917,1.45467729167,0.0654879562322,,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_AI_2026090813,40,4000,0.570078125,1.440015625,0.0663317747169,
2026090814,0.007,1493,1489,1526,1492,0.921553645833,2.31083255208,0.010684398007,,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_AI_2026090814,40,4000,0.922252604167,2.31265104167,0.0104967452208,
2026090815,0.066,1518,1471,1460,1551,0.714342317708,1.77965927083,0.0405699965292,,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_AI_2026090815,40,4000,0.710455729167,1.77536979167,0.0402936639298,
