seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026090800,250,250,0.809604166667,2.04365416667,0.0258963975371,,0.104,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090801,250,250,0.986214583333,2.47794333333,0.00294656909811,,0.04,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090802,250,250,0.806354166667,2.03282166667,0.0294700412565,,0.144,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090803,250,250,0.935272916667,2.35295416667,0.0119392416164,,0.044,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090804,250,250,0.985097916667,2.47046416667,0.00269327525965,,0.032,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090805,250,250,0.9646375,2.412455,0.00695838712789,,0.028,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090806,250,250,0.9799,2.44372,0.00479197848425,,0.036,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090807,250,250,0.96579375,2.425945,0.00757996424603,,0.04,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090808,250,250,0.800735416667,2.02149416667,0.0328599370483,,0.124,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090809,250,250,0.972641666667,2.42339666667,0.00589712934304,,0.012,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090810,250,250,0.966825,2.40711,0.00708907742469,,0.024,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090811,250,250,0.957,2.4059225,0.00864542726324,,0.028,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090812,250,250,0.896079166667,2.24558666667,0.0195367238657,,0.036,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090813,250,250,0.960275,2.3989175,0.0083261640438,,0.056,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090814,250,250,0.93831875,2.3272925,0.0117146051528,,0.032,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090815,250,250,0.968502083333,2.42639333333,0.00587501762349,,0.016,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090800,500,250,0.630366666667,1.57808666667,0.0546082229078,,0.08,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090801,500,250,0.981720833333,2.46013583333,0.00343611947571,,0.024,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090802,500,250,0.5546625,1.4061575,0.0634281191159,,0.156,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090803,500,250,0.890510416667,2.25984916667,0.0141462284879,,0.028,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090804,500,250,0.59759375,1.4974675,0.0690608574238,,0.148,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090805,500,250,0.939525,2.3601275,0.013017074895,,0.026,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090806,500,250,0.913345833333,2.25736833333,0.0184172543752,,0.04,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090807,500,250,0.588066666667,1.47889166667,0.0683535451874,,0.146,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090808,500,250,0.548872916667,1.38919416667,0.0732001086414,,0.182,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090809,500,250,0.958802083333,2.38464583333,0.00776424995624,,0.01,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090810,500,250,0.966845833333,2.40716833333,0.00781036293386,,0.024,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090811,500,250,0.952620833333,2.42080833333,0.00705839405097,,0.016,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090812,500,250,0.67216875,1.694375,0.0548751124286,,0.104,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090813,500,250,0.956941666667,2.39152166667,0.00910389101233,,0.036,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090814,500,250,0.947916666667,2.35416666667,0.00854037267081,,0.016,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090815,500,250,0.944035416667,2.35739666667,0.0114272713849,,0.024,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090800,750,250,0.5462625,1.3770925,0.0713724918313,,0.12,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090801,750,250,0.981014583333,2.45824583333,0.0032372572836,,0.0186666666667,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090802,750,250,0.57993125,1.4686675,0.0661784880199,,0.192,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090803,750,250,0.7058875,1.781885,0.0446438590004,,0.0506666666667,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090804,750,250,0.61723125,1.55167,0.0646823217248,,0.144,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090805,750,250,0.933820833333,2.34217333333,0.011701708247,,0.02,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090806,750,250,0.585497916667,1.45939416667,0.074041374516,,0.101333333333,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090807,750,250,0.807291666667,2.03604166667,0.0271043181881,,0.0973333333333,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090808,750,250,0.599675,1.5175275,0.0670595146903,,0.2,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090809,750,250,0.939,2.3292,0.0105487359704,,0.00933333333333,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090810,750,250,0.936510416667,2.33069666667,0.0125706835683,,0.0226666666667,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090811,750,250,0.9509875,2.4144975,0.00796239720978,,0.016,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090812,750,250,0.541185416667,1.36414416667,0.0794806537132,,0.145333333333,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090813,750,250,0.908866666667,2.25768166667,0.0181702114207,,0.0373333333333,initial_full,linear,AI,6000,2000,100,20,13,0,14,1,full,mean,250
