seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026090700,0.0746666666667,1452,1574,1495,1479,0.69584375,1.53085625,0.0364780312079,,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_FE_2026090700,40,4000,0.6929296875,1.5244453125,0.0367783199625,
2026090701,0.0601666666667,1486,1482,1480,1552,0.8271578125,1.8197471875,0.0266402992489,,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_FE_2026090701,40,4000,0.826979166667,1.81935416667,0.0266235642626,
2026090702,0.151833333333,1458,1506,1494,1542,0.625790625,1.376739375,0.0433228947337,,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_FE_2026090702,40,4000,0.627630208333,1.38078645833,0.0428103131805,
2026090703,0.123833333333,1453,1499,1486,1562,0.648652213542,1.42703486979,0.034445360662,,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_FE_2026090703,40,4000,0.641549479167,1.41140885417,0.0346893961564,
2026090704,0.0265,1515,1519,1459,1507,0.775397916667,1.70587541667,0.0328130510926,,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_FE_2026090704,40,4000,0.7698828125,1.6937421875,0.0330120508079,
2026090705,0.0958333333333,1515,1488,1485,1512,0.636113541667,1.39944979167,0.0423625448274,,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_FE_2026090705,40,4000,0.638203125,1.404046875,0.0420797648218,
2026090706,0.0368333333333,1536,1438,1479,1547,0.751663541667,1.65365979167,0.0280163550931,,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_FE_2026090706,40,4000,0.743658854167,1.63604947917,0.0275101507698,
2026090707,0.041,1476,1563,1508,1453,0.848986979167,1.86777135417,0.00836520741665,,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_FE_2026090707,40,4000,0.848763020833,1.86727864583,0.00834522530573,
2026090708,0.118333333333,1502,1504,1489,1505,0.628101822917,1.38182401042,0.0456965717778,,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_FE_2026090708,40,4000,0.637786458333,1.40313020833,0.0448079908028,
2026090709,0.1435,1457,1468,1522,1553,0.623148177083,1.37092598958,0.0421225965274,,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_FE_2026090709,40,4000,0.623138020833,1.37090364583,0.0430895004823,
2026090710,0.0596666666667,1510,1494,1507,1489,0.671140625,1.476509375,0.0327533689313,,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_FE_2026090710,40,4000,0.680221354167,1.49648697917,0.0314453919957,
2026090711,0.0108333333333,1539,1518,1474,1469,0.839216145833,1.84627552083,0.0171020132805,,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_FE_2026090711,40,4000,0.83984375,1.84765625,0.0165993749237,
2026090712,0.00166666666667,1498,1497,1517,1488,0.928125,2.041875,0.00951562450141,,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_FE_2026090712,40,4000,0.928125,2.041875,0.00951562450141,
2026090713,0.0708333333333,1521,1535,1491,1453,0.742990625,1.634579375,0.0213804255859,,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_FE_2026090713,40,4000,0.743216145833,1.63507552083,0.0220289840363,
2026090714,0.169666666667,1525,1530,1445,1500,0.578997916667,1.27379541667,0.0511447967187,,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_FE_2026090714,40,4000,0.5434765625,1.1956484375,0.053674389349,
2026090715,0.131666666667,1497,1457,1505,1541,0.683291666667,1.50324166667,0.0351472353101,,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250,initial_full_linear_FE_2026090715,40,4000,0.684934895833,1.50685677083,0.0349535144915,
