seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026090700,250,250,0.981770833333,2.15989583333,0.00389184445391,,0.028,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090701,250,250,0.7943,1.74746,0.0311397650328,,0.152,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090702,250,250,0.697497916667,1.53449541667,0.0409495603683,,0.18,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090703,250,250,0.968320833333,2.13030583333,0.00759024172475,,0.02,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090704,250,250,0.93626875,2.05979125,0.0127018019485,,0.044,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090705,250,250,0.948614583333,2.08695208333,0.0121278035818,,0.016,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090706,250,250,0.92966875,2.04527125,0.0148784815251,,0.076,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090707,250,250,0.59635,1.31197,0.0470150200028,,0.252,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090708,250,250,0.955625,2.102375,0.00845075809954,,0.036,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090709,250,250,0.931708333333,2.04975833333,0.00986969326601,,0.052,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090710,250,250,0.95075625,2.09166375,0.00991656760797,,0.032,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090711,250,250,0.951495833333,2.09329083333,0.00880714551534,,0.024,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090712,250,250,0.934683333333,2.05630333333,0.0104513125105,,0.036,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090713,250,250,0.952445833333,2.09538083333,0.0113652128283,,0.036,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090714,250,250,0.872095833333,1.91861083333,0.0262382501033,,0.028,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090715,250,250,0.887170833333,1.95177583333,0.0212266009774,,0.064,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090700,500,250,0.961616666667,2.11555666667,0.00794908481419,,0.022,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090701,500,250,0.539889583333,1.18775708333,0.053129718325,,0.216,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090702,500,250,0.495635416667,1.09039791667,0.056943768241,,0.172,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090703,500,250,0.951677083333,2.09368958333,0.0116337925045,,0.022,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090704,500,250,0.8831625,1.9429575,0.020938675857,,0.048,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090705,500,250,0.9413125,2.0708875,0.0129952282075,,0.014,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090706,500,250,0.88135625,1.93898375,0.0176245156317,,0.046,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090707,500,250,0.554208333333,1.21925833333,0.0533836504282,,0.242,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090708,500,250,0.717422916667,1.57833041667,0.0325450835045,,0.086,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090709,500,250,0.891091666667,1.96040166667,0.0152085059815,,0.04,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090710,500,250,0.9670625,2.1275375,0.00746807320937,,0.022,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090711,500,250,0.902579166667,1.98567416667,0.0194113775743,,0.03,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090712,500,250,0.918354166667,2.02037916667,0.0106204248532,,0.02,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
2026090713,500,250,0.893683333333,1.96610333333,0.0263095811981,,0.02,initial_full,linear,FE,6000,2000,100,20,13,0,14,1,full,mean,250
