seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026090900,250,250,0.522625,1.0079175,0.0978893314967,,0.328,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090901,250,250,0.688664583333,1.30328083333,0.056774094805,,0.132,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090902,250,250,0.50808125,0.9857625,0.103022509332,,0.264,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090903,250,250,0.50668125,0.9880325,0.103123916363,,0.3,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090904,250,250,0.4931,0.9593325,0.106600086375,,0.332,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090905,250,250,0.532597916667,1.05009416667,0.0965128489903,,0.22,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090906,250,250,0.455795833333,0.879853333333,0.106900657961,,0.248,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090907,250,250,0.649841666667,1.23456916667,0.0656720762696,,0.144,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090908,250,250,0.787975,1.501925,0.0419361934438,,0.144,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090909,250,250,0.623335416667,1.18369916667,0.0740636562125,,0.352,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090910,250,250,0.542270833333,1.05872333333,0.09510554693,,0.272,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090911,250,250,0.713295833333,1.35202833333,0.0612955640257,,0.216,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090912,250,250,0.512802083333,0.985918333333,0.101822435092,,0.308,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090913,250,250,0.55223125,1.06083,0.0923129096432,,0.236,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090914,250,250,0.627675,1.2379575,0.0784050064294,,0.1,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090915,250,250,0.560104166667,1.06032916667,0.0851982073777,,0.368,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090900,500,250,0.497464583333,0.952968333333,0.101139639183,,0.3,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090901,500,250,0.485066666667,0.946061666667,0.10775090584,,0.182,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090902,500,250,0.4962,0.9545675,0.0978010964214,,0.262,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090903,500,250,0.521666666667,1.00417416667,0.0943098701916,,0.264,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090904,500,250,0.48409375,0.930595,0.101705456048,,0.294,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090905,500,250,0.517822916667,0.990019166667,0.0943774168664,,0.176,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090906,500,250,0.467514583333,0.915055833333,0.112030633729,,0.332,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090907,500,250,0.52811875,1.01946,0.0921585395128,,0.16,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090908,500,250,0.49514375,0.94846,0.0976352327314,,0.228,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090909,500,250,0.549333333333,1.06100333333,0.0927256495969,,0.276,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090910,500,250,0.497316666667,0.946381666667,0.0944160264832,,0.322,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090911,500,250,0.50593125,0.9688575,0.0954589563886,,0.24,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090912,500,250,0.557879166667,1.06250166667,0.0853577468465,,0.28,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090913,500,250,0.520791666667,1.00598166667,0.0969048082879,,0.23,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090914,500,250,0.501845833333,0.962160833333,0.0954009475427,,0.168,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090915,500,250,0.499370833333,0.950343333333,0.0997148220214,,0.38,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090900,750,250,0.471464583333,0.904123333333,0.100116177148,,0.285333333333,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090901,750,250,0.491295833333,0.942443333333,0.101704366026,,0.246666666667,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090902,750,250,0.499783333333,0.956413333333,0.0989321108675,,0.269333333333,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090903,750,250,0.510302083333,0.969160833333,0.092116046454,,0.270666666667,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090904,750,250,0.600522916667,1.15005666667,0.0721826108235,,0.244,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090905,750,250,0.530422916667,1.00754916667,0.0883176322126,,0.206666666667,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090906,750,250,0.563891666667,1.05717916667,0.0746686057689,,0.288,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090907,750,250,0.547775,1.0342525,0.0903260535409,,0.181333333333,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090908,750,250,0.458922916667,0.875509166667,0.113100290966,,0.252,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090909,750,250,0.534004166667,1.02006916667,0.0873687156282,,0.301333333333,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090910,750,250,0.540616666667,1.05553166667,0.0941644262318,,0.297333333333,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090911,750,250,0.501125,0.974555,0.100461215634,,0.242666666667,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090912,750,250,0.525214583333,0.997948333333,0.0889108171264,,0.264,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090913,750,250,0.6716125,1.318595,0.066916155312,,0.164,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090914,750,250,0.52500625,1.015905,0.0927828070536,,0.222666666667,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090915,750,250,0.503558333333,0.975128333333,0.0986710551441,,0.310666666667,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090900,1000,250,0.552975,1.0570775,0.0870258736737,,0.271,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090901,1000,250,0.47385625,0.9278475,0.111534826918,,0.251,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090902,1000,250,0.805379166667,1.53044416667,0.0338666097219,,0.213,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090903,1000,250,0.5456625,1.05138,0.0898114243989,,0.285,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090904,1000,250,0.476566666667,0.932534166667,0.108271994014,,0.224,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090905,1000,250,0.474004166667,0.894339166667,0.10122325899,,0.225,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090906,1000,250,0.5094375,0.98829,0.0997992270052,,0.282,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090907,1000,250,0.531075,1.0150475,0.0902848203543,,0.206,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090908,1000,250,0.555597916667,1.06236666667,0.0880214738749,,0.254,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090909,1000,250,0.520270833333,0.993540833333,0.0921744532322,,0.297,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090910,1000,250,0.625739583333,1.22923333333,0.0684544558861,,0.224,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090911,1000,250,0.462945833333,0.904308333333,0.111954692878,,0.247,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090912,1000,250,0.7747,1.4924575,0.0418593493852,,0.212,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090913,1000,250,0.453527083333,0.879355833333,0.113374969421,,0.193,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090914,1000,250,0.488197916667,0.943804166667,0.103666275334,,0.258,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090915,1000,250,0.478714583333,0.935840833333,0.105749698854,,0.292,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090900,1250,250,0.510602083333,0.980575833333,0.0944818455611,,0.2632,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090901,1250,250,0.48263125,0.9224275,0.0983253976572,,0.2528,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090902,1250,250,0.865625,1.6425,0.020511513773,,0.1704,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090903,1250,250,0.512845833333,0.983745833333,0.0930499622128,,0.2832,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090904,1250,250,0.58396875,1.1399725,0.0760034170702,,0.1968,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090905,1250,250,0.512889583333,0.988830833333,0.0952809134385,,0.2432,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090906,1250,250,0.592616666667,1.12243666667,0.0687526145451,,0.2648,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090907,1250,250,0.509733333333,0.982905833333,0.0959974881782,,0.2248,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090908,1250,250,0.469866666667,0.888926666667,0.105196616059,,0.2696,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090909,1250,250,0.599664583333,1.12334833333,0.0685043043122,,0.272,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090910,1250,250,0.5953125,1.145625,0.0738421655861,,0.1792,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090911,1250,250,0.48179375,0.9321975,0.098931912921,,0.248,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090912,1250,250,0.563489583333,1.08399083333,0.0799882673319,,0.216,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090913,1250,250,0.515375,0.978485,0.0896381661312,,0.2088,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090914,1250,250,0.491427083333,0.943598333333,0.100433972114,,0.2696,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090915,1250,250,0.45618125,0.8702575,0.108285059307,,0.3,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090900,1500,250,0.491710416667,0.938949166667,0.0971722107956,,0.275333333333,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090901,1500,250,0.44633125,0.8754425,0.117430605024,,0.270666666667,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090902,1500,250,0.624095833333,1.19034083333,0.0717857013522,,0.175333333333,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090903,1500,250,0.63249375,1.2111475,0.0619314185514,,0.254,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090904,1500,250,0.501235416667,0.954786666667,0.0983739979474,,0.222666666667,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090905,1500,250,0.445279166667,0.858496666667,0.108479404691,,0.251333333333,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090906,1500,250,0.66426875,1.26396,0.0437286097012,,0.223333333333,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090907,1500,250,0.551216666667,1.05379416667,0.0872283886743,,0.224666666667,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090908,1500,250,0.506497916667,0.973351666667,0.0992734964584,,0.283333333333,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090909,1500,250,0.540795833333,1.04673583333,0.0957158208289,,0.263333333333,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090910,1500,250,0.53970625,1.0350025,0.0884451074731,,0.192,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090911,1500,250,0.60749375,1.1420325,0.0577807859792,,0.231333333333,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090912,1500,250,0.497133333333,0.960265833333,0.104636153327,,0.226666666667,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090913,1500,250,0.535441666667,1.03697916667,0.0934333561939,,0.218,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090914,1500,250,0.809172916667,1.52184416667,0.0329992408651,,0.232666666667,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090915,1500,250,0.510108333333,0.987648333333,0.0979338558663,,0.304,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090900,1750,250,0.8080125,1.50694,0.0329473592043,,0.244,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090901,1750,250,0.47575,0.92019,0.108725710008,,0.272571428571,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090902,1750,250,0.53210625,1.013495,0.0939352474742,,0.190857142857,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090903,1750,250,0.535772916667,1.02624416667,0.0909388419966,,0.246285714286,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090904,1750,250,0.50035,0.9749025,0.106944309462,,0.240571428571,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
2026090905,1750,250,0.543927083333,1.04612083333,0.0916109918852,,0.261142857143,initial_full,linear,MI,6000,2000,100,20,13,0,14,1,full,mean,250
