seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026100800,0.0226666666667,1446,1536,1545,1473,0.606772265625,0.185071484375,0.101082492429,0.9502125,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_AI_2026100800,40,4000,0.60671875,0.195364583333,0.0974596963894,0.9625
2026100801,0.00883333333333,1498,1480,1487,1535,0.820600651042,-0.00748606770833,0.0535077653939,0.9757375,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_AI_2026100801,40,4000,0.8088671875,-0.00157552083333,0.0570202598009,0.96875
2026100802,0.0045,1546,1519,1422,1513,0.998892447917,-0.165559114583,0.000822868676603,1,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_AI_2026100802,40,4000,0.998880208333,-0.165546875,0.000833615627823,1
2026100803,0.00933333333333,1503,1421,1579,1497,0.517344661458,0.283957421875,0.10970414986,0.9615625,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_AI_2026100803,40,4000,0.516171875,0.284869791667,0.1099703751,0.96125
2026100804,0.0351666666667,1468,1544,1520,1468,0.570260286458,-0.073895703125,0.158825183673,0.5956375,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_AI_2026100804,40,4000,0.559479166667,-0.0907291666667,0.169002769518,0.5625
2026100805,0.00633333333333,1486,1494,1503,1517,0.58477890625,0.238169010417,0.0858022898095,0.9875375,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_AI_2026100805,40,4000,0.579153645833,0.242721354167,0.0868497933223,0.98625
2026100806,0.012,1425,1567,1486,1522,0.500830078125,0.282513671875,0.11383841379,0.9400125,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_AI_2026100806,40,4000,0.500768229167,0.2846484375,0.113267054921,0.9425
2026100807,0.0121666666667,1504,1521,1465,1510,0.710606510417,-0.229210677083,0.126151518458,0.577675,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_AI_2026100807,40,4000,0.696940104167,-0.244856770833,0.135692973057,0.5425
2026100808,0.00433333333333,1482,1534,1519,1465,0.998125520833,-0.1647921875,0.00160342844957,1,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_AI_2026100808,40,4000,0.997890625,-0.164557291667,0.00180813701962,1
2026100809,0.00916666666667,1471,1473,1585,1471,0.635184114583,-0.17603828125,0.128589445555,0.550975,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_AI_2026100809,40,4000,0.622434895833,-0.177643229167,0.133157992725,0.53375
2026100810,0.00933333333333,1555,1469,1443,1533,0.901047786458,-0.163568619792,0.0394515681121,0.884975,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_AI_2026100810,40,4000,0.898684895833,-0.164309895833,0.0404538311714,0.88125
2026100811,0.0085,1466,1437,1549,1548,0.572289973958,0.155074609375,0.127552717485,0.8728375,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_AI_2026100811,40,4000,0.570546875,0.160703125,0.127124847859,0.8775
2026100812,0.0221666666667,1526,1477,1521,1476,0.497759505208,0.00565716145833,0.162458236178,0.6041,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_AI_2026100812,40,4000,0.492565104167,0.000143229166667,0.163979698155,0.59125
2026100813,0.0186666666667,1466,1530,1506,1498,0.401948958333,-0.021896875,0.188943183161,0.4560625,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_AI_2026100813,40,4000,0.41359375,-0.00630208333333,0.18322387014,0.48875
2026100814,0.00833333333333,1488,1505,1488,1519,0.557370182292,0.203056901042,0.104352025877,0.9125125,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_AI_2026100814,40,4000,0.545,0.206041666667,0.108332470694,0.90125
2026100815,0.0235,1541,1552,1413,1494,0.254656640625,-0.169385807292,0.240454562979,0.102325,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_AI_2026100815,40,4000,0.246497395833,-0.1631640625,0.243018040293,0.1
