seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026100800,250,250,0.999489583333,-0.16615625,0.000432352941176,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100801,250,250,1,-0.166666666667,0,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100802,250,250,0.998189583333,-0.16485625,0.00159855465221,1,0.012,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100803,250,250,0.9992125,-0.165879166667,0.000658350951374,1,0.012,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100804,250,250,0.9951875,-0.161854166667,0.00324607843137,1,0.008,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100805,250,250,0.994775,-0.161441666667,0.00368823529412,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100806,250,250,0.999229166667,-0.165895833333,0.000667724867725,1,0.008,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100807,250,250,0.999272916667,-0.165939583333,0.000626470588235,1,0.016,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100808,250,250,0.997947916667,-0.164614583333,0.00168869762551,1,0.012,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100809,250,250,0.998458333333,-0.165125,0.00123333333333,1,0.008,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100810,250,250,0.99915,-0.165816666667,0.000746341463415,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100811,250,250,0.9927625,-0.159429166667,0.00469940926387,1,0.012,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100812,250,250,0.9978,-0.164466666667,0.00161699346405,1,0.008,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100813,250,250,1,-0.166666666667,0,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100814,250,250,0.9999,-0.166566666667,8.57142857143e-05,1,0.008,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100815,250,250,1,-0.166666666667,0,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100800,500,250,0.99925625,-0.165922916667,0.000649346405229,1,0.006,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100801,500,250,0.998025,-0.164691666667,0.00153652729384,1,0.006,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100802,500,250,0.99956875,-0.166235416667,0.000380952380952,1,0.008,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100803,500,250,0.996083333333,-0.16275,0.00321725500886,1,0.01,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100804,500,250,0.985504166667,-0.152170833333,0.00973424810353,1,0.006,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100805,500,250,0.993727083333,-0.16039375,0.00456024096386,1,0.006,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100806,500,250,0.9975625,-0.164229166667,0.00182955153949,1,0.006,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100807,500,250,1,-0.166666666667,0,1,0.008,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100808,500,250,0.997720833333,-0.1643875,0.00190490896908,1,0.018,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100809,500,250,0.994641666667,-0.161308333333,0.00375622606074,1,0.008,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100810,500,250,0.9992875,-0.165954166667,0.000625609756098,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100811,500,250,0.9968625,-0.163529166667,0.00203777064956,1,0.008,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100812,500,250,0.997395833333,-0.1640625,0.00191176470588,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100813,500,250,1,-0.166666666667,0,1,0.002,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100814,500,250,0.9985625,-0.165229166667,0.00120472120472,1,0.008,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100815,500,250,0.997845833333,-0.1645125,0.00183193277311,1,0.006,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100800,750,250,0.993479166667,-0.160145833333,0.00563812213624,1,0.00933333333333,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100801,750,250,0.97548125,-0.142147916667,0.0178372804068,1,0.00533333333333,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100802,750,250,1,-0.166666666667,0,1,0.00533333333333,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100803,750,250,0.996354166667,-0.163020833333,0.00301724137931,1,0.00666666666667,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100804,750,250,0.984125,-0.150791666667,0.0113905370611,1,0.00666666666667,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100805,750,250,0.9984375,-0.165104166667,0.00135542168675,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100806,750,250,0.998804166667,-0.165470833333,0.000848820679544,1,0.00933333333333,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100807,750,250,1,-0.166666666667,0,1,0.00533333333333,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100808,750,250,0.998370833333,-0.1650375,0.00138758169935,1,0.0146666666667,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100809,750,250,0.997916666667,-0.164583333333,0.00178571428571,1,0.00666666666667,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100810,750,250,0.999822916667,-0.166489583333,0.000140966576332,1,0.00533333333333,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100811,750,250,0.996354166667,-0.163020833333,0.00215517241379,1,0.00533333333333,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100812,750,250,0.997395833333,-0.1640625,0.00191176470588,1,0.00266666666667,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100813,750,250,0.9992125,-0.165879166667,0.000694308943089,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100814,750,250,0.9890625,-0.155729166667,0.00842490842491,1,0.00533333333333,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100815,750,250,0.996208333333,-0.162875,0.00277870949798,1,0.00533333333333,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100800,1000,250,0.999479166667,-0.166145833333,0.000462962962963,1,0.009,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100801,1000,250,0.9640625,-0.130729166667,0.0260753536519,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100802,1000,250,1,-0.166666666667,0,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100803,1000,250,0.998052083333,-0.16471875,0.00160794602699,1,0.007,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100804,1000,250,0.978125,-0.144791666667,0.0130734610918,1,0.005,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100805,1000,250,0.9984375,-0.165104166667,0.00135542168675,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100806,1000,250,0.997916666667,-0.164583333333,0.00178571428571,1,0.008,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100807,1000,250,1,-0.166666666667,0,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100808,1000,250,0.999479166667,-0.166145833333,0.000462962962963,1,0.012,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100809,1000,250,0.997916666667,-0.164583333333,0.00178571428571,1,0.005,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100810,1000,250,0.9990375,-0.165704166667,0.000819150858175,1,0.007,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100811,1000,250,0.995770833333,-0.1624375,0.00262074902291,1,0.005,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100812,1000,250,0.997395833333,-0.1640625,0.00191176470588,1,0.002,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100813,1000,250,0.9985,-0.165166666667,0.00132271906052,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100814,1000,250,0.9890625,-0.155729166667,0.00842490842491,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100815,1000,250,0.9921875,-0.158854166667,0.0047182821119,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100800,1250,250,0.999479166667,-0.166145833333,0.000462962962963,1,0.008,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100801,1250,250,0.964554166667,-0.131220833333,0.0257602601561,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100802,1250,250,0.999929166667,-0.166595833333,6.2962962963e-05,1,0.0048,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100803,1250,250,0.999175,-0.165841666667,0.000724390243902,1,0.0064,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100804,1250,250,0.978125,-0.144791666667,0.0130734610918,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100805,1250,250,0.986979166667,-0.153645833333,0.0114125753661,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100806,1250,250,0.997916666667,-0.164583333333,0.00178571428571,1,0.0072,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100807,1250,250,1,-0.166666666667,0,1,0.0032,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100808,1250,250,0.999479166667,-0.166145833333,0.000462962962963,1,0.0096,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100809,1250,250,0.9983625,-0.165029166667,0.00133181700865,1,0.0056,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100810,1250,250,0.999795833333,-0.1664625,0.000179268292683,1,0.0064,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100811,1250,250,0.984725,-0.151391666667,0.0115432326232,1,0.0064,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100812,1250,250,0.997395833333,-0.1640625,0.00191176470588,1,0.0016,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100813,1250,250,0.999479166667,-0.166145833333,0.000462962962963,1,0.0032,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100814,1250,250,0.9890625,-0.155729166667,0.00842490842491,1,0.0032,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100815,1250,250,0.9921875,-0.158854166667,0.0047182821119,1,0.0032,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100800,1500,250,0.999983333333,-0.16665,1.48148148148e-05,1,0.00733333333333,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100801,1500,250,0.964395833333,-0.1310625,0.0258617309429,1,0.004,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100802,1500,250,0.999508333333,-0.166175,0.000437037037037,1,0.00466666666667,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100803,1500,250,0.999158333333,-0.165825,0.000732677049662,1,0.00733333333333,initial_full,threshold,AI,6000,2000,100,20,13,18,94,1,full,mean,250
