seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026100700,0.00216666666667,1510,1476,1537,1477,0.998743229167,-0.165409895833,0.000972281810168,1,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_FE_2026100700,40,4000,0.998736979167,-0.165403645833,0.000973956802821,1
2026100701,0.0045,1475,1525,1475,1525,0.517363541667,0.277376041667,0.0171230762331,0.9536875,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_FE_2026100701,40,4000,0.517330729167,0.278502604167,0.0169014742409,0.955
2026100702,0.00316666666667,1492,1531,1495,1482,0.998088932292,-0.164755598958,0.00129422456084,1,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_FE_2026100702,40,4000,0.998098958333,-0.164765625,0.00127015514633,1
2026100703,0.00383333333333,1518,1498,1458,1526,0.969518229167,-0.136184895833,0.012503231618,1,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_FE_2026100703,40,4000,0.969153645833,-0.1358203125,0.0125309430854,1
2026100704,0.00383333333333,1442,1576,1524,1458,0.997492057292,-0.164158723958,0.00182567628237,1,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_FE_2026100704,40,4000,0.9976171875,-0.164283854167,0.00179946411663,1
2026100705,0.00283333333333,1487,1560,1479,1474,0.995523307292,-0.162189973958,0.00267558249354,1,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_FE_2026100705,40,4000,0.995234375,-0.161901041667,0.00271358590576,1
2026100706,0.00216666666667,1491,1496,1516,1497,0.993794401042,-0.160461067708,0.00485835197672,1,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_FE_2026100706,40,4000,0.993932291667,-0.160598958333,0.00477955676417,1
2026100707,0.00166666666667,1521,1482,1511,1486,0.998739583333,-0.16540625,0.000927211148116,1,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_FE_2026100707,40,4000,0.998736979167,-0.165403645833,0.000934105663848,1
2026100708,0.0025,1538,1505,1421,1536,0.996210286458,-0.162876953125,0.00248291489127,1,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_FE_2026100708,40,4000,0.996041666667,-0.162708333333,0.00260367690273,1
2026100709,0.00283333333333,1527,1508,1497,1468,0.997647916667,-0.164314583333,0.00184010911918,1,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_FE_2026100709,40,4000,0.9979296875,-0.164596354167,0.00161367489028,1
2026100710,0.00633333333333,1542,1501,1452,1505,0.908481380208,-0.075148046875,0.0107649681073,1,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_FE_2026100710,40,4000,0.907942708333,-0.074609375,0.0105626485217,1
2026100711,0.003,1496,1507,1474,1523,0.998101692708,-0.164768359375,0.00105671145917,1,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_FE_2026100711,40,4000,0.998138020833,-0.1648046875,0.00103521349237,1
2026100712,0.00316666666667,1542,1525,1474,1459,0.98856328125,-0.155229947917,0.00632532696249,1,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_FE_2026100712,40,4000,0.988567708333,-0.155234375,0.00632866970059,1
2026100713,0.00233333333333,1530,1486,1501,1483,0.959267447917,-0.125934114583,0.000914273863748,1,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_FE_2026100713,40,4000,0.959270833333,-0.1259375,0.000911702365016,1
2026100714,0.00416666666667,1437,1514,1531,1518,0.992278255208,-0.158944921875,0.0051628621397,1,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_FE_2026100714,40,4000,0.992057291667,-0.158723958333,0.00527344408679,1
2026100715,0.00433333333333,1579,1474,1419,1528,0.989683463542,-0.156350130208,0.00626899977609,1,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_FE_2026100715,40,4000,0.989635416667,-0.156302083333,0.00633678424594,1
