seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026100700,250,250,1,-0.166666666667,0,1,0.004,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100701,250,250,0.993375,-0.160041666667,0.00513524514339,1,0.008,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100702,250,250,0.9997375,-0.166404166667,0.000230487804878,1,0.008,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100703,250,250,0.998558333333,-0.165225,0.00123571428571,1,0.004,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100704,250,250,0.997908333333,-0.164575,0.00170543437773,1,0.016,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100705,250,250,0.998947916667,-0.165614583333,0.000891176470588,1,0.004,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100706,250,250,0.997045833333,-0.1637125,0.00216189100823,1,0.012,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100707,250,250,0.99996875,-0.166635416667,2.77777777778e-05,1,0.008,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100708,250,250,1,-0.166666666667,0,1,0,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100709,250,250,0.996735416667,-0.163402083333,0.00263576779026,1,0.008,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100710,250,250,0.99960625,-0.166272916667,0.00035,1,0.004,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100711,250,250,0.990208333333,-0.156875,0.00730182587273,1,0.012,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100712,250,250,1,-0.166666666667,0,1,0,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100713,250,250,1,-0.166666666667,0,1,0,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100714,250,250,0.9959,-0.162566666667,0.003075,1,0.004,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100715,250,250,0.996625,-0.163291666667,0.00273033707865,1,0.004,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100700,500,250,0.999814583333,-0.16648125,0.000164814814815,1,0.004,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100701,500,250,0.985014583333,-0.15168125,0.0103022971374,1,0.01,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100702,500,250,0.998102083333,-0.16476875,0.00141991170256,1,0.008,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100703,500,250,0.997916666667,-0.164583333333,0.00178571428571,1,0.002,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100704,500,250,0.998620833333,-0.1652875,0.00106648493544,1,0.01,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100705,500,250,0.996222916667,-0.162889583333,0.00310672268908,1,0.008,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100706,500,250,0.989583333333,-0.15625,0.00641757661638,1,0.006,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100707,500,250,0.999479166667,-0.166145833333,0.000462962962963,1,0.004,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100708,500,250,0.996995833333,-0.1636625,0.00250199741773,1,0.006,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100709,500,250,0.994791666667,-0.161458333333,0.00416666666667,1,0.004,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100710,500,250,0.998958333333,-0.165625,0.000703399661199,1,0.006,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100711,500,250,0.9899375,-0.156604166667,0.00770179986441,1,0.012,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
2026100712,500,250,0.987891666667,-0.154558333333,0.0103159147436,1,0.006,initial_full,threshold,FE,6000,2000,100,20,13,18,94,1,full,mean,250
