seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026100900,0.0171666666667,1447,1479,1536,1538,0.659951302083,0.16119453125,0.095602705314,0.985375,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_MI_2026100900,40,4000,0.65546875,0.158072916667,0.0976715690525,0.97625
2026100901,0.00216666666667,1510,1501,1514,1475,0.944657942708,-0.111324609375,0.0230564341637,1,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_MI_2026100901,40,4000,0.938919270833,-0.1055859375,0.024823359312,1
2026100902,0.01,1484,1478,1490,1548,0.521846354167,0.3100078125,0.107437788033,0.998225,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_MI_2026100902,40,4000,0.521419270833,0.309830729167,0.107751183514,0.9975
2026100903,0.0085,1485,1458,1544,1513,0.897678125,-0.100959375,0.0408112841262,0.9560625,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_MI_2026100903,40,4000,0.892486979167,-0.0935286458333,0.0428664034311,0.95875
2026100904,0.0195,1504,1457,1509,1530,0.467593359375,0.0391149739583,0.170818874547,0.60805,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_MI_2026100904,40,4000,0.471028645833,0.0383463541667,0.170862215309,0.61125
2026100905,0.0125,1484,1488,1533,1495,0.58726953125,0.21719921875,0.105724648596,0.9653625,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_MI_2026100905,40,4000,0.589440104167,0.2209765625,0.104081186974,0.9725
2026100906,0.009,1498,1439,1539,1524,0.688350260417,0.13516015625,0.0720518484239,0.9882125,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_MI_2026100906,40,4000,0.681184895833,0.137565104167,0.0746156783188,0.9825
2026100907,0.006,1529,1452,1542,1477,0.488418229167,0.2818109375,0.117641370543,0.924275,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_MI_2026100907,40,4000,0.4893359375,0.2825390625,0.116413417022,0.92625
2026100908,0.0035,1557,1533,1430,1480,0.653695052083,0.172252864583,0.0781708951276,0.9911375,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_MI_2026100908,40,4000,0.646861979167,0.1791796875,0.0796789021063,0.99125
2026100909,0.00516666666667,1487,1512,1481,1520,0.864176432292,-0.0323118489583,0.035203502423,0.9982375,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_MI_2026100909,40,4000,0.860859375,-0.0285677083333,0.0359310519569,0.99875
2026100910,0.015,1520,1492,1475,1513,0.566083984375,0.243051432292,0.0944070490788,0.9709625,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_MI_2026100910,40,4000,0.565833333333,0.241458333333,0.0947467891002,0.96875
2026100911,0.00766666666667,1526,1496,1466,1512,0.788072916667,0.04021875,0.0504444535337,0.99395,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_MI_2026100911,40,4000,0.7868359375,0.0433723958333,0.0498343205987,0.99625
2026100912,0.00783333333333,1488,1489,1558,1465,0.511191666667,0.312933333333,0.107574336621,0.98895,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_MI_2026100912,40,4000,0.511119791667,0.313880208333,0.107404324333,0.99
2026100913,0.0201666666667,1519,1476,1540,1465,0.548755338542,0.284577994792,0.0900564484931,1,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_MI_2026100913,40,4000,0.548828125,0.284505208333,0.0900446946005,1
2026100914,0.009,1596,1453,1490,1461,0.658500651042,0.174124348958,0.0762424589618,0.99915,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_MI_2026100914,40,4000,0.657526041667,0.175807291667,0.075975551292,1
2026100915,0.0128333333333,1535,1487,1461,1517,0.816750390625,-0.0452087239583,0.0541791353618,0.92585,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250,initial_full_threshold_MI_2026100915,40,4000,0.812200520833,-0.0444921875,0.0558305616357,0.92125
