seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026100900,250,250,0.99954375,-0.166210416667,0.000405555555556,1,0.004,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100901,250,250,0.9994625,-0.166129166667,0.000471951219512,1,0.004,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100902,250,250,0.998210416667,-0.164877083333,0.00131463692757,1,0.016,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100903,250,250,0.999570833333,-0.1662375,0.000381481481481,1,0.004,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100904,250,250,0.991545833333,-0.1582125,0.00703741674448,1,0.012,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100905,250,250,1,-0.166666666667,0,1,0,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100906,250,250,1,-0.166666666667,0,1,0,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100907,250,250,0.999741666667,-0.166408333333,0.000225152625153,1,0.008,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100908,250,250,0.9992125,-0.165879166667,0.000691463414634,1,0.004,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100909,250,250,0.99890625,-0.165572916667,0.000932135076253,1,0.008,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100910,250,250,0.99815,-0.164816666667,0.00161499330656,1,0.02,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100911,250,250,0.999958333333,-0.166625,3.7037037037e-05,1,0.004,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100912,250,250,0.997510416667,-0.164177083333,0.00173853596311,1,0.012,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100913,250,250,1,-0.166666666667,0,1,0.004,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100914,250,250,0.99929375,-0.165960416667,0.000616149870801,1,0.008,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100915,250,250,1,-0.166666666667,0,1,0,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100900,500,250,0.999479166667,-0.166145833333,0.000462962962963,1,0.002,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100901,500,250,0.998958333333,-0.165625,0.000914634146341,1,0.002,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100902,500,250,0.997916666667,-0.164583333333,0.0014880952381,1,0.008,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100903,500,250,0.999491666667,-0.166158333333,0.000451851851852,1,0.004,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100904,500,250,0.984239583333,-0.15090625,0.0115964617787,1,0.01,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100905,500,250,0.97055625,-0.137222916667,0.0162954085084,1,0.004,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100906,500,250,0.99409375,-0.160760416667,0.00452316803702,1,0.006,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
2026100907,500,250,0.999479166667,-0.166145833333,0.000462962962963,1,0.004,initial_full,threshold,MI,6000,2000,100,20,13,18,94,1,full,mean,250
