seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026090800,250,250,0.547245833333,1.37310583333,0.0925024231042,,0.088,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090801,250,250,0.49809375,1.247695,0.097908367115,,0.256,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090802,250,250,0.492364583333,1.21125083333,0.0950056811392,,0.176,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090803,250,250,0.474364583333,1.20038083333,0.0934156037416,,0.192,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090804,250,250,0.523025,1.37542,0.0660412807301,,0.172,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090805,250,250,0.588497916667,1.54650666667,0.0697736474044,,0.06,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090806,250,250,0.342197916667,0.857281666667,0.137757419443,,0.208,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090807,250,250,0.49495625,1.239045,0.0981724929558,,0.244,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090808,250,250,0.491129166667,1.24619916667,0.082958793034,,0.208,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090809,250,250,0.3704,0.928485,0.125979017856,,0.164,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090810,250,250,0.528616666667,1.42569916667,0.0868141034657,,0.052,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090811,250,250,0.48445625,1.221855,0.0886560236551,,0.292,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090812,250,250,0.454825,1.1576025,0.0995677734238,,0.128,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090813,250,250,0.610883333333,1.56274333333,0.067394392942,,0.144,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090814,250,250,0.602910416667,1.50771416667,0.0736306923062,,0.128,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090815,250,250,0.654714583333,1.72386833333,0.0501116732604,,0.044,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090800,500,250,0.7036,1.762045,0.0472280830921,,0.062,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090801,500,250,0.609208333333,1.53890333333,0.0647692052413,,0.238,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090802,500,250,0.546097916667,1.37911666667,0.0675213622051,,0.174,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090803,500,250,0.52563125,1.32642,0.0771685837843,,0.24,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090804,500,250,0.643035416667,1.63443416667,0.0522503492282,,0.174,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090805,500,250,0.696572916667,1.81043666667,0.0290629380824,,0.048,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090806,500,250,0.52648125,1.33024,0.0796929322494,,0.244,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090807,500,250,0.792252083333,1.97598333333,0.0359611057148,,0.126,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090808,500,250,0.6719,1.724735,0.0430873024003,,0.134,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090809,500,250,0.601960416667,1.52965916667,0.0667732949902,,0.116,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090810,500,250,0.580416666667,1.46945166667,0.0696805995998,,0.15,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090811,500,250,0.60745625,1.53785,0.0630209877788,,0.246,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090812,500,250,0.56478125,1.42357,0.0681340745752,,0.188,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090813,500,250,0.70289375,1.7938475,0.0462452630557,,0.098,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090814,500,250,0.7121625,1.78867,0.0388222529559,,0.108,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090815,500,250,0.59976875,1.5298175,0.0570937210266,,0.1,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090800,750,250,0.684266666667,1.74579666667,0.0401662795363,,0.0533333333333,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090801,750,250,0.561645833333,1.42637583333,0.067793736992,,0.226666666667,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090802,750,250,0.57993125,1.4686675,0.0661784880199,,0.204,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090803,750,250,0.5309375,1.3522,0.0761843025627,,0.276,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090804,750,250,0.518477083333,1.30635833333,0.0784418852827,,0.209333333333,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090805,750,250,0.525654166667,1.32602166667,0.0757271136737,,0.102666666667,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090806,750,250,0.532827083333,1.34194583333,0.0780170888976,,0.245333333333,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090807,750,250,0.852083333333,2.13708333333,0.0168631803463,,0.084,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090808,750,250,0.7078125,1.7925,0.050493402521,,0.0893333333333,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090809,750,250,0.77231875,2.0063275,0.0208253525604,,0.0813333333333,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090810,750,250,0.637083333333,1.62953833333,0.0571253329107,,0.133333333333,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090811,750,250,0.615502083333,1.55703833333,0.0599938636316,,0.212,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090812,750,250,0.553283333333,1.39826333333,0.072307294268,,0.196,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090813,750,250,0.526822916667,1.32081916667,0.0775546350254,,0.172,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090814,750,250,0.569277083333,1.44806083333,0.0622146202441,,0.132,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090815,750,250,0.557520833333,1.41790583333,0.0615061217185,,0.141333333333,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090800,1000,250,0.556079166667,1.41563916667,0.0706541498106,,0.115,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090801,1000,250,0.597258333333,1.51076083333,0.0625047932755,,0.207,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090802,1000,250,0.665904166667,1.66997416667,0.0457553919283,,0.162,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090803,1000,250,0.805729166667,2.01104166667,0.0304881952494,,0.207,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090804,1000,250,0.636014583333,1.61823083333,0.0526662724888,,0.181,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090805,1000,250,0.61079375,1.5345175,0.0686116690627,,0.094,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090806,1000,250,0.54085625,1.351325,0.0811958344218,,0.238,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090807,1000,250,0.852083333333,2.13708333333,0.0168631803463,,0.063,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090808,1000,250,0.7078125,1.7925,0.050493402521,,0.067,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090809,1000,250,0.612108333333,1.54720333333,0.0608596126171,,0.107,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090810,1000,250,0.56730625,1.4561975,0.0675123220519,,0.13,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090811,1000,250,0.534222916667,1.34998666667,0.0756044555846,,0.219,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090812,1000,250,0.603822916667,1.53828916667,0.0504392259886,,0.184,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090813,1000,250,0.53719375,1.372065,0.0659126104986,,0.193,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090814,1000,250,0.511664583333,1.28838083333,0.0749677676279,,0.154,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090815,1000,250,0.637347916667,1.56817916667,0.0606024298367,,0.134,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090800,1250,250,0.627066666667,1.59030916667,0.0575641930977,,0.12,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090801,1250,250,0.572758333333,1.46084833333,0.067706204046,,0.2,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090802,1250,250,0.68611875,1.6986375,0.0461367070688,,0.1488,initial_zero,linear,AI,6000,2000,100,20,13,0,14,1,zero,mean,250
