seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026090700,0.1345,1452,1574,1495,1479,0.5925453125,1.3035996875,0.0466672083281,,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250,initial_zero_linear_FE_2026090700,40,4000,0.5830078125,1.2826171875,0.0486630550304,
2026090701,0.0485,1486,1482,1480,1552,0.8271578125,1.8197471875,0.0266402992489,,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250,initial_zero_linear_FE_2026090701,40,4000,0.826979166667,1.81935416667,0.0266235642626,
2026090702,0.161833333333,1458,1506,1494,1542,0.625790625,1.376739375,0.0433228947337,,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250,initial_zero_linear_FE_2026090702,40,4000,0.627630208333,1.38078645833,0.0428103131805,
2026090703,0.121666666667,1453,1499,1486,1562,0.648652213542,1.42703486979,0.034445360662,,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250,initial_zero_linear_FE_2026090703,40,4000,0.641549479167,1.41140885417,0.0346893961564,
2026090704,0.199833333333,1515,1519,1459,1507,0.595573828125,1.31026242187,0.04689238477,,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250,initial_zero_linear_FE_2026090704,40,4000,0.6026953125,1.3259296875,0.0481496146536,
2026090705,0.165,1515,1488,1485,1512,0.604981640625,1.33095960937,0.0432349362706,,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250,initial_zero_linear_FE_2026090705,40,4000,0.599869791667,1.31971354167,0.0443981382783,
2026090706,0.0705,1536,1438,1479,1547,0.737971223958,1.62353669271,0.0285032001041,,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250,initial_zero_linear_FE_2026090706,40,4000,0.736263020833,1.61977864583,0.0269668967338,
2026090707,0.0893333333333,1476,1563,1508,1453,0.689669921875,1.51727382813,0.0341174901364,,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250,initial_zero_linear_FE_2026090707,40,4000,0.685729166667,1.50860416667,0.0339286265722,
2026090708,0.0958333333333,1502,1504,1489,1505,0.617696484375,1.35893226562,0.0472030644714,,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250,initial_zero_linear_FE_2026090708,40,4000,0.6275390625,1.3805859375,0.0460691213081,
2026090709,0.157333333333,1457,1468,1522,1553,0.623148177083,1.37092598958,0.0421225965274,,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250,initial_zero_linear_FE_2026090709,40,4000,0.623138020833,1.37090364583,0.0430895004823,
2026090710,0.112666666667,1510,1494,1507,1489,0.692453776042,1.52339830729,0.0370548138998,,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250,initial_zero_linear_FE_2026090710,40,4000,0.689674479167,1.51728385417,0.0357653676577,
2026090711,0.130166666667,1539,1518,1474,1469,0.620171354167,1.36437697917,0.0443985789981,,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250,initial_zero_linear_FE_2026090711,40,4000,0.619375,1.362625,0.0434844709747,
2026090712,0.160666666667,1498,1497,1517,1488,0.574361067708,1.26359434896,0.0497985239108,,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250,initial_zero_linear_FE_2026090712,40,4000,0.558619791667,1.22896354167,0.0513078682215,
2026090713,0.0998333333333,1521,1535,1491,1453,0.742990625,1.634579375,0.0213804255859,,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250,initial_zero_linear_FE_2026090713,40,4000,0.743216145833,1.63507552083,0.0220289840363,
2026090714,0.1405,1525,1530,1445,1500,0.594158854167,1.30714947917,0.0476050675446,,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250,initial_zero_linear_FE_2026090714,40,4000,0.563671875,1.240078125,0.0506093765582,
2026090715,0.0571666666667,1497,1457,1505,1541,0.752927604167,1.65644072917,0.0228686796327,,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250,initial_zero_linear_FE_2026090715,40,4000,0.753059895833,1.65673177083,0.0221255711772,
