seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026090700,250,250,0.4144625,0.9118175,0.0545332183613,,0.092,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090701,250,250,0.420610416667,0.925342916667,0.0542160258014,,0.256,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090702,250,250,0.520008333333,1.14401833333,0.0459707018632,,0.176,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090703,250,250,0.318633333333,0.700993333333,0.0378186665543,,0.136,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090704,250,250,0.38790625,0.85339375,0.0540608607898,,0.208,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090705,250,250,0.23801875,0.52364125,0.0311107023681,,0.228,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090706,250,250,0.534391666667,1.17566166667,0.0505444521323,,0.216,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090707,250,250,0.384227083333,0.845299583333,0.053434314896,,0.24,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090708,250,250,0.605322916667,1.33171041667,0.0451155534414,,0.144,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090709,250,250,0.3823625,0.8411975,0.0443608545557,,0.208,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090710,250,250,0.626966666667,1.37932666667,0.0650133727343,,0.068,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090711,250,250,0.427291666667,0.940041666667,0.0517429702303,,0.18,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090712,250,250,0.448,0.9856,0.0593248384049,,0.168,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090713,250,250,0.417152083333,0.917734583333,0.0481454831141,,0.276,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090714,250,250,0.44070625,0.96955375,0.0425263699681,,0.168,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090715,250,250,0.462441666667,1.01737166667,0.0532148311645,,0.26,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090700,500,250,0.703320833333,1.54730583333,0.0462339963183,,0.094,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090701,500,250,0.533825,1.174415,0.0505028681534,,0.236,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090702,500,250,0.529995833333,1.16599083333,0.0578627570332,,0.254,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090703,500,250,0.669270833333,1.47239583333,0.0411028090171,,0.068,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090704,500,250,0.5439,1.19658,0.058231414081,,0.298,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090705,500,250,0.634014583333,1.39483208333,0.0585417255029,,0.17,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090706,500,250,0.706770833333,1.55489583333,0.0442716008818,,0.108,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090707,500,250,0.482858333333,1.06228833333,0.0596069084136,,0.27,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090708,500,250,0.828614583333,1.82295208333,0.0252888845531,,0.074,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090709,500,250,0.606347916667,1.33396541667,0.0497273897996,,0.19,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090710,500,250,0.788166666667,1.73396666667,0.040978397417,,0.036,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090711,500,250,0.732125,1.610675,0.0358762472464,,0.124,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090712,500,250,0.585875,1.288925,0.04475523697,,0.176,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090713,500,250,0.55231875,1.21510125,0.054442779001,,0.266,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090714,500,250,0.652891666667,1.43636166667,0.0392047407303,,0.114,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090715,500,250,0.697154166667,1.53373916667,0.0367004284245,,0.162,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090700,750,250,0.8301125,1.8262475,0.0231897073827,,0.0706666666667,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090701,750,250,0.774910416667,1.70480291667,0.0261526165824,,0.164,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090702,750,250,0.519997916667,1.14399541667,0.0570126421899,,0.257333333333,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090703,750,250,0.5616125,1.2355475,0.0572788306224,,0.116,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090704,750,250,0.522247916667,1.14894541667,0.057722242157,,0.306666666667,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090705,750,250,0.500654166667,1.10143916667,0.0577715443043,,0.178666666667,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090706,750,250,0.676045833333,1.48730083333,0.0461086424884,,0.0973333333333,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090707,750,250,0.53910625,1.18603375,0.0587596947243,,0.265333333333,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090708,750,250,0.8277,1.82094,0.0239757551942,,0.052,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090709,750,250,0.58128125,1.27881875,0.045637751624,,0.196,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090710,750,250,0.602027083333,1.32445958333,0.0457110532486,,0.084,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090711,750,250,0.775,1.705,0.0306399358383,,0.0826666666667,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090712,750,250,0.551189583333,1.21261708333,0.0480810635273,,0.169333333333,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090713,750,250,0.541016666667,1.19023666667,0.0502436907144,,0.269333333333,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090714,750,250,0.736529166667,1.62036416667,0.0320625761683,,0.0813333333333,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090715,750,250,0.833604166667,1.83392916667,0.010041459432,,0.109333333333,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090700,1000,250,0.848475,1.866645,0.020425342353,,0.057,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090701,1000,250,0.636591666667,1.40050166667,0.039877694952,,0.171,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090702,1000,250,0.560089583333,1.23219708333,0.0452709286388,,0.236,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090703,1000,250,0.556552083333,1.22441458333,0.0542017524968,,0.146,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090704,1000,250,0.543089583333,1.19479708333,0.0612709104307,,0.302,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090705,1000,250,0.55485,1.22067,0.0596181664027,,0.187,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090706,1000,250,0.770133333333,1.69429333333,0.0352927877316,,0.082,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090707,1000,250,0.66675,1.46685,0.0222068851971,,0.2,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090708,1000,250,0.835883333333,1.83894333333,0.0260526965285,,0.042,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090709,1000,250,0.5048,1.11056,0.0575336202603,,0.237,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090710,1000,250,0.547614583333,1.20475208333,0.0585437244375,,0.114,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090711,1000,250,0.786883333333,1.73114333333,0.0301346254914,,0.067,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090712,1000,250,0.679966666667,1.49592666667,0.0355943988145,,0.15,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090713,1000,250,0.548422916667,1.20653041667,0.0505869522466,,0.277,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090714,1000,250,0.784895833333,1.72677083333,0.0255352482631,,0.061,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090715,1000,250,0.836979166667,1.84135416667,0.0101536283282,,0.082,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090700,1250,250,0.871354166667,1.91697916667,0.0213801022722,,0.0464,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090701,1250,250,0.53215,1.17073,0.0494346332282,,0.1864,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090702,1250,250,0.545154166667,1.19933916667,0.0564581123338,,0.2432,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090703,1250,250,0.55843125,1.22854875,0.0499731356571,,0.1616,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090704,1250,250,0.5828125,1.2821875,0.0557175117349,,0.2968,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090705,1250,250,0.5243625,1.1535975,0.052560669238,,0.2008,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090706,1250,250,0.756635416667,1.66459791667,0.0278587350524,,0.0672,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090707,1250,250,0.6796875,1.4953125,0.0199450487054,,0.16,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090708,1250,250,0.838122916667,1.84387041667,0.0170355337301,,0.036,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090709,1250,250,0.6196125,1.3631475,0.0473931234222,,0.2384,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090710,1250,250,0.549620833333,1.20916583333,0.0552061275063,,0.148,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090711,1250,250,0.858933333333,1.88965333333,0.0210562586123,,0.0576,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090712,1250,250,0.595758333333,1.31066833333,0.0542353473065,,0.1528,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090713,1250,250,0.7727,1.69994,0.0317572742387,,0.2224,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090714,1250,250,0.785145833333,1.72732083333,0.0255155078082,,0.0496,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090715,1250,250,0.836979166667,1.84135416667,0.0101536283282,,0.0656,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090700,1500,250,0.847916666667,1.86541666667,0.0223941772595,,0.0393333333333,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090701,1500,250,0.61881875,1.36140125,0.0500592771775,,0.190666666667,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090702,1500,250,0.52826875,1.16219125,0.0539303998652,,0.232666666667,initial_zero,linear,FE,6000,2000,100,20,13,0,14,1,zero,mean,250
