seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026090900,250,250,0.322339583333,0.627148333333,0.158194313303,,0.188,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090901,250,250,0.39653125,0.771825,0.135652846524,,0.34,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090902,250,250,0.436175,0.85499,0.124271538187,,0.2,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090903,250,250,0.342,0.66936,0.150705853446,,0.256,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090904,250,250,0.500383333333,0.956775833333,0.0936172484137,,0.112,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090905,250,250,0.430389583333,0.810635833333,0.1162152488,,0.3,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090906,250,250,0.3560875,0.71368,0.144712618926,,0.148,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090907,250,250,0.47376875,0.89745,0.109480498932,,0.276,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090908,250,250,0.453033333333,0.861765833333,0.113113403669,,0.324,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090909,250,250,0.465595833333,0.885465833333,0.111508636043,,0.38,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090910,250,250,0.406272916667,0.789664166667,0.132459528799,,0.248,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090911,250,250,0.39805625,0.7995925,0.137502607386,,0.292,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090912,250,250,0.335670833333,0.663673333333,0.154284833005,,0.252,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090913,250,250,0.272435416667,0.568491666667,0.180475551885,,0.26,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090914,250,250,0.386510416667,0.754984166667,0.132166659274,,0.292,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090915,250,250,0.403120833333,0.775918333333,0.131355765458,,0.2,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090900,500,250,0.484477083333,0.933933333333,0.0991342166498,,0.224,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090901,500,250,0.606647916667,1.15584666667,0.0712921686558,,0.294,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090902,500,250,0.656497916667,1.27060166667,0.0652375212904,,0.156,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090903,500,250,0.521666666667,1.00417416667,0.0943098701916,,0.242,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090904,500,250,0.676185416667,1.28995916667,0.0591296594639,,0.084,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090905,500,250,0.483366666667,0.926001666667,0.104742273205,,0.302,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090906,500,250,0.467514583333,0.915055833333,0.112030633729,,0.282,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090907,500,250,0.494170833333,0.949495833333,0.100253763807,,0.288,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090908,500,250,0.7125,1.396875,0.0514595558513,,0.164,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090909,500,250,0.549333333333,1.06100333333,0.0927256495969,,0.29,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090910,500,250,0.49639375,0.950265,0.0998405077029,,0.3,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090911,500,250,0.479533333333,0.925805833333,0.101330595815,,0.232,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090912,500,250,0.557879166667,1.06250166667,0.0853577468465,,0.252,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090913,500,250,0.512985416667,0.983321666667,0.0988127946566,,0.288,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090914,500,250,0.484377083333,0.941883333333,0.109867489737,,0.274,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090915,500,250,0.499370833333,0.950343333333,0.0997148220214,,0.296,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090900,750,250,0.525266666667,0.990124166667,0.0855986706423,,0.252,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090901,750,250,0.494925,0.948675,0.100663114823,,0.321333333333,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090902,750,250,0.517502083333,0.984753333333,0.0930854380601,,0.192,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090903,750,250,0.510302083333,0.969160833333,0.092116046454,,0.256,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090904,750,250,0.671354166667,1.29229166667,0.061534931751,,0.056,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090905,750,250,0.470941666667,0.899529166667,0.107571546602,,0.293333333333,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090906,750,250,0.563891666667,1.05717916667,0.0746686057689,,0.254666666667,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090907,750,250,0.520027083333,0.986658333333,0.0936051093399,,0.276,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090908,750,250,0.59920625,1.1578575,0.0786330826811,,0.184,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090909,750,250,0.534004166667,1.02006916667,0.0873687156282,,0.310666666667,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090910,750,250,0.540616666667,1.05553166667,0.0941644262318,,0.282666666667,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090911,750,250,0.501125,0.974555,0.100461215634,,0.237333333333,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090912,750,250,0.525214583333,0.997948333333,0.0889108171264,,0.245333333333,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090913,750,250,0.648020833333,1.24215333333,0.0641185134206,,0.245333333333,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090914,750,250,0.522725,1.010855,0.0940085335809,,0.290666666667,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090915,750,250,0.503558333333,0.975128333333,0.0986710551441,,0.254666666667,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090900,1000,250,0.535125,1.0373975,0.0889674473865,,0.261,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090901,1000,250,0.47385625,0.9278475,0.111534826918,,0.307,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090902,1000,250,0.805379166667,1.53044416667,0.0338666097219,,0.155,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
2026090903,1000,250,0.5456625,1.05138,0.0898114243989,,0.274,initial_zero,linear,MI,6000,2000,100,20,13,0,14,1,zero,mean,250
