seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026100800,0.00283333333333,1446,1536,1545,1473,0.00410104166667,-0.00410104166667,0.250995854664,0,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_AI_2026100800,40,4000,0.00401041666667,-0.00401041666667,0.250982729832,0
2026100801,0.00283333333333,1498,1480,1487,1535,0.00925572916667,-0.00925572916667,0.251899232495,0,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_AI_2026100801,40,4000,0.00932291666667,-0.00932291666667,0.251877598144,0
2026100802,0.00333333333333,1546,1519,1422,1513,0.000429817708333,-0.000429817708333,0.250180195487,0,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_AI_2026100802,40,4000,0.0004296875,-0.0004296875,0.250176924165,0
2026100803,0.0045,1503,1421,1579,1497,0.00319049479167,-0.00319049479167,0.249665363458,0,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_AI_2026100803,40,4000,0.00346354166667,-0.00346354166667,0.249598828867,0
2026100804,0.002,1468,1544,1520,1468,0.000702473958333,-0.000702473958333,0.250185505319,0,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_AI_2026100804,40,4000,0.000716145833333,-0.000716145833333,0.250199468085,0
2026100805,0.002,1486,1494,1503,1517,0.000806119791667,-0.000806119791667,0.2501199338,0,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_AI_2026100805,40,4000,0.00078125,-0.00078125,0.250112598289,0
2026100806,0.003,1425,1567,1486,1522,0.000971875,-0.000971875,0.250460638298,0,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_AI_2026100806,40,4000,0.000963541666667,-0.000963541666667,0.25045212766,0
2026100807,0.00233333333333,1504,1521,1465,1510,0.000520833333333,-0.000520833333333,0.250526315789,0,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_AI_2026100807,40,4000,0.000520833333333,-0.000520833333333,0.250526315789,0
2026100808,0.00483333333333,1482,1534,1519,1465,0.00330885416667,-0.00330885416667,0.251320446437,0,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_AI_2026100808,40,4000,0.003203125,-0.003203125,0.251226453189,0
2026100809,0.00316666666667,1471,1473,1585,1471,0.00084453125,-0.00084453125,0.250330585106,0,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_AI_2026100809,40,4000,0.000833333333333,-0.000833333333333,0.250319148936,0
2026100810,0.003,1555,1469,1443,1533,0.000744140625,-0.000744140625,0.250228058511,0,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_AI_2026100810,40,4000,0.000755208333333,-0.000755208333333,0.250239361702,0
2026100811,0.003,1466,1437,1549,1548,0.000369140625,-0.000369140625,0.250366710526,0,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_AI_2026100811,40,4000,0.000390625,-0.000390625,0.250355263158,0
2026100812,0.00466666666667,1526,1477,1521,1476,0.0015421875,-0.0015421875,0.251557675094,0,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_AI_2026100812,40,4000,0.0015234375,-0.0015234375,0.251521834141,0
2026100813,0.003,1466,1530,1506,1498,0.001017578125,-0.001017578125,0.249746343085,0,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_AI_2026100813,40,4000,0.00102864583333,-0.00102864583333,0.249740691489,0
2026100814,0.00333333333333,1488,1505,1488,1519,0.000757291666667,-0.000757291666667,0.250423621883,0,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_AI_2026100814,40,4000,0.000716145833333,-0.000716145833333,0.250371371717,0
2026100815,0.004,1541,1552,1413,1494,0.00109153645833,-0.00109153645833,0.250045657895,0,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_AI_2026100815,40,4000,0.00109375,-0.00109375,0.250052631579,0
