seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026100800,250,250,0.00171666666667,-0.00171666666667,0.251831436511,0,0.012,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100801,250,250,0,0,0.25,0,0.008,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100802,250,250,0,0,0.25,0,0,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100803,250,250,0.000391666666667,-0.000391666666667,0.250396371781,0,0.008,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100804,250,250,0,0,0.25,0,0.004,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100805,250,250,0,0,0.25,0,0,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100806,250,250,0,0,0.25,0,0.008,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100807,250,250,0.000247916666667,-0.000247916666667,0.250250526316,0,0.004,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100808,250,250,0,0,0.25,0,0,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100809,250,250,0,0,0.25,0,0,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100810,250,250,0.0008125,-0.0008125,0.250857142857,0,0.004,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100811,250,250,0.000120833333333,-0.000120833333333,0.250122105263,0,0.004,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100812,250,250,0.0011375,-0.0011375,0.251174193548,0,0.004,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100813,250,250,0,0,0.25,0,0.004,initial_zero,threshold,AI,6000,2000,100,20,13,18,94,1,zero,mean,250
