seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026100700,0.0025,1510,1476,1537,1477,0.00239739583333,-0.00239739583333,0.0016643037516,0,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_FE_2026100700,40,4000,0.00231770833333,-0.00231770833333,0.00159924426601,0
2026100701,0.00166666666667,1475,1525,1475,1525,0.00104166666667,-0.00104166666667,0.000531914893617,0,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_FE_2026100701,40,4000,0.00104166666667,-0.00104166666667,0.000531914893617,0
2026100702,0.0035,1492,1531,1495,1482,0.00210794270833,-0.00210794270833,0.00146385805713,0,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_FE_2026100702,40,4000,0.00213541666667,-0.00213541666667,0.00147513261819,0
2026100703,0.00216666666667,1518,1498,1458,1526,8.33333333333e-05,-8.33333333333e-05,6.31578947368e-05,0,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_FE_2026100703,40,4000,9.11458333333e-05,-9.11458333333e-05,6.90789473684e-05,0
2026100704,0.00333333333333,1442,1576,1524,1458,0.000988932291667,-0.000988932291667,0.000537903647244,0,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_FE_2026100704,40,4000,0.00100260416667,-0.00100260416667,0.00053486194897,0
2026100705,0.002,1487,1560,1479,1474,0.000883984375,-0.000883984375,0.000465060393563,0,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_FE_2026100705,40,4000,0.000872395833333,-0.000872395833333,0.000467391991475,0
2026100706,0.002,1491,1496,1516,1497,0.00131041666667,-0.00131041666667,0.00094211680498,0,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_FE_2026100706,40,4000,0.00138020833333,-0.00138020833333,0.00100031865703,0
2026100707,0.002,1521,1482,1511,1486,0.00102955729167,-0.00102955729167,0.000601830899529,0,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_FE_2026100707,40,4000,0.00102864583333,-0.00102864583333,0.000603221441559,0
2026100708,0.00133333333333,1538,1505,1421,1536,0.00102109375,-0.00102109375,0.000526496360582,0,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_FE_2026100708,40,4000,0.00102864583333,-0.00102864583333,0.000528485442329,0
2026100709,0.002,1527,1508,1497,1468,0.00277825520833,-0.00277825520833,0.00190202940448,0,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_FE_2026100709,40,4000,0.00278645833333,-0.00278645833333,0.00190861833883,0
2026100710,0.002,1542,1501,1452,1505,0.00190924479167,-0.00190924479167,0.00134314581539,0,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_FE_2026100710,40,4000,0.00196614583333,-0.00196614583333,0.00138076954778,0
2026100711,0.00233333333333,1496,1507,1474,1523,0.000725390625,-0.000725390625,0.000507555674963,0,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_FE_2026100711,40,4000,0.000690104166667,-0.000690104166667,0.000481333309251,0
2026100712,0.002,1542,1525,1474,1459,0.0011375,-0.0011375,0.000718041878891,0,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_FE_2026100712,40,4000,0.00111979166667,-0.00111979166667,0.000708757781551,0
2026100713,0.0035,1530,1486,1501,1483,0.001974609375,-0.001974609375,0.00152264753301,0,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_FE_2026100713,40,4000,0.00197916666667,-0.00197916666667,0.00152468062649,0
2026100714,0.00116666666667,1437,1514,1531,1518,0.007275,-0.007275,0.00453147022896,0,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_FE_2026100714,40,4000,0.00729166666667,-0.00729166666667,0.00453151200832,0
2026100715,0.00166666666667,1579,1474,1419,1528,0.001566796875,-0.001566796875,0.000661222568905,0,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_FE_2026100715,40,4000,0.0016015625,-0.0016015625,0.000673980872738,0
