seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026100700,250,250,0,0,0,0,0.004,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100701,250,250,0,0,0,0,0.004,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100702,250,250,0,0,0,0,0,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100703,250,250,0.00125,-0.00125,0.000978260869565,0,0.008,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100704,250,250,0.000108333333333,-0.000108333333333,8.47826086957e-05,0,0.008,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100705,250,250,0.0009125,-0.0009125,0.000706451612903,0,0.004,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100706,250,250,0.00592083333333,-0.00592083333333,0.0051987804878,0,0.004,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100707,250,250,0,0,0,0,0,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100708,250,250,0,0,0,0,0,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100709,250,250,0.00111666666667,-0.00111666666667,0.000873913043478,0,0.004,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100710,250,250,0.00045625,-0.00045625,0.000345789473684,0,0.004,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100711,250,250,0.000235416666667,-0.000235416666667,0.000178421052632,0,0.004,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100712,250,250,0.00202083333333,-0.00202083333333,0.0015989010989,0,0.008,initial_zero,threshold,FE,6000,2000,100,20,13,18,94,1,zero,mean,250
