seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026100900,0.0035,1447,1479,1536,1538,0.00025390625,-0.00025390625,0.250256578947,0,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_MI_2026100900,40,4000,0.000247395833333,-0.000247395833333,0.25025,0
2026100901,0.00266666666667,1510,1501,1514,1475,0.00150755208333,-0.00150755208333,0.250030319149,0,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_MI_2026100901,40,4000,0.00154947916667,-0.00154947916667,0.250053191489,0
2026100902,0.0035,1484,1478,1490,1548,0.00238502604167,-0.00238502604167,0.250738517359,0,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_MI_2026100902,40,4000,0.00227864583333,-0.00227864583333,0.250678991403,0
2026100903,0.00366666666667,1485,1458,1544,1513,0.00106158854167,-0.00106158854167,0.250560114926,0,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_MI_2026100903,40,4000,0.00104166666667,-0.00104166666667,0.250535430552,0
2026100904,0.00333333333333,1504,1457,1509,1530,0.00207395833333,-0.00207395833333,0.250209752923,0,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_MI_2026100904,40,4000,0.0020703125,-0.0020703125,0.250215297775,0
2026100905,0.00383333333333,1484,1488,1533,1495,0.000357291666667,-0.000357291666667,0.250340744681,0,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_MI_2026100905,40,4000,0.000377604166667,-0.000377604166667,0.250355543113,0
2026100906,0.00266666666667,1498,1439,1539,1524,0.00123580729167,-0.00123580729167,0.249899798387,0,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_MI_2026100906,40,4000,0.00123697916667,-0.00123697916667,0.249899193548,0
2026100907,0.0025,1529,1452,1542,1477,0.001665625,-0.001665625,0.250461765817,0,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_MI_2026100907,40,4000,0.00166666666667,-0.00166666666667,0.250471094625,0
2026100908,0.00433333333333,1557,1533,1430,1480,0.000591015625,-0.000591015625,0.250135046892,0,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_MI_2026100908,40,4000,0.0005859375,-0.0005859375,0.250126049832,0
2026100909,0.00233333333333,1487,1512,1481,1520,0.000255989583333,-0.000255989583333,0.250042368421,0,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_MI_2026100909,40,4000,0.000260416666667,-0.000260416666667,0.250052631579,0
2026100910,0.0035,1520,1492,1475,1513,0.00129817708333,-0.00129817708333,0.250823210203,0,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_MI_2026100910,40,4000,0.00123697916667,-0.00123697916667,0.250800253076,0
2026100911,0.0045,1526,1496,1466,1512,0.002968359375,-0.002968359375,0.253146034715,0,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_MI_2026100911,40,4000,0.00307291666667,-0.00307291666667,0.253274001011,0
2026100912,0.003,1488,1489,1558,1465,0.00169622395833,-0.00169622395833,0.250469683309,0,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_MI_2026100912,40,4000,0.00169270833333,-0.00169270833333,0.250469170898,0
2026100913,0.00366666666667,1519,1476,1540,1465,0.00217135416667,-0.00217135416667,0.252225321042,0,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_MI_2026100913,40,4000,0.00212239583333,-0.00212239583333,0.252169446042,0
2026100914,0.00333333333333,1596,1453,1490,1461,0.00508958333333,-0.00508958333333,0.250597216175,0,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_MI_2026100914,40,4000,0.00515625,-0.00515625,0.250546100758,0
2026100915,0.00466666666667,1535,1487,1461,1517,0.000812369791667,-0.000812369791667,0.250206232655,0,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250,initial_zero_threshold_MI_2026100915,40,4000,0.0008203125,-0.0008203125,0.250212476873,0
