seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026100900,250,250,0.00393125,-0.00393125,0.25412799811,0,0.02,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100901,250,250,0.000404166666667,-0.000404166666667,0.250429328494,0,0.008,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100902,250,250,0.00212916666667,-0.00212916666667,0.25228195385,0,0.016,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100903,250,250,0.0010125,-0.0010125,0.25104516129,0,0.004,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100904,250,250,0,0,0.25,0,0.008,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100905,250,250,0.0006625,-0.0006625,0.250677746445,0,0.02,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100906,250,250,0,0,0.25,0,0.004,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100907,250,250,0.000429166666667,-0.000429166666667,0.250433684211,0,0.004,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100908,250,250,0.00038125,-0.00038125,0.250393548387,0,0.004,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100909,250,250,0.00041875,-0.00041875,0.250424636058,0,0.008,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100910,250,250,0.00346041666667,-0.00346041666667,0.25012173913,0,0.016,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100911,250,250,0,0,0.25,0,0.004,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100912,250,250,0.000504166666667,-0.000504166666667,0.250514893617,0,0.004,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100913,250,250,0,0,0.25,0,0,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100914,250,250,0.000104166666667,-0.000104166666667,0.250105263158,0,0.004,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100915,250,250,0.00144166666667,-0.00144166666667,0.251506073945,0,0.012,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100900,500,250,0.003125,-0.003125,0.253273568537,0,0.01,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100901,500,250,0.000708333333333,-0.000708333333333,0.250624076148,0,0.006,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100902,500,250,0.000404166666667,-0.000404166666667,0.250414779666,0,0.014,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100903,500,250,0.00104791666667,-0.00104791666667,0.251079034473,0,0.006,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100904,500,250,0.000277083333333,-0.000277083333333,0.25028,0,0.008,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100905,500,250,0.000520833333333,-0.000520833333333,0.250526315789,0,0.012,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100906,500,250,2.91666666667e-05,-2.91666666667e-05,0.250029473684,0,0.004,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100907,500,250,0.0041375,-0.0041375,0.254474786967,0,0.006,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100908,500,250,0.00218958333333,-0.00218958333333,0.252286792664,0,0.006,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100909,500,250,0.000520833333333,-0.000520833333333,0.250526315789,0,0.006,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100910,500,250,0.00208333333333,-0.00208333333333,0.250543478261,0,0.008,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100911,500,250,0,0,0.25,0,0.004,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100912,500,250,0.00104166666667,-0.00104166666667,0.251063829787,0,0.002,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100913,500,250,0,0,0.25,0,0.002,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100914,500,250,0.00068125,-0.00068125,0.250609955207,0,0.004,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100915,500,250,0.000227083333333,-0.000227083333333,0.250231395881,0,0.012,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100900,750,250,0.002625,-0.002625,0.252746096009,0,0.008,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100901,750,250,0.00104166666667,-0.00104166666667,0.25079787234,0,0.004,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100902,750,250,0.000520833333333,-0.000520833333333,0.250526315789,0,0.0106666666667,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100903,750,250,0.00139791666667,-0.00139791666667,0.251449016992,0,0.00666666666667,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
2026100904,750,250,0.000520833333333,-0.000520833333333,0.250526315789,0,0.00533333333333,initial_zero,threshold,MI,6000,2000,100,20,13,18,94,1,zero,mean,250
