seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026090800,0.0911666666667,2995,2985,3033,2987,0.745475390625,1.85613765625,0.0361469467622,,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_AI_2026090800,40,4000,0.741809895833,1.84667708333,0.0361076902608,
2026090801,0.0506666666667,2910,3082,3007,3001,0.8043421875,2.00851140625,0.0230592630292,,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_AI_2026090801,40,4000,0.803385416667,2.00604166667,0.0229719531611,
2026090802,0.0970833333333,2992,3019,2960,3029,0.690427083333,1.73803645833,0.0460701200613,,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_AI_2026090802,40,4000,0.686588541667,1.72871354167,0.0463994349344,
2026090803,0.08525,3010,3035,2983,2972,0.779852994792,1.96431494792,0.0301939644494,,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_AI_2026090803,40,4000,0.766666666667,1.92804166667,0.0329557371505,
2026090804,0.110083333333,3005,3044,2948,3003,0.687443489583,1.73945192708,0.047522643973,,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_AI_2026090804,40,4000,0.694583333333,1.76047395833,0.0451519687849,
2026090805,0.0368333333333,2947,2935,3065,3053,0.764085677083,1.89908473958,0.0349805664234,,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_AI_2026090805,40,4000,0.772903645833,1.91884895833,0.0336829877205,
2026090806,0.1145,3073,2976,2972,2979,0.637201041667,1.60517713542,0.051451685982,,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_AI_2026090806,40,4000,0.63546875,1.601921875,0.0530082639096,
2026090807,0.08225,3040,2953,3008,2999,0.72395625,1.81673796875,0.0406118271354,,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_AI_2026090807,40,4000,0.732903645833,1.83995833333,0.0391079810869,
2026090808,0.06225,2982,3085,3041,2892,0.784917578125,1.99350296875,0.0338289593933,,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_AI_2026090808,40,4000,0.787877604167,2.00138541667,0.0334417711658,
2026090809,0.0811666666667,3022,2912,3049,3017,0.840710026042,2.11642291667,0.0233289819036,,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_AI_2026090809,40,4000,0.832838541667,2.09346354167,0.025952601025,
2026090810,0.0368333333333,3006,2967,2990,3037,0.885416666667,2.26104166667,0.0182333774367,,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_AI_2026090810,40,4000,0.885416666667,2.26104166667,0.0182333774367,
2026090811,0.0384166666667,2986,3012,2982,3020,0.779773828125,1.95936515625,0.0316799023578,,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_AI_2026090811,40,4000,0.780677083333,1.96273958333,0.031564136159,
2026090812,0.0786666666667,2934,3012,3009,3045,0.59621328125,1.49810578125,0.0638252866043,,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_AI_2026090812,40,4000,0.5886328125,1.479375,0.0633493426155,
2026090813,0.0993333333333,2952,3033,3067,2948,0.648318229167,1.64917963542,0.0523800064459,,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_AI_2026090813,40,4000,0.639244791667,1.62601041667,0.0547453437465,
2026090814,0.08925,3013,3022,2979,2986,0.733062890625,1.85857921875,0.0328799433705,,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_AI_2026090814,40,4000,0.734270833333,1.86222395833,0.0329752885448,
2026090815,0.0829166666667,2998,3024,2965,3013,0.869307552083,2.17889536458,0.0184609588187,,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_AI_2026090815,40,4000,0.872604166667,2.18722916667,0.0177495705826,
