seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026090800,250,250,0.669795833333,1.70507583333,0.0488591922008,,0.156,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090801,250,250,0.57310625,1.439935,0.070516608836,,0.244,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090802,250,250,0.54478125,1.3783925,0.0694753821773,,0.192,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090803,250,250,0.675377083333,1.69002083333,0.0546058393483,,0.16,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090804,250,250,0.6177625,1.576115,0.0601055374384,,0.188,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090805,250,250,0.580525,1.4491525,0.0636845592363,,0.156,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090806,250,250,0.535366666667,1.35030166667,0.0756872406912,,0.26,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090807,250,250,0.687495833333,1.76031083333,0.036353420304,,0.088,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090808,250,250,0.601677083333,1.50287333333,0.0673093566577,,0.136,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090809,250,250,0.62525625,1.5790825,0.0543644526465,,0.076,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090810,250,250,0.6068875,1.51887,0.0723106737815,,0.152,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090811,250,250,0.582808333333,1.44790583333,0.0713960556267,,0.156,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090812,250,250,0.51030625,1.2686525,0.0876836929632,,0.26,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090813,250,250,0.499029166667,1.25132666667,0.0860074835303,,0.16,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090814,250,250,0.66975,1.6784975,0.0511697747867,,0.208,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090815,250,250,0.595735416667,1.49987916667,0.066437448924,,0.14,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090800,500,250,0.77573125,1.9878325,0.0238184674257,,0.084,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090801,500,250,0.69063125,1.728965,0.0456848481207,,0.202,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090802,500,250,0.524164583333,1.32909833333,0.0761109091513,,0.254,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090803,500,250,0.568147916667,1.44165916667,0.0676782646172,,0.204,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090804,500,250,0.587795833333,1.48428333333,0.0665425857381,,0.198,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090805,500,250,0.721875,1.80875,0.0391333959696,,0.078,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090806,500,250,0.52648125,1.33024,0.0796929322494,,0.27,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090807,500,250,0.61319375,1.5498225,0.0606055162105,,0.142,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090808,500,250,0.622147916667,1.56801666667,0.0590090579183,,0.13,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090809,500,250,0.62513125,1.5468075,0.0691248198702,,0.1,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090810,500,250,0.522897916667,1.31802916667,0.0769721845112,,0.214,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090811,500,250,0.645583333333,1.60258333333,0.0604528189983,,0.124,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090812,500,250,0.58416875,1.48872,0.0587971592209,,0.25,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090813,500,250,0.778539583333,1.97086833333,0.0322788581975,,0.1,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090814,500,250,0.7121625,1.78867,0.0388222529559,,0.148,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090815,500,250,0.632108333333,1.64182333333,0.0438710421082,,0.12,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090800,750,250,0.679539583333,1.69295333333,0.0509659649928,,0.0893333333333,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090801,750,250,0.715402083333,1.80292833333,0.0343765993461,,0.152,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090802,750,250,0.699664583333,1.78682083333,0.0431854472047,,0.204,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090803,750,250,0.578570833333,1.47829083333,0.0608373115785,,0.212,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090804,750,250,0.61723125,1.55167,0.0646823217248,,0.177333333333,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090805,750,250,0.721229166667,1.80694166667,0.039143088812,,0.0533333333333,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090806,750,250,0.532827083333,1.34194583333,0.0780170888976,,0.262666666667,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090807,750,250,0.59573125,1.5302525,0.0582227389696,,0.172,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090808,750,250,0.599675,1.5175275,0.0670595146903,,0.165333333333,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090809,750,250,0.615720833333,1.52239833333,0.0691750222106,,0.138666666667,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090810,750,250,0.555591666667,1.39610166667,0.0728771344084,,0.209333333333,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090811,750,250,0.5320375,1.3509375,0.0767998691241,,0.170666666667,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090812,750,250,0.553283333333,1.39826333333,0.072307294268,,0.237333333333,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090813,750,250,0.7406625,1.8743225,0.0323408412534,,0.0893333333333,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090814,750,250,0.569277083333,1.44806083333,0.0622146202441,,0.158666666667,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090815,750,250,0.566083333333,1.42682083333,0.0690583283367,,0.14,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090800,1000,250,0.617120833333,1.56773333333,0.0526687562377,,0.112,longer,linear,AI,12000,8000,100,20,13,0,14,1,random,mean,250
