seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026090700,0.1375,2986,3066,3008,2940,0.670530338542,1.47516674479,0.0425319431394,,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_FE_2026090700,40,4000,0.670260416667,1.47457291667,0.0431548862086,
2026090701,0.0888333333333,3036,2903,2985,3076,0.623462109375,1.37161664063,0.044480090417,,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_FE_2026090701,40,4000,0.624986979167,1.37497135417,0.0449945838986,
2026090702,0.11525,2977,2970,2989,3064,0.68177265625,1.49989984375,0.03795316322,,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_FE_2026090702,40,4000,0.687682291667,1.51290104167,0.0367563060287,
2026090703,0.15,2957,3039,2945,3059,0.611075260417,1.34436557292,0.0464539419065,,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_FE_2026090703,40,4000,0.601145833333,1.32252083333,0.0469945759995,
2026090704,0.175666666667,3041,3063,2890,3006,0.580980338542,1.27815674479,0.0537348223213,,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_FE_2026090704,40,4000,0.5792578125,1.2743671875,0.0542276452668,
2026090705,0.140166666667,3003,3055,2976,2966,0.71719453125,1.57782796875,0.0246936316363,,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_FE_2026090705,40,4000,0.713229166667,1.56910416667,0.0248125261651,
2026090706,0.0538333333333,3050,2959,2922,3069,0.866190885417,1.90561994792,0.0143627402484,,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_FE_2026090706,40,4000,0.865950520833,1.90509114583,0.014361909863,
2026090707,0.136666666667,3018,2984,3025,2973,0.617073697917,1.35756213542,0.0449695463412,,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_FE_2026090707,40,4000,0.602434895833,1.32535677083,0.0467394777455,
2026090708,0.126,3018,2958,2946,3078,0.615371223958,1.35381669271,0.047464030751,,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_FE_2026090708,40,4000,0.6103515625,1.3427734375,0.0480211279703,
2026090709,0.140916666667,2978,2971,2981,3070,0.619155208333,1.36214145833,0.0469870502864,,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_FE_2026090709,40,4000,0.617252604167,1.35795572917,0.0473395188678,
2026090710,0.115,2998,3002,2961,3039,0.6277953125,1.3811496875,0.0400119680256,,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_FE_2026090710,40,4000,0.618958333333,1.36170833333,0.038822134354,
2026090711,0.144416666667,3043,3061,2942,2954,0.640698828125,1.40953742187,0.0349864228607,,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_FE_2026090711,40,4000,0.632395833333,1.39127083333,0.0350107546053,
2026090712,0.119583333333,2972,3032,3008,2988,0.649258333333,1.42836833333,0.0363821317435,,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_FE_2026090712,40,4000,0.650703125,1.431546875,0.0375738363395,
2026090713,0.11025,3011,3047,3004,2938,0.59988828125,1.31975421875,0.0454583578072,,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_FE_2026090713,40,4000,0.610390625,1.342859375,0.0449328893915,
2026090714,0.171833333333,2984,3018,3003,2995,0.610510416667,1.34312291667,0.0425389561941,,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_FE_2026090714,40,4000,0.606497395833,1.33429427083,0.0425089374608,
2026090715,0.109166666667,3016,2962,2967,3055,0.61479140625,1.35254109375,0.0410442299017,,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_FE_2026090715,40,4000,0.6176953125,1.3589296875,0.0403962510461,
