seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026090700,250,250,0.476266666667,1.04778666667,0.0523587808585,,0.12,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090701,250,250,0.6397,1.40734,0.049456224921,,0.088,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090702,250,250,0.534995833333,1.17699083333,0.0557962349238,,0.272,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090703,250,250,0.489239583333,1.07632708333,0.0505438626302,,0.196,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090704,250,250,0.6106375,1.3434025,0.042842103817,,0.084,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090705,250,250,0.463997916667,1.02079541667,0.0575152738929,,0.34,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090706,250,250,0.62034375,1.36475625,0.0492721999112,,0.12,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090707,250,250,0.6632875,1.4592325,0.0480697483242,,0.02,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090708,250,250,0.494939583333,1.08886708333,0.0613706496643,,0.348,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090709,250,250,0.577233333333,1.26991333333,0.0480633044615,,0.072,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090710,250,250,0.5772125,1.2698675,0.0524950021482,,0.192,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090711,250,250,0.506589583333,1.11449708333,0.0570934622861,,0.192,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090712,250,250,0.553060416667,1.21673291667,0.0563364391646,,0.196,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090713,250,250,0.489933333333,1.07785333333,0.0531429443189,,0.32,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090714,250,250,0.5023625,1.1051975,0.0528966059074,,0.272,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090715,250,250,0.56146875,1.23523125,0.0464675324644,,0.236,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090700,500,250,0.703320833333,1.54730583333,0.0462339963183,,0.108,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090701,500,250,0.561752083333,1.23585458333,0.0501573983334,,0.164,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090702,500,250,0.495635416667,1.09039791667,0.056943768241,,0.218,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090703,500,250,0.5308,1.16776,0.0493616951813,,0.152,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090704,500,250,0.622875,1.370325,0.0339409141099,,0.07,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090705,500,250,0.634014583333,1.39483208333,0.0585417255029,,0.226,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090706,500,250,0.7078125,1.5571875,0.0440511849028,,0.06,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
2026090707,500,250,0.533739583333,1.17422708333,0.0567412451353,,0.136,longer,linear,FE,12000,8000,100,20,13,0,14,1,random,mean,250
