seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026090900,0.228833333333,2963,2991,2985,3061,0.535644010417,1.03410291667,0.0929642023773,,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_MI_2026090900,40,4000,0.517591145833,1.00097395833,0.0975503226054,
2026090901,0.207083333333,3010,2879,3073,3038,0.531328645833,1.02658770833,0.0923947866089,,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_MI_2026090901,40,4000,0.533216145833,1.02927083333,0.0900895309783,
2026090902,0.220666666667,3083,2965,3014,2938,0.604788671875,1.15735703125,0.0762139740302,,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_MI_2026090902,40,4000,0.5972265625,1.144859375,0.0793439164803,
2026090903,0.227583333333,3029,2943,3042,2986,0.629265885417,1.20370885417,0.07093093271,,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_MI_2026090903,40,4000,0.647981770833,1.24039583333,0.0669910900688,
2026090904,0.219333333333,3046,3041,2939,2974,0.583825520833,1.11435723958,0.0798334863824,,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_MI_2026090904,40,4000,0.565130208333,1.07952083333,0.0843922360355,
2026090905,0.222916666667,2924,3059,3042,2975,0.527774739583,1.01886442708,0.0933487718486,,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_MI_2026090905,40,4000,0.527057291667,1.01513541667,0.0946166626908,
2026090906,0.23325,3002,3042,3015,2941,0.503604817708,0.967563802083,0.0985968294858,,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_MI_2026090906,40,4000,0.503776041667,0.969807291667,0.0993774065435,
2026090907,0.24025,2997,2971,3047,2985,0.541432161458,1.04897239583,0.0898995104851,,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_MI_2026090907,40,4000,0.552083333333,1.07003645833,0.0880016753618,
2026090908,0.223166666667,3003,3033,3022,2942,0.536096484375,1.03355734375,0.0904932836422,,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_MI_2026090908,40,4000,0.5501171875,1.06315625,0.0870929846965,
2026090909,0.173333333333,3033,3095,3086,2786,0.564973177083,1.08903817708,0.0842905180953,,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_MI_2026090909,40,4000,0.573125,1.10096875,0.0815159211383,
2026090910,0.140416666667,3016,2971,3059,2954,0.628540755208,1.21972333333,0.0755464317429,,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_MI_2026090910,40,4000,0.6327734375,1.22721875,0.0739822508233,
2026090911,0.220666666667,3003,3002,2982,3013,0.526227213542,1.01089619792,0.0927422033828,,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_MI_2026090911,40,4000,0.5501171875,1.0525625,0.0874081422368,
2026090912,0.2595,2980,3106,3004,2910,0.5362609375,1.02949625,0.0886863622082,,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_MI_2026090912,40,4000,0.535846354167,1.02552604167,0.0886985453386,
2026090913,0.222,2995,3009,2997,2999,0.551459635417,1.05971260417,0.0882063901678,,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_MI_2026090913,40,4000,0.5694921875,1.091578125,0.0831659026565,
2026090914,0.247666666667,2970,2944,3036,3050,0.527750911458,1.01462223958,0.0920273211671,,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_MI_2026090914,40,4000,0.513033854167,0.987916666667,0.0955401549745,
2026090915,0.244583333333,3079,2986,2956,2979,0.522064322917,1.00087776042,0.0918450635176,,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250,longer_linear_MI_2026090915,40,4000,0.515651041667,0.995682291667,0.0949097031686,
