seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026090900,250,250,0.469785416667,0.914809166667,0.108496060486,,0.352,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090901,250,250,0.506308333333,0.956935833333,0.0983468496564,,0.364,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090902,250,250,0.469054166667,0.911784166667,0.110675980176,,0.292,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090903,250,250,0.467447916667,0.911021666667,0.110951532526,,0.308,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090904,250,250,0.509264583333,0.974763333333,0.0976822305082,,0.3,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090905,250,250,0.514495833333,1.00469833333,0.0973509035796,,0.212,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090906,250,250,0.499260416667,0.955314166667,0.09236418437,,0.288,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090907,250,250,0.490075,0.949455,0.106728248563,,0.272,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090908,250,250,0.529491666667,1.00925166667,0.0915963538502,,0.336,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090909,250,250,0.534854166667,1.00572416667,0.0881795636804,,0.408,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090910,250,250,0.491120833333,0.942023333333,0.100191305666,,0.324,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090911,250,250,0.482879166667,0.926574166667,0.105748378881,,0.328,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250
2026090912,250,250,0.490502083333,0.947478333333,0.104110783853,,0.32,longer,linear,MI,12000,8000,100,20,13,0,14,1,random,mean,250
