seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026100800,0.0103333333333,2966,2971,3067,2996,0.508196484375,0.301741015625,0.0974766330384,0.971925,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_AI_2026100800,40,4000,0.508307291667,0.301067708333,0.0975243278632,0.97125
2026100801,0.0110833333333,2978,3025,2947,3050,0.611873307292,0.177074609375,0.094805161993,0.9467375,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_AI_2026100801,40,4000,0.612135416667,0.177447916667,0.0945032037543,0.9475
2026100802,0.007,3017,3004,2914,3065,0.572907291667,0.258946875,0.0896219700328,0.998225,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_AI_2026100802,40,4000,0.573125,0.259166666667,0.089345555459,0.99875
2026100803,0.0165833333333,2960,2919,3085,3036,0.0717813802083,-0.0690001302083,0.265294293974,0.0033375,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_AI_2026100803,40,4000,0.071796875,-0.068671875,0.265303933177,0.00375
2026100804,0.0105,3026,2993,3009,2972,0.564400520833,0.264234895833,0.0914050130698,0.9943625,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_AI_2026100804,40,4000,0.564635416667,0.26453125,0.0914462218176,0.995
2026100805,0.0255,2974,3041,2981,3004,0.241493489583,-0.241493489583,0.255767528734,0,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_AI_2026100805,40,4000,0.2413671875,-0.2413671875,0.255709081459,0
2026100806,0.00733333333333,2942,3031,2999,3028,0.500563020833,0.3297703125,0.094383914203,0.9964,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_AI_2026100806,40,4000,0.500533854167,0.329674479167,0.0943990589116,0.99625
2026100807,0.0115833333333,2977,3027,3001,2995,0.500363802083,0.33296953125,0.0945514648438,1,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_AI_2026100807,40,4000,0.500364583333,0.33296875,0.0945510888287,1
2026100808,0.0125833333333,3017,3007,3018,2958,0.566247916667,0.267085416667,0.0899871772453,1,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_AI_2026100808,40,4000,0.566276041667,0.267057291667,0.0899644953779,1
2026100809,0.00775,3012,2955,3099,2934,0.634573567708,0.198759765625,0.0856813010171,1,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_AI_2026100809,40,4000,0.6345703125,0.198763020833,0.0857916827195,1
2026100810,0.00916666666667,3031,2981,2937,3051,0.573366015625,0.240904817708,0.0966504425117,0.977125,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_AI_2026100810,40,4000,0.574075520833,0.239466145833,0.0968400870155,0.97625
2026100811,0.02425,2929,3016,3071,2984,0.523139192708,0.189892057292,0.13297825934,0.8556375,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_AI_2026100811,40,4000,0.520208333333,0.186041666667,0.135001259253,0.8475
2026100812,0.00841666666667,2984,2995,2981,3040,0.624794661458,0.150444921875,0.101047851284,0.9302875,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_AI_2026100812,40,4000,0.6248046875,0.151236979167,0.100758212657,0.93125
2026100813,0.00758333333333,2973,3033,2970,3024,0.550115885417,0.238217447917,0.104828290302,0.946,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_AI_2026100813,40,4000,0.549895833333,0.241770833333,0.104232983176,0.95
2026100814,0.00916666666667,2951,2992,3033,3024,0.4981078125,0.290100520833,0.105824075897,0.94585,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_AI_2026100814,40,4000,0.498424479167,0.291158854167,0.105458823871,0.9475
2026100815,0.0246666666667,3034,3049,2903,3014,0.16343359375,-0.160537760417,0.25231528087,0.003475,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_AI_2026100815,40,4000,0.163502604167,-0.160377604167,0.25216461703,0.00375
