seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026100800,250,250,0.4431375,-0.1206375,0.233527554381,0.387,0.132,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100801,250,250,0.506602083333,0.06173125,0.168911282232,0.682,0.096,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100802,250,250,0.505329166667,0.0388375,0.172850893911,0.653,0.076,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100803,250,250,0.389858333333,-0.122358333333,0.249893152326,0.321,0.188,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100804,250,250,0.349916666667,-0.166916666667,0.28213862471,0.2196,0.152,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100805,250,250,0.413458333333,-0.249125,0.263097254165,0.1972,0.14,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100806,250,250,0.663472916667,0.0343604166667,0.121405323127,0.8374,0.032,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100807,250,250,0.444845833333,-0.138845833333,0.222465710449,0.3672,0.136,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100808,250,250,0.39466875,-0.170835416667,0.265866052448,0.2686,0.184,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100809,250,250,0.611960416667,0.158872916667,0.121349574311,0.925,0.052,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100810,250,250,0.501483333333,0.0950166666667,0.155519783958,0.7158,0.104,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100811,250,250,0.335939583333,-0.21110625,0.254148416341,0.1498,0.064,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100812,250,250,0.57656875,-0.01056875,0.152957691515,0.6792,0.124,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100813,250,250,0.55679375,0.210872916667,0.127195875439,0.9212,0.04,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100814,250,250,0.23455,-0.18705,0.256338647722,0.057,0.036,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100815,250,250,0.525685416667,0.19548125,0.1085909075,0.8654,0.06,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100800,500,250,0.395989583333,-0.165989583333,0.231034840737,0.276,0.072,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100801,500,250,0.378233333333,-0.2919,0.2800508675,0.1036,0.078,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100802,500,250,0.5516875,0.274979166667,0.0865100772301,0.992,0.042,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100803,500,250,0.305577083333,-0.156410416667,0.271211823178,0.179,0.136,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100804,500,250,0.46043125,0.107735416667,0.181767352702,0.6818,0.102,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100805,500,250,0.300358333333,-0.300358333333,0.298647739574,0,0.074,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100806,500,250,0.699539583333,0.05479375,0.0919376265128,0.9052,0.024,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100807,500,250,0.38218125,-0.138514583333,0.211395584023,0.2924,0.074,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100808,500,250,0.2887875,-0.266120833333,0.28886699961,0.0272,0.112,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100809,500,250,0.615625,0.176041666667,0.103978377907,0.95,0.028,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100810,500,250,0.505729166667,0.2859375,0.0932475444194,0.95,0.052,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100811,500,250,0.274260416667,-0.231260416667,0.277476741527,0.0516,0.06,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100812,500,250,0.742479166667,0.0823541666667,0.0951897394071,0.9898,0.088,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100813,500,250,0.5143875,0.198279166667,0.129699302852,0.8552,0.022,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100814,500,250,0.372708333333,-0.0965416666667,0.235239853517,0.3314,0.07,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100815,500,250,0.522627083333,0.291872916667,0.103968210369,0.9774,0.038,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100800,750,250,0.482,0.126333333333,0.151163022637,0.73,0.0626666666667,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100801,750,250,0.3737625,-0.1207625,0.25271155659,0.3036,0.0693333333333,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100802,750,250,0.5546875,0.278645833333,0.0821327683616,1,0.028,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100803,750,250,0.346108333333,-0.184275,0.25897506798,0.1942,0.1,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100804,750,250,0.519614583333,0.272052083333,0.134075167752,0.95,0.0706666666667,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100805,750,250,0.36309375,-0.28659375,0.274475199582,0.0918,0.0746666666667,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100806,750,250,0.727352083333,0.0996479166667,0.0725746412884,0.9924,0.0173333333333,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100807,750,250,0.490327083333,0.09900625,0.184240078808,0.7072,0.0693333333333,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100808,750,250,0.24534375,-0.21784375,0.261060810397,0.033,0.0773333333333,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100809,750,250,0.615625,0.176041666667,0.103978377907,0.95,0.0186666666667,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100810,750,250,0.505579166667,0.2860875,0.0929760292679,0.95,0.036,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100811,750,250,0.220066666667,-0.220066666667,0.263038497653,0,0.0426666666667,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100812,750,250,0.533733333333,-0.00456666666667,0.195440311516,0.635,0.092,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100813,750,250,0.5140625,0.194270833333,0.129683011491,0.85,0.0146666666667,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100814,750,250,0.3915,-0.103833333333,0.210469027255,0.3452,0.0706666666667,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100815,750,250,0.5125875,0.320745833333,0.0978662665734,1,0.0266666666667,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100800,1000,250,0.550327083333,0.240339583333,0.110421422131,0.9488,0.056,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100801,1000,250,0.41216875,-0.0653354166667,0.224468928658,0.4162,0.084,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100802,1000,250,0.5364,0.2456,0.110299203632,0.9384,0.023,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100803,1000,250,0.34111875,-0.0534520833333,0.22432692524,0.3452,0.08,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100804,1000,250,0.51901875,0.272647916667,0.133739386929,0.95,0.055,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100805,1000,250,0.298733333333,-0.134566666667,0.280507574267,0.197,0.074,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100806,1000,250,0.72785625,0.104977083333,0.0715255644594,0.9994,0.014,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100807,1000,250,0.491997916667,0.318835416667,0.0781190064855,0.973,0.058,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100808,1000,250,0.233208333333,-0.201541666667,0.266569454995,0.038,0.059,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100809,1000,250,0.615625,0.176041666667,0.103978377907,0.95,0.014,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100810,1000,250,0.485704166667,0.0351291666667,0.188751594955,0.625,0.041,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100811,1000,250,0.219791666667,-0.219791666667,0.262666666667,0,0.032,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100812,1000,250,0.253941666667,-0.182775,0.256355108768,0.0854,0.079,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100813,1000,250,0.5140625,0.194270833333,0.129683011491,0.85,0.011,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100814,1000,250,0.532154166667,0.2745125,0.10840645747,0.968,0.059,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100815,1000,250,0.456408333333,0.067925,0.182988319016,0.6292,0.044,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100800,1250,250,0.559070833333,0.2462625,0.0972913941157,0.9664,0.048,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100801,1250,250,0.543502083333,0.21433125,0.147975903464,0.9094,0.0688,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100802,1250,250,0.547502083333,0.23683125,0.107500984729,0.9412,0.02,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100803,1250,250,0.292872916667,-0.23870625,0.27972437171,0.065,0.0696,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100804,1250,250,0.519697916667,0.27196875,0.133828013686,0.95,0.0456,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100805,1250,250,0.222954166667,-0.2037875,0.267923308534,0.023,0.068,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100806,1250,250,0.563358333333,0.232975,0.106488083578,0.9556,0.0184,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100807,1250,250,0.477739583333,0.150927083333,0.149974130467,0.7544,0.064,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100808,1250,250,0.25425,-0.23775,0.263374670674,0.0198,0.0504,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100809,1250,250,0.615625,0.176041666667,0.103978377907,0.95,0.0112,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100810,1250,250,0.581797916667,0.205202083333,0.113418538936,0.9444,0.0376,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100811,1250,250,0.217058333333,-0.217058333333,0.262612,0,0.0264,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100812,1250,250,0.19073125,-0.166897916667,0.270236000073,0.0286,0.0656,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100813,1250,250,0.514729166667,0.200270833333,0.127945379094,0.858,0.0096,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100814,1250,250,0.525,0.308333333333,0.101829432338,1,0.0472,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100815,1250,250,0.4277125,-0.0158791666667,0.220448980261,0.4942,0.0576,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100800,1500,250,0.546616666667,0.239383333333,0.108200090707,0.9432,0.044,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100801,1500,250,0.556770833333,0.234895833333,0.129679650452,0.95,0.0573333333333,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100802,1500,250,0.552604166667,0.2390625,0.103008780992,0.95,0.0166666666667,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100803,1500,250,0.330735416667,-0.148735416667,0.240592205469,0.2184,0.0693333333333,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100804,1500,250,0.526572916667,0.26509375,0.131051415673,0.95,0.0393333333333,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100805,1500,250,0.357916666667,-0.00358333333333,0.205848363269,0.4252,0.0626666666667,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100806,1500,250,0.559570833333,0.262929166667,0.0935886935148,0.987,0.018,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100807,1500,250,0.477391666667,0.0221083333333,0.18811426945,0.5994,0.064,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100808,1500,250,0.270220833333,-0.2538875,0.248170305254,0.0196,0.0433333333333,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100809,1500,250,0.617333333333,0.18,0.102096681244,0.9568,0.0106666666667,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100810,1500,250,0.57915,0.254183333333,0.0932449093924,1,0.0333333333333,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100811,1500,250,0.211485416667,-0.211485416667,0.262537681159,0,0.0226666666667,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100812,1500,250,0.159325,-0.159325,0.276586763759,0,0.0553333333333,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100813,1500,250,0.519091666667,0.230908333333,0.12268123063,0.9,0.00866666666667,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100814,1500,250,0.526239583333,0.30709375,0.101489455878,1,0.04,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100815,1500,250,0.293808333333,-0.274308333333,0.322142864786,0.0234,0.0526666666667,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100800,1750,250,0.570958333333,0.220708333333,0.101517077197,0.95,0.0394285714286,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100801,1750,250,0.556770833333,0.234895833333,0.129679650452,0.95,0.0491428571429,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100802,1750,250,0.540833333333,0.1755,0.127187219502,0.8596,0.0148571428571,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100803,1750,250,0.509166666667,0.154166666667,0.143278156073,0.796,0.064,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100804,1750,250,0.527285416667,0.26438125,0.130683028571,0.95,0.0354285714286,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100805,1750,250,0.551822916667,0.139677083333,0.134448498632,0.8298,0.0554285714286,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100806,1750,250,0.53305625,0.205110416667,0.115749243524,0.8858,0.0188571428571,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100807,1750,250,0.515220833333,0.226945833333,0.118280929185,0.8906,0.0565714285714,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100808,1750,250,0.262114583333,-0.262114583333,0.2504763642,0,0.0377142857143,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100809,1750,250,0.657025,0.176308333333,0.0767069060969,1,0.00971428571429,longer,threshold,AI,12000,8000,100,20,13,18,94,1,random,mean,250
