seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026100700,0.00316666666667,2977,2937,3087,2999,0.5858890625,0.247100520833,0.0066107066045,0.9995875,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_FE_2026100700,40,4000,0.585911458333,0.247421875,0.00653238892615,1
2026100701,0.0143333333333,3035,2979,2923,3063,0.500178645833,0.306727604167,0.00302524769735,0.9682875,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_FE_2026100701,40,4000,0.500169270833,0.306080729167,0.00297524912521,0.9675
2026100702,0.00508333333333,2969,3012,3025,2994,0.710252604167,0.123080729167,0.0058883262763,1,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_FE_2026100702,40,4000,0.710234375,0.123098958333,0.00596720107063,1
2026100703,0.00683333333333,3070,2970,2955,3005,0.543428385417,0.289904947917,0.00127650223582,1,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_FE_2026100703,40,4000,0.543307291667,0.290026041667,0.00128047614198,1
2026100704,0.00758333333333,2943,3031,3039,2987,0.626871354167,0.206461979167,0.00273579739101,1,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_FE_2026100704,40,4000,0.6269140625,0.206419270833,0.00269763064861,1
2026100705,0.00525,2974,3021,3041,2964,0.499544140625,0.290341276042,0.00912873232381,0.9478625,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_FE_2026100705,40,4000,0.499700520833,0.290924479167,0.00909905305675,0.94875
2026100706,0.00633333333333,3010,3025,2997,2968,0.628663151042,0.204670182292,0.00451470882518,1,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_FE_2026100706,40,4000,0.628541666667,0.204791666667,0.00456329046165,1
2026100707,0.00475,3022,2974,3031,2973,0.508025,0.307839583333,0.00977739015283,0.9790375,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_FE_2026100707,40,4000,0.507903645833,0.308763020833,0.00975056240757,0.98
2026100708,0.00816666666667,3031,3081,2931,2957,0.549486848958,0.283846484375,0.00733141529555,1,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_FE_2026100708,40,4000,0.549361979167,0.283971354167,0.00734518314927,1
2026100709,0.00458333333333,2996,3075,2990,2939,0.624059635417,0.209273697917,0.0065502050988,1,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_FE_2026100709,40,4000,0.624049479167,0.209283854167,0.00653860268462,1
2026100710,0.00575,3039,3036,2906,3019,0.545193229167,0.280702604167,0.00569845752995,0.991075,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_FE_2026100710,40,4000,0.544765625,0.281276041667,0.00549937909313,0.99125
2026100711,0.00616666666667,3051,3003,2985,2961,0.581753515625,0.244465234375,0.00402304680752,0.9914625,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_FE_2026100711,40,4000,0.581822916667,0.245260416667,0.00369470599111,0.9925
2026100712,0.00816666666667,3004,3037,3002,2957,0.708912890625,0.124420442708,0.00161077478077,1,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_FE_2026100712,40,4000,0.708932291667,0.124401041667,0.00159994918994,1
2026100713,0.00941666666667,2997,2955,3083,2965,0.499399088542,0.275965494792,0.0084645800597,0.9304375,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_FE_2026100713,40,4000,0.4994140625,0.276627604167,0.0084539938689,0.93125
2026100714,0.00658333333333,2910,2998,3051,3041,0.50335546875,0.309904947917,0.00832990439185,0.9759125,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_FE_2026100714,40,4000,0.503033854167,0.309466145833,0.00829835544363,0.975
2026100715,0.00383333333333,3037,2968,2999,2996,0.709391927083,0.12394140625,0.00818690774289,1,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_FE_2026100715,40,4000,0.709505208333,0.123828125,0.00819730516636,1
