seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026100700,250,250,0.582822916667,0.200010416667,0.0448077924178,0.9394,0.072,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100701,250,250,0.36213125,-0.20513125,0.104439366147,0.1884,0.088,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100702,250,250,0.70371875,0.0706145833333,0.05890598211,0.9292,0.06,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100703,250,250,0.54481875,0.06668125,0.0674556417152,0.7338,0.12,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100704,250,250,0.562783333333,0.147716666667,0.0655020711664,0.8526,0.136,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100705,250,250,0.466577083333,-0.07374375,0.0768377093469,0.4714,0.108,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100706,250,250,0.5887625,0.195570833333,0.0490613619116,0.9412,0.032,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100707,250,250,0.657,0.1015,0.0495885368088,0.9102,0.064,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100708,250,250,0.531725,0.179775,0.0735377312399,0.8538,0.072,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100709,250,250,0.520808333333,0.278358333333,0.0384943632595,0.959,0.04,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100710,250,250,0.710285416667,0.117547916667,0.0347119180072,0.9934,0.02,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100711,250,250,0.516845833333,0.0604875,0.0884186921201,0.6928,0.092,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100712,250,250,0.59701875,0.15998125,0.0556801218516,0.9084,0.024,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100713,250,250,0.572658333333,0.0648416666667,0.0909736119411,0.765,0.124,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100714,250,250,0.5452625,0.1637375,0.0692443347346,0.8508,0.092,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100715,250,250,0.614022916667,0.169477083333,0.0415877487905,0.9402,0.028,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100700,500,250,0.578802083333,0.25453125,0.0155759742253,1,0.04,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100701,500,250,0.359425,-0.132258333333,0.101054307058,0.2726,0.102,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100702,500,250,0.724166666667,0.109166666667,0.0175656442482,1,0.032,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100703,500,250,0.626941666667,0.194225,0.0117083690774,0.9854,0.07,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100704,500,250,0.579697916667,0.23546875,0.0293927676478,0.9782,0.07,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100705,500,250,0.496020833333,0.280645833333,0.024425385911,0.932,0.06,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100706,500,250,0.607495833333,0.2258375,0.029850701623,1,0.022,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100707,500,250,0.690145833333,0.101520833333,0.0289296660612,0.95,0.034,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100708,500,250,0.490547916667,-0.0165479166667,0.0658696585353,0.5688,0.072,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100709,500,250,0.532470833333,0.3008625,0.0329523606141,1,0.022,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100710,500,250,0.696552083333,0.13678125,0.023054663264,1,0.022,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100711,500,250,0.556570833333,0.224595833333,0.0429722371579,0.9374,0.056,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
2026100712,500,250,0.615560416667,0.18210625,0.0526958714231,0.9572,0.03,longer,threshold,FE,12000,8000,100,20,13,18,94,1,random,mean,250
