seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026100900,0.00733333333333,2933,2957,3074,3036,0.499997786458,0.290981380208,0.10240697497,0.949175,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_MI_2026100900,40,4000,0.5,0.290625,0.102450419183,0.94875
2026100901,0.006,2986,3007,3061,2946,0.492853776042,0.262667057292,0.113328115254,0.906625,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_MI_2026100901,40,4000,0.492877604167,0.263372395833,0.113163338041,0.9075
2026100902,0.00516666666667,2997,2927,3013,3063,0.515087630208,0.286204036458,0.0994725550951,0.96155,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_MI_2026100902,40,4000,0.515208333333,0.286875,0.0993426728481,0.9625
2026100903,0.00575,2933,2966,3089,3012,0.55008203125,0.241584635417,0.100823897553,0.95,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_MI_2026100903,40,4000,0.550078125,0.241588541667,0.100817983231,0.95
2026100904,0.00733333333333,2963,2991,2963,3083,0.539036458333,0.272171875,0.104920760488,0.97345,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_MI_2026100904,40,4000,0.539466145833,0.273033854167,0.104390592463,0.975
2026100905,0.00616666666667,2968,3054,2958,3020,0.5020921875,0.3244078125,0.0956961866352,0.9918,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_MI_2026100905,40,4000,0.502044270833,0.323997395833,0.0957383909255,0.99125
2026100906,0.0135833333333,2987,2894,3071,3048,0.532606119792,0.297133463542,0.0935737126564,0.9956875,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_MI_2026100906,40,4000,0.5326171875,0.297591145833,0.0935036268826,0.99625
2026100907,0.0249166666667,3012,2983,3038,2967,0.662091666667,0.171241666667,0.0765381250361,1,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_MI_2026100907,40,4000,0.662109375,0.171223958333,0.0768353736079,1
2026100908,0.00941666666667,3061,3034,2947,2958,0.511402473958,0.303410026042,0.0999993658046,0.977775,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_MI_2026100908,40,4000,0.511315104167,0.303268229167,0.0999825695189,0.9775
2026100909,0.008,2972,3032,2964,3032,0.500208333333,0.328677083333,0.0991542645292,0.9946625,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_MI_2026100909,40,4000,0.499401041667,0.328723958333,0.0992767238762,0.99375
2026100910,0.00758333333333,3089,2963,2936,3012,0.581696354167,0.251636979167,0.0860963425603,1,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_MI_2026100910,40,4000,0.581705729167,0.251627604167,0.0860947134595,1
2026100911,0.0045,2997,3059,2930,3014,0.548004557292,0.243662109375,0.103469785502,0.95,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_MI_2026100911,40,4000,0.548046875,0.243619791667,0.103435660863,0.95
2026100912,0.00966666666667,2971,2902,3077,3050,0.633337890625,0.141641276042,0.0949450101932,0.929975,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_MI_2026100912,40,4000,0.632447916667,0.142552083333,0.0953383768839,0.93
2026100913,0.0135833333333,2994,3033,3038,2935,0.49767109375,0.288537239583,0.111763915752,0.94345,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_MI_2026100913,40,4000,0.497708333333,0.287708333333,0.111873088544,0.9425
2026100914,0.00766666666667,3117,2921,3003,2959,0.4996921875,0.304505729167,0.104909542177,0.9650375,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_MI_2026100914,40,4000,0.499622395833,0.303502604167,0.105197422643,0.96375
2026100915,0.0121666666667,3058,3007,2945,2990,0.500463802083,0.293265364583,0.10245564856,0.952475,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250,longer_threshold_MI_2026100915,40,4000,0.50046875,0.29328125,0.102451505626,0.9525
