seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026100900,250,250,0.521360416667,0.158139583333,0.155731102395,0.8154,0.12,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100901,250,250,0.44196875,0.0761979166667,0.210785988786,0.6218,0.116,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100902,250,250,0.488458333333,0.194375,0.165452352389,0.8194,0.072,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100903,250,250,0.395289583333,-0.0957895833333,0.230134839589,0.3594,0.16,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100904,250,250,0.551233333333,-0.0499,0.193424153431,0.6016,0.14,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100905,250,250,0.46005,0.289116666667,0.161463192543,0.899,0.064,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100906,250,250,0.523310416667,0.139522916667,0.14202565504,0.7954,0.068,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100907,250,250,0.438066666667,0.0334333333333,0.206945849407,0.5658,0.084,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100908,250,250,0.45556875,-0.0452354166667,0.218786044781,0.4924,0.196,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100909,250,250,0.37174375,-0.154410416667,0.241416270599,0.2608,0.072,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100910,250,250,0.670864583333,0.112635416667,0.112678957834,0.9402,0.056,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250
2026100911,250,250,0.56379375,0.241039583333,0.105258324563,0.9658,0.036,longer,threshold,MI,12000,8000,100,20,13,18,94,1,random,mean,250
