seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026090800,250,250,0.64868125,1.62706,0.0600385304501,,0.204,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090801,250,250,0.527516666667,1.34869916667,0.0724873194779,,0.34,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090802,250,250,0.5499,1.3815175,0.0800113120736,,0.268,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090803,250,250,0.677802083333,1.70274333333,0.0484936315331,,0.16,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090804,250,250,0.553,1.392485,0.076743075222,,0.304,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090805,250,250,0.68653125,1.71467,0.0484942059558,,0.128,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090806,250,250,0.5904,1.4948,0.0659277206772,,0.296,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090807,250,250,0.537702083333,1.36666083333,0.0686905970568,,0.312,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090808,250,250,0.615233333333,1.56966833333,0.0537387975214,,0.208,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090809,250,250,0.5593,1.41354,0.0647122168952,,0.216,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090810,250,250,0.674022916667,1.71223166667,0.0450732259251,,0.18,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090811,250,250,0.593058333333,1.50386333333,0.0672239274225,,0.3,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090812,250,250,0.60989375,1.54849,0.0575413052772,,0.328,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090813,250,250,0.509716666667,1.31897916667,0.0708062767467,,0.316,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090814,250,250,0.594666666667,1.50864416667,0.0596396402527,,0.28,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090815,250,250,0.72278125,1.8595875,0.0263299887593,,0.068,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090800,500,250,0.574527083333,1.45575333333,0.0670467268464,,0.22,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090801,500,250,0.60158125,1.5262075,0.0639446660246,,0.294,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090802,500,250,0.7007625,1.7604775,0.0355043771548,,0.182,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090803,500,250,0.575047916667,1.45584416667,0.0672837940324,,0.196,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090804,500,250,0.65270625,1.6703,0.046293745432,,0.236,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090805,500,250,0.770333333333,1.91841833333,0.032200377526,,0.066,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090806,500,250,0.645379166667,1.64614166667,0.0558327477632,,0.298,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090807,500,250,0.61059375,1.53981,0.0661503054551,,0.216,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090808,500,250,0.6818625,1.72323,0.038420148541,,0.14,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090809,500,250,0.58645,1.48858,0.062704654949,,0.238,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090810,500,250,0.580960416667,1.47487166667,0.0592217851322,,0.212,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090811,500,250,0.67805,1.7223875,0.0371176156328,,0.184,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090812,500,250,0.565997916667,1.43151916667,0.0701118128405,,0.32,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090813,500,250,0.5479125,1.3946225,0.0741424286448,,0.286,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090814,500,250,0.60554375,1.536425,0.0580580091031,,0.272,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090815,500,250,0.617320833333,1.56611083333,0.05752922139,,0.148,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090800,750,250,0.56779375,1.44291,0.0660855504031,,0.233333333333,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090801,750,250,0.594670833333,1.51561833333,0.0630562102285,,0.288,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090802,750,250,0.722570833333,1.81159333333,0.0381009356482,,0.141333333333,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090803,750,250,0.596072916667,1.51901416667,0.0611119093591,,0.221333333333,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090804,750,250,0.535895833333,1.35804333333,0.0763887242815,,0.264,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090805,750,250,0.797320833333,1.98771333333,0.0323180977473,,0.048,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090806,750,250,0.691216666667,1.72065666667,0.0507223559994,,0.214666666667,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090807,750,250,0.58490625,1.48924,0.0673061415261,,0.228,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090808,750,250,0.616920833333,1.56566833333,0.0612678591129,,0.169333333333,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090809,750,250,0.563125,1.43232,0.0673519412589,,0.245333333333,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090810,750,250,0.581770833333,1.48087333333,0.0607858009408,,0.218666666667,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090811,750,250,0.600614583333,1.52245083333,0.0589454259846,,0.198666666667,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090812,750,250,0.542583333333,1.37576833333,0.075683283734,,0.296,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090813,750,250,0.797575,2.0054625,0.0210039991581,,0.205333333333,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090814,750,250,0.60856875,1.527355,0.0585482795624,,0.241333333333,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090815,750,250,0.607445833333,1.52216583333,0.0598337300288,,0.146666666667,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090800,1000,250,0.719691666667,1.78810166667,0.0434342970061,,0.182,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090801,1000,250,0.564064583333,1.41620333333,0.0738518053116,,0.3,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090802,1000,250,0.647060416667,1.64901166667,0.0429538312762,,0.149,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090803,1000,250,0.671416666667,1.70691666667,0.0461511041278,,0.207,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090804,1000,250,0.565697916667,1.42001666667,0.071025129834,,0.253,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090805,1000,250,0.813908333333,2.03332333333,0.0312660108813,,0.038,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090806,1000,250,0.606752083333,1.54291583333,0.0546365409701,,0.214,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090807,1000,250,0.580227083333,1.48811583333,0.0673877653245,,0.239,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090808,1000,250,0.552279166667,1.39519666667,0.0714626605686,,0.191,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090809,1000,250,0.629264583333,1.61600333333,0.0507190322835,,0.237,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090810,1000,250,0.534364583333,1.35687333333,0.0719300939384,,0.25,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090811,1000,250,0.564654166667,1.41515416667,0.0704569024056,,0.227,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090812,1000,250,0.6202375,1.57412,0.0599579177351,,0.283,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090813,1000,250,0.854139583333,2.14912333333,0.00984979536198,,0.156,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090814,1000,250,0.567260416667,1.44295416667,0.0655991838465,,0.25,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090815,1000,250,0.557941666667,1.41722416667,0.0692643785726,,0.167,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090800,1250,250,0.62193125,1.5817975,0.0513682346291,,0.1768,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090801,1250,250,0.658302083333,1.68252333333,0.0469388546926,,0.2632,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090802,1250,250,0.6491125,1.61354,0.0678807835023,,0.1464,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090803,1250,250,0.6714375,1.6839575,0.0508641093889,,0.2008,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090804,1250,250,0.6672375,1.6926675,0.0496180651438,,0.2256,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090805,1250,250,0.786654166667,1.94614666667,0.0376286867041,,0.0312,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090806,1250,250,0.765729166667,1.93570916667,0.0376574481325,,0.1792,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090807,1250,250,0.563527083333,1.41786083333,0.0722942557461,,0.2384,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090808,1250,250,0.562227083333,1.41083833333,0.0688701196515,,0.2056,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090809,1250,250,0.586941666667,1.49946416667,0.0583520375959,,0.2312,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090810,1250,250,0.569189583333,1.44616333333,0.0634045995551,,0.264,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090811,1250,250,0.566122916667,1.43486166667,0.062574612073,,0.2328,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090812,1250,250,0.662625,1.6920725,0.0447379056678,,0.2704,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090813,1250,250,0.82713125,2.0732975,0.0176384348987,,0.132,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090814,1250,250,0.6358375,1.6101,0.0606060732413,,0.2384,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090815,1250,250,0.630079166667,1.60341916667,0.0430717847385,,0.1584,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090800,1500,250,0.654647916667,1.67404416667,0.0498476363068,,0.173333333333,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090801,1500,250,0.6063125,1.526685,0.0557554287043,,0.236,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090802,1500,250,0.54485625,1.37553,0.0733476690697,,0.172666666667,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090803,1500,250,0.624025,1.5845025,0.0569218186999,,0.202,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090804,1500,250,0.624329166667,1.59681166667,0.0584150311684,,0.214,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090805,1500,250,0.770952083333,1.91861333333,0.0369654238732,,0.0293333333333,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090806,1500,250,0.780383333333,1.97673833333,0.023215518419,,0.150666666667,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090807,1500,250,0.65265,1.6653,0.0495502167649,,0.232,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090808,1500,250,0.70609375,1.77009,0.0470888395441,,0.178,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090809,1500,250,0.533314583333,1.35874083333,0.0753738357905,,0.231333333333,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090810,1500,250,0.601677083333,1.51600083333,0.0705355230981,,0.268,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090811,1500,250,0.587947916667,1.49153416667,0.0532631262792,,0.215333333333,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090812,1500,250,0.665316666667,1.67046916667,0.0508261776266,,0.246666666667,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090813,1500,250,0.829570833333,2.06976583333,0.0209801147444,,0.115333333333,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090814,1500,250,0.727370833333,1.81163333333,0.0415592528442,,0.2,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090815,1500,250,0.52651875,1.34164,0.0687550579126,,0.170666666667,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090800,1750,250,0.586477083333,1.48012083333,0.0639245858484,,0.182285714286,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090801,1750,250,0.656504166667,1.62644166667,0.05813831511,,0.212571428571,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090802,1750,250,0.600179166667,1.51806416667,0.0624355625893,,0.184,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090803,1750,250,0.731372916667,1.81129166667,0.0351772275251,,0.177714285714,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090804,1750,250,0.58853125,1.4833875,0.0659754396576,,0.217142857143,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090805,1750,250,0.617466666667,1.56242666667,0.0626374313892,,0.0514285714286,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090806,1750,250,0.762422916667,1.94299166667,0.021996530635,,0.131428571429,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090807,1750,250,0.6316125,1.5914375,0.0621629737055,,0.223428571429,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090808,1750,250,0.548070833333,1.39196333333,0.073181418644,,0.192,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090809,1750,250,0.757010416667,1.91152666667,0.0371156297076,,0.214285714286,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090810,1750,250,0.543102083333,1.37123583333,0.0700228244339,,0.278285714286,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090811,1750,250,0.589135416667,1.48495916667,0.0642796278376,,0.215428571429,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090812,1750,250,0.557447916667,1.39183916667,0.0670114909953,,0.214285714286,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090813,1750,250,0.828310416667,2.07100666667,0.0251747297804,,0.110285714286,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090814,1750,250,0.65639375,1.6477,0.0508921765275,,0.190285714286,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090815,1750,250,0.573135416667,1.45174166667,0.0670147683023,,0.191428571429,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090800,2000,250,0.567747916667,1.42556416667,0.0719466684932,,0.1895,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090801,2000,250,0.644425,1.6618075,0.0489390637366,,0.2105,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090802,2000,250,0.550335416667,1.40149666667,0.0725641149024,,0.206,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090803,2000,250,0.726270833333,1.80387833333,0.033323415985,,0.1565,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090804,2000,250,0.57976875,1.454625,0.066893838598,,0.203,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090805,2000,250,0.585385416667,1.49436166667,0.0568191279335,,0.065,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090806,2000,250,0.606729166667,1.55272416667,0.0537442062003,,0.139,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090807,2000,250,0.558910416667,1.43145916667,0.0621048535142,,0.2285,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090808,2000,250,0.58543125,1.4925725,0.0618153112651,,0.212,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090809,2000,250,0.679814583333,1.71563333333,0.0447016702709,,0.201,minimum_signal,linear,AI,6000,2000,100,20,13,0,14,1,random,minimum,250
