seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026090700,0.26,1452,1574,1495,1479,0.575664973958,1.26646294271,0.0520665392414,,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250,minimum_signal_linear_FE_2026090700,40,4000,0.574466145833,1.26382552083,0.0528060757924,
2026090701,0.195333333333,1486,1482,1480,1552,0.644235546875,1.41731820313,0.042634465693,,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250,minimum_signal_linear_FE_2026090701,40,4000,0.633697916667,1.39413541667,0.0429228237578,
2026090702,0.260166666667,1458,1506,1494,1542,0.587292708333,1.29204395833,0.0484784835307,,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250,minimum_signal_linear_FE_2026090702,40,4000,0.588841145833,1.29545052083,0.0468927836918,
2026090703,0.2245,1453,1499,1486,1562,0.59276796875,1.30408953125,0.050067541625,,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250,minimum_signal_linear_FE_2026090703,40,4000,0.578020833333,1.27164583333,0.0519741343361,
2026090704,0.2445,1515,1519,1459,1507,0.606248697917,1.33374713542,0.0445957729231,,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250,minimum_signal_linear_FE_2026090704,40,4000,0.60953125,1.34096875,0.0455503385721,
2026090705,0.227333333333,1515,1488,1485,1512,0.589632552083,1.29719161458,0.0480750134299,,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250,minimum_signal_linear_FE_2026090705,40,4000,0.594453125,1.307796875,0.0502323481166,
2026090706,0.239333333333,1536,1438,1479,1547,0.603103385417,1.32682744792,0.0487357853364,,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250,minimum_signal_linear_FE_2026090706,40,4000,0.601588541667,1.32349479167,0.0507852254277,
2026090707,0.2835,1476,1563,1508,1453,0.55619375,1.22362625,0.0549341150235,,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250,minimum_signal_linear_FE_2026090707,40,4000,0.538098958333,1.18381770833,0.0572037116247,
2026090708,0.2285,1502,1504,1489,1505,0.590907161458,1.29999575521,0.0476666831002,,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250,minimum_signal_linear_FE_2026090708,40,4000,0.602044270833,1.32449739583,0.0443362991304,
2026090709,0.219833333333,1457,1468,1522,1553,0.601396223958,1.32307169271,0.0462923412043,,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250,minimum_signal_linear_FE_2026090709,40,4000,0.606588541667,1.33449479167,0.046378677175,
2026090710,0.254666666667,1510,1494,1507,1489,0.553037890625,1.21668335937,0.0540968359549,,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250,minimum_signal_linear_FE_2026090710,40,4000,0.535911458333,1.17900520833,0.057661148643,
2026090711,0.210333333333,1539,1518,1474,1469,0.622860807292,1.37029377604,0.0449081338648,,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250,minimum_signal_linear_FE_2026090711,40,4000,0.616783854167,1.35692447917,0.0421876005908,
2026090712,0.248166666667,1498,1497,1517,1488,0.5639390625,1.2406659375,0.0529563139308,,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250,minimum_signal_linear_FE_2026090712,40,4000,0.549088541667,1.20799479167,0.0562561336245,
2026090713,0.217,1521,1535,1491,1453,0.581423567708,1.27913184896,0.0510960868681,,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250,minimum_signal_linear_FE_2026090713,40,4000,0.5673046875,1.2480703125,0.049132865495,
2026090714,0.234833333333,1525,1530,1445,1500,0.627418489583,1.38032067708,0.0456232152482,,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250,minimum_signal_linear_FE_2026090714,40,4000,0.642317708333,1.41309895833,0.0440559948815,
2026090715,0.221333333333,1497,1457,1505,1541,0.578842447917,1.27345338542,0.0486473607121,,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250,minimum_signal_linear_FE_2026090715,40,4000,0.551927083333,1.21423958333,0.0504525965446,
