seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026090700,250,250,0.631466666667,1.38922666667,0.0425827919347,,0.096,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090701,250,250,0.611960416667,1.34631291667,0.0426163034983,,0.232,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090702,250,250,0.564389583333,1.24165708333,0.0525092231026,,0.296,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090703,250,250,0.754920833333,1.66082583333,0.0325060660111,,0.028,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090704,250,250,0.550504166667,1.21110916667,0.0497551936478,,0.268,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090705,250,250,0.5847625,1.2864775,0.0500391004742,,0.2,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090706,250,250,0.53889375,1.18556625,0.0585962875553,,0.308,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090707,250,250,0.560620833333,1.23336583333,0.0545617141576,,0.312,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090708,250,250,0.67603125,1.48726875,0.0399980404624,,0.144,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090709,250,250,0.521364583333,1.14700208333,0.0575291444824,,0.408,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090710,250,250,0.548914583333,1.20761208333,0.0527320513287,,0.288,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090711,250,250,0.542564583333,1.19364208333,0.0557778502058,,0.332,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090712,250,250,0.561066666667,1.23434666667,0.047795484175,,0.156,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090713,250,250,0.5952875,1.3096325,0.0542949461942,,0.216,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090714,250,250,0.545004166667,1.19900916667,0.0591293161318,,0.388,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090715,250,250,0.648970833333,1.42773583333,0.0305896497908,,0.128,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090700,500,250,0.624485416667,1.37386791667,0.0404261302035,,0.146,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090701,500,250,0.703654166667,1.54803916667,0.034223279354,,0.182,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090702,500,250,0.56111875,1.23446125,0.0516005006596,,0.272,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090703,500,250,0.594725,1.308395,0.0444729693342,,0.072,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090704,500,250,0.534772916667,1.17650041667,0.056670712884,,0.312,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090705,500,250,0.605422916667,1.33193041667,0.0448038129814,,0.136,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090706,500,250,0.550504166667,1.21110916667,0.0551655091394,,0.304,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090707,500,250,0.561404166667,1.23508916667,0.0555847207721,,0.278,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090708,500,250,0.70416875,1.54917125,0.0351217639207,,0.096,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090709,500,250,0.542966666667,1.19452666667,0.0548288619517,,0.352,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090710,500,250,0.51850625,1.14071375,0.0603715737783,,0.322,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090711,500,250,0.574072916667,1.26296041667,0.053516928649,,0.294,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090712,500,250,0.551525,1.213355,0.0514480237467,,0.224,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090713,500,250,0.843391666667,1.85546166667,0.0203902161402,,0.114,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090714,500,250,0.582560416667,1.28163291667,0.0553081228204,,0.336,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090715,500,250,0.657960416667,1.44751291667,0.0413709743894,,0.144,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090700,750,250,0.58049375,1.27708625,0.0550368300308,,0.169333333333,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090701,750,250,0.619689583333,1.36331708333,0.0449343347981,,0.225333333333,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090702,750,250,0.643902083333,1.41658458333,0.0432805826471,,0.256,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090703,750,250,0.544795833333,1.19855083333,0.0539006253123,,0.169333333333,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090704,750,250,0.515377083333,1.13382958333,0.062612196529,,0.332,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090705,750,250,0.574545833333,1.26400083333,0.0539892688168,,0.170666666667,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090706,750,250,0.504733333333,1.11041333333,0.0570977553186,,0.316,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090707,750,250,0.622533333333,1.36957333333,0.0522185664595,,0.268,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090708,750,250,0.579366666667,1.27460666667,0.0465307760447,,0.125333333333,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090709,750,250,0.566541666667,1.24639166667,0.0545558085745,,0.322666666667,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090710,750,250,0.686595833333,1.51051083333,0.0404231905068,,0.248,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090711,750,250,0.543841666667,1.19645166667,0.0591716270456,,0.302666666667,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090712,750,250,0.569202083333,1.25224458333,0.0451942632065,,0.198666666667,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090713,750,250,0.822395833333,1.80927083333,0.0146702622294,,0.076,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090714,750,250,0.535714583333,1.17857208333,0.0617474885927,,0.344,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090715,750,250,0.605945833333,1.33308083333,0.0474127285813,,0.173333333333,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090700,1000,250,0.527272916667,1.16000041667,0.0573676218212,,0.205,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090701,1000,250,0.51030625,1.12267375,0.0616549578962,,0.291,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090702,1000,250,0.54811875,1.20586125,0.0518724633896,,0.273,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090703,1000,250,0.575260416667,1.26557291667,0.0453474518152,,0.174,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090704,1000,250,0.55148125,1.21325875,0.0581141103911,,0.303,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090705,1000,250,0.528260416667,1.16217291667,0.05831890546,,0.216,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090706,1000,250,0.57375625,1.26226375,0.0514072599039,,0.295,minimum_signal,linear,FE,6000,2000,100,20,13,0,14,1,random,minimum,250
