seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026090900,250,250,0.501760416667,0.965411666667,0.0981649533819,,0.316,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090901,250,250,0.46569375,0.8914575,0.105297146322,,0.252,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090902,250,250,0.529052083333,0.996873333333,0.0894178589275,,0.412,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090903,250,250,0.543427083333,1.01345833333,0.0847721823252,,0.412,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090904,250,250,0.541695833333,1.03940333333,0.095228876685,,0.336,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090905,250,250,0.6044,1.1502775,0.0769999612652,,0.264,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090906,250,250,0.525641666667,0.997329166667,0.0853833416983,,0.36,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090907,250,250,0.473241666667,0.894924166667,0.101593517336,,0.356,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090908,250,250,0.568777083333,1.09246333333,0.0904046105097,,0.316,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090909,250,250,0.487608333333,0.936618333333,0.102421738492,,0.376,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090910,250,250,0.500375,0.95758,0.0981876696216,,0.368,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090911,250,250,0.510858333333,0.994355833333,0.099539296648,,0.304,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090912,250,250,0.52213125,0.9944425,0.0974270926282,,0.288,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090913,250,250,0.5096875,0.96544,0.0976893949885,,0.372,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090914,250,250,0.527791666667,1.00433166667,0.0925073409966,,0.376,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090915,250,250,0.5104375,0.984505,0.102166223715,,0.344,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090900,500,250,0.463079166667,0.900706666667,0.10466688316,,0.31,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090901,500,250,0.569452083333,1.07104083333,0.0840079405899,,0.282,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090902,500,250,0.561802083333,1.07389833333,0.0821713521488,,0.358,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090903,500,250,0.551508333333,1.05017833333,0.0886856040421,,0.356,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090904,500,250,0.569216666667,1.09603416667,0.0892427234022,,0.324,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090905,500,250,0.545241666667,1.03286416667,0.089122182275,,0.35,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090906,500,250,0.466358333333,0.892158333333,0.108205837719,,0.384,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090907,500,250,0.545789583333,1.03354083333,0.083376025373,,0.34,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090908,500,250,0.50381875,0.9670225,0.0974842292667,,0.338,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090909,500,250,0.538529166667,1.02776666667,0.0921688559211,,0.348,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090910,500,250,0.5122875,0.980825,0.0895371867756,,0.334,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090911,500,250,0.531564583333,1.01570333333,0.0888975080639,,0.338,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090912,500,250,0.549754166667,1.04983666667,0.0867245851399,,0.284,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090913,500,250,0.53255625,1.0246425,0.0943978864386,,0.372,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090914,500,250,0.501289583333,0.972278333333,0.102407235536,,0.376,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090915,500,250,0.535410416667,1.03732416667,0.0946511312366,,0.36,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090900,750,250,0.48953125,0.9341675,0.103043895897,,0.330666666667,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090901,750,250,0.448497916667,0.864379166667,0.109262120964,,0.293333333333,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090902,750,250,0.511564583333,0.989565833333,0.0966698234758,,0.337333333333,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090903,750,250,0.5518,1.0407675,0.0836011867039,,0.366666666667,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090904,750,250,0.51839375,0.979945,0.091954097471,,0.330666666667,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090905,750,250,0.5994375,1.1270425,0.0712062015003,,0.294666666667,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090906,750,250,0.548929166667,1.06863166667,0.0858725118936,,0.304,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090907,750,250,0.54058125,1.0199075,0.085612220117,,0.321333333333,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090908,750,250,0.558135416667,1.07441916667,0.0841451177312,,0.293333333333,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090909,750,250,0.557885416667,1.06531166667,0.0843787714229,,0.314666666667,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090910,750,250,0.553954166667,1.06937916667,0.0907767009446,,0.326666666667,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090911,750,250,0.4894875,0.926735,0.0962384390056,,0.328,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090912,750,250,0.525452083333,1.00706083333,0.0936698680694,,0.324,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090913,750,250,0.550327083333,1.04239083333,0.0852615601939,,0.38,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090914,750,250,0.513777083333,0.988375833333,0.0998660411699,,0.353333333333,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090915,750,250,0.477616666667,0.920479166667,0.10450346619,,0.377333333333,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090900,1000,250,0.514327083333,0.988915833333,0.0984139114519,,0.337,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090901,1000,250,0.528247916667,1.00262166667,0.0893982044261,,0.29,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090902,1000,250,0.526347916667,0.998914166667,0.091440290838,,0.336,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090903,1000,250,0.48513125,0.93465,0.107086407892,,0.379,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090904,1000,250,0.511597916667,0.979304166667,0.096518307834,,0.342,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090905,1000,250,0.466733333333,0.891310833333,0.108916795968,,0.298,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090906,1000,250,0.565691666667,1.07730166667,0.0833308175324,,0.301,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090907,1000,250,0.53475,1.0100775,0.0911011962002,,0.325,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090908,1000,250,0.520379166667,0.989911666667,0.0979279873436,,0.303,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090909,1000,250,0.512254166667,0.977964166667,0.102005266581,,0.361,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090910,1000,250,0.5804375,1.10897,0.0775539198987,,0.293,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090911,1000,250,0.5149,0.982725,0.0934705412044,,0.34,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090912,1000,250,0.531870833333,1.02298833333,0.0961665012145,,0.332,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090913,1000,250,0.527252083333,1.01181333333,0.0937984591553,,0.353,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090914,1000,250,0.73319375,1.3932525,0.0434192269179,,0.29,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090915,1000,250,0.544058333333,1.03727583333,0.0860291157822,,0.363,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090900,1250,250,0.485225,0.93541,0.101628417455,,0.3256,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090901,1250,250,0.540185416667,1.02097166667,0.0896108098488,,0.2968,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090902,1250,250,0.492097916667,0.946604166667,0.101597468516,,0.332,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090903,1250,250,0.5021,0.9669175,0.10149365793,,0.38,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090904,1250,250,0.483775,0.9138425,0.100464135942,,0.3472,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090905,1250,250,0.507720833333,0.975730833333,0.0966520481949,,0.3176,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090906,1250,250,0.665147916667,1.29243916667,0.0689049870601,,0.2768,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090907,1250,250,0.578533333333,1.10295583333,0.0840989707952,,0.304,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090908,1250,250,0.5006375,0.9571675,0.0991301474415,,0.3176,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090909,1250,250,0.528604166667,1.00945666667,0.0927811948279,,0.368,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
2026090910,1250,250,0.538702083333,1.01694333333,0.0827855470969,,0.292,minimum_signal,linear,MI,6000,2000,100,20,13,0,14,1,random,minimum,250
