seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026100800,0.00366666666667,1446,1536,1545,1473,0.566876822917,0.206060677083,0.11193515813,0.927525,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_AI_2026100800,40,4000,0.565221354167,0.208736979167,0.112257689416,0.92875
2026100801,0.0113333333333,1498,1480,1487,1535,0.59219765625,0.239625260417,0.0889581098048,0.9981875,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_AI_2026100801,40,4000,0.590221354167,0.241028645833,0.089422184281,0.9975
2026100802,0.0151666666667,1546,1519,1422,1513,0.023739453125,-0.0141873697917,0.251871859899,0.0114625,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_AI_2026100802,40,4000,0.024140625,-0.0137239583333,0.25159341427,0.0125
2026100803,0.0281666666667,1503,1421,1579,1497,0.196005078125,-0.154577994792,0.248317005784,0.0497125,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_AI_2026100803,40,4000,0.196380208333,-0.151588541667,0.248394834018,0.05375
2026100804,0.0158333333333,1468,1544,1520,1468,0.179107161458,-0.164763411458,0.253768672057,0.0172125,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_AI_2026100804,40,4000,0.1784765625,-0.164934895833,0.254295069179,0.01625
2026100805,0.0166666666667,1486,1494,1503,1517,0.0394092447917,-0.0276279947917,0.250898685257,0.0141375,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_AI_2026100805,40,4000,0.0368098958333,-0.0274348958333,0.250818191625,0.01125
2026100806,0.0226666666667,1425,1567,1486,1522,0.374202473958,0.00154752604167,0.185597927967,0.4509,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_AI_2026100806,40,4000,0.377083333333,0.00520833333333,0.184345406515,0.45875
2026100807,0.0163333333333,1504,1521,1465,1510,0.0938908854167,-0.08031796875,0.255380215136,0.0162875,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_AI_2026100807,40,4000,0.0948177083333,-0.080234375,0.255427905197,0.0175
2026100808,0.014,1482,1534,1519,1465,0.015728125,-0.014103125,0.252918427901,0.00195,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_AI_2026100808,40,4000,0.0152864583333,-0.0142447916667,0.253369066112,0.00125
2026100809,0.0176666666667,1471,1473,1585,1471,0.500841145833,0.305888020833,0.102145354015,0.968075,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_AI_2026100809,40,4000,0.501575520833,0.3067578125,0.101804814808,0.97
2026100810,0.0235,1555,1469,1443,1533,0.127443229167,-0.1107453125,0.253129235133,0.0200375,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_AI_2026100810,40,4000,0.1259375,-0.1103125,0.252849252364,0.01875
2026100811,0.0201666666667,1466,1437,1549,1548,0.00366927083333,-0.00366927083333,0.251586911834,0,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_AI_2026100811,40,4000,0.00372395833333,-0.00372395833333,0.251614269079,0
2026100812,0.015,1526,1477,1521,1476,0.528586067708,0.304747265625,0.0905180621212,1,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_AI_2026100812,40,4000,0.527799479167,0.305533854167,0.09068716334,1
2026100813,0.0213333333333,1466,1530,1506,1498,0.161758854167,-0.1585921875,0.256061318242,0.0038,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_AI_2026100813,40,4000,0.1611328125,-0.1580078125,0.255988032855,0.00375
2026100814,0.0253333333333,1488,1505,1488,1519,0.0763677083333,-0.0736489583333,0.256315935424,0.0032625,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_AI_2026100814,40,4000,0.0754947916667,-0.0734114583333,0.25653934589,0.0025
2026100815,0.0286666666667,1541,1552,1413,1494,0.36143046875,-0.13418046875,0.214356163899,0.2727,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_AI_2026100815,40,4000,0.3657421875,-0.1157421875,0.210126829907,0.3
