seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026100800,250,250,0.6237625,0.146904166667,0.0953642574173,0.9248,0.028,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100801,250,250,0.59935,0.167316666667,0.117257309576,0.92,0.068,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100802,250,250,0.0860104166667,-0.0205104166667,0.245968715175,0.0786,0.032,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100803,250,250,0.4409125,-0.0600791666667,0.215217298694,0.457,0.196,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100804,250,250,0.253341666667,-0.243175,0.266455411076,0.0122,0.04,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100805,250,250,0.32605625,-0.179889583333,0.244408197458,0.1754,0.092,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100806,250,250,0.2611375,-0.206804166667,0.25100365386,0.0652,0.088,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100807,250,250,0.17180625,-0.14880625,0.236889085667,0.0276,0.06,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100808,250,250,0.0718729166667,-0.03420625,0.264822715118,0.0452,0.064,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100809,250,250,0.53095,0.0458833333333,0.164736238124,0.6922,0.08,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100810,250,250,0.4553625,-0.1643625,0.211377669758,0.3492,0.12,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100811,250,250,0.347033333333,-0.115366666667,0.242173138109,0.278,0.204,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100812,250,250,0.51633125,0.01466875,0.172373197084,0.6372,0.128,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100813,250,250,0.22590625,-0.216572916667,0.291366880248,0.0112,0.048,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100814,250,250,0.394479166667,-0.1853125,0.251072882796,0.251,0.14,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100815,250,250,0.4798125,-0.167479166667,0.216582492373,0.3748,0.156,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100800,500,250,0.611458333333,0.138541666667,0.0949401079495,0.9,0.014,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100801,500,250,0.657985416667,0.175347916667,0.0944914161513,1,0.046,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100802,500,250,0.0371541666667,0.0045125,0.244860328135,0.05,0.018,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100803,500,250,0.236591666667,-0.187925,0.270707596215,0.0584,0.14,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100804,500,250,0.21714375,-0.18214375,0.252787678326,0.042,0.026,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100805,500,250,0.193810416667,-0.193810416667,0.253373599787,0,0.052,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100806,500,250,0.196827083333,-0.171160416667,0.247249256627,0.0308,0.068,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100807,500,250,0.0973895833333,-0.0973895833333,0.25390411516,0,0.05,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100808,500,250,0.0159416666667,-0.0159416666667,0.255848691896,0,0.05,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100809,500,250,0.273320833333,-0.0868208333333,0.235142274193,0.2238,0.078,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100810,500,250,0.396822916667,-0.166989583333,0.241394042532,0.2758,0.134,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100811,500,250,0.0333041666667,-0.0333041666667,0.263751711823,0,0.112,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100812,500,250,0.573958333333,0.259375,0.0828620184159,1,0.064,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100813,500,250,0.209064583333,-0.161897916667,0.260945884438,0.0566,0.038,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100814,500,250,0.22108125,-0.19708125,0.253240626187,0.0288,0.088,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100815,500,250,0.406560416667,-0.384060416667,0.254821178838,0.027,0.094,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100800,750,250,0.611458333333,0.138541666667,0.0949401079495,0.9,0.00933333333333,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100801,750,250,0.628329166667,0.166170833333,0.0944677906768,0.9534,0.0333333333333,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100802,750,250,0.0368208333333,0.00484583333333,0.244682276688,0.05,0.0133333333333,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100803,750,250,0.21543125,-0.128597916667,0.243414445681,0.1042,0.101333333333,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100804,750,250,0.171710416667,-0.145377083333,0.256049148577,0.0316,0.024,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100805,750,250,0.180116666667,-0.180116666667,0.251135918367,0,0.0386666666667,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100806,750,250,0.167227083333,-0.151560416667,0.25534394865,0.0188,0.056,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100807,750,250,0.0876145833333,-0.0876145833333,0.250769994177,0,0.0346666666667,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100808,750,250,0.0148583333333,-0.0148583333333,0.252293219178,0,0.0346666666667,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100809,750,250,0.131339583333,-0.0638395833333,0.242314578718,0.081,0.0586666666667,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100810,750,250,0.308654166667,-0.273320833333,0.275505580475,0.0424,0.1,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100811,750,250,0.0290958333333,-0.0290958333333,0.261362730291,0,0.08,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100812,750,250,0.564572916667,0.268760416667,0.0849823384764,1,0.0453333333333,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100813,750,250,0.256216666667,-0.13305,0.241624375253,0.1478,0.04,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100814,750,250,0.1765375,-0.1765375,0.256965890828,0,0.06,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100815,750,250,0.478027083333,-0.0548604166667,0.20208643883,0.5078,0.112,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100800,1000,250,0.611458333333,0.138541666667,0.0949401079495,0.9,0.007,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100801,1000,250,0.627895833333,0.163770833333,0.0952006902607,0.95,0.027,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100802,1000,250,0.0377875,0.00387916666667,0.243564429913,0.05,0.012,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100803,1000,250,0.219097916667,-0.127097916667,0.239194807932,0.1104,0.082,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100804,1000,250,0.159054166667,-0.145554166667,0.258104184391,0.0162,0.024,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100805,1000,250,0.157616666667,-0.157616666667,0.253479776759,0,0.032,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100806,1000,250,0.170758333333,-0.159591666667,0.254232677444,0.0134,0.046,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100807,1000,250,0.0864583333333,-0.0864583333333,0.249390243902,0,0.026,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100808,1000,250,0.0130208333333,-0.0130208333333,0.2521875,0,0.026,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100809,1000,250,0.426354166667,0.181479166667,0.136720284602,0.7294,0.049,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100810,1000,250,0.282645833333,-0.209145833333,0.249969600063,0.0882,0.078,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100811,1000,250,0.0136166666667,-0.0102833333333,0.257233195489,0.004,0.063,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100812,1000,250,0.558020833333,0.2753125,0.086747889004,1,0.035,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100813,1000,250,0.190635416667,-0.15746875,0.254607402996,0.0398,0.037,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100814,1000,250,0.171083333333,-0.171083333333,0.256423499389,0,0.046,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100815,1000,250,0.122114583333,-0.115114583333,0.258238613487,0.0084,0.094,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100800,1250,250,0.611458333333,0.138541666667,0.0949401079495,0.9,0.0056,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100801,1250,250,0.63909375,0.189072916667,0.0883682221794,0.9938,0.0232,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100802,1250,250,0.055425,0.001575,0.243157858255,0.0684,0.0168,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100803,1250,250,0.199154166667,-0.162154166667,0.237404377064,0.0444,0.068,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100804,1250,250,0.152325,-0.152325,0.260828454075,0,0.0208,minimum_signal,threshold,AI,6000,2000,100,20,13,18,94,1,random,minimum,250
