seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026100700,0.008,1510,1476,1537,1477,0.504826822917,0.328506510417,0.00301541141456,1,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_FE_2026100700,40,4000,0.504895833333,0.3284375,0.00303468536265,1
2026100701,0.00783333333333,1475,1525,1475,1525,0.496001302083,0.29755078125,0.0105343657766,0.9522625,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_FE_2026100701,40,4000,0.496263020833,0.297486979167,0.0107497397135,0.9525
2026100702,0.01,1492,1531,1495,1482,0.510633854167,0.299397395833,0.0106114424967,0.9720375,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_FE_2026100702,40,4000,0.510677083333,0.30078125,0.0103401699533,0.97375
2026100703,0.0136666666667,1518,1498,1458,1526,0.506201692708,0.311621223958,0.00707897461989,0.9813875,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_FE_2026100703,40,4000,0.505924479167,0.309700520833,0.00679173927884,0.97875
2026100704,0.00916666666667,1442,1576,1524,1458,0.554134765625,0.255469401042,0.0152760251164,0.971525,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_FE_2026100704,40,4000,0.553828125,0.254505208333,0.0156014486315,0.97
2026100705,0.0145,1487,1560,1479,1474,0.139551302083,-0.134082552083,0.00863291098968,0.0065625,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_FE_2026100705,40,4000,0.138958333333,-0.134791666667,0.00903920288696,0.005
2026100706,0.00866666666667,1491,1496,1516,1497,0.504290234375,0.300938932292,0.00981193659697,0.966275,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_FE_2026100706,40,4000,0.504505208333,0.300703125,0.00982993485041,0.96625
2026100707,0.017,1521,1482,1511,1486,0.08211875,-0.07055625,0.0103589812024,0.013875,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_FE_2026100707,40,4000,0.0820703125,-0.0695703125,0.0103642351525,0.015
2026100708,0.0161666666667,1538,1505,1421,1536,0.549708203125,0.283593880208,0.00296888659105,0.9999625,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_FE_2026100708,40,4000,0.549895833333,0.2834375,0.00302602865964,1
2026100709,0.0136666666667,1527,1508,1497,1468,0.504482942708,0.326496223958,0.00393229793598,0.997175,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_FE_2026100709,40,4000,0.504544270833,0.326705729167,0.00382963530099,0.9975
2026100710,0.00716666666667,1542,1501,1452,1505,0.545774739583,0.28755859375,0.0113203835522,1,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_FE_2026100710,40,4000,0.545598958333,0.287734375,0.0112286043596,1
2026100711,0.0178333333333,1496,1507,1474,1523,0.0818048177083,-0.081127734375,0.01317771601,0.0008125,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_FE_2026100711,40,4000,0.0811067708333,-0.0811067708333,0.0131562585234,0
2026100712,0.0118333333333,1542,1525,1474,1459,0.505942708333,0.327390625,0.00267878661094,1,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_FE_2026100712,40,4000,0.5058203125,0.327513020833,0.00262307158347,1
2026100713,0.0173333333333,1530,1486,1501,1483,0.403641536458,-0.185235286458,0.023836159998,0.2620875,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_FE_2026100713,40,4000,0.394088541667,-0.192005208333,0.0219724331211,0.2425
2026100714,0.0115,1437,1514,1531,1518,0.509770703125,0.306260546875,0.00508779460208,0.9792375,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_FE_2026100714,40,4000,0.509401041667,0.306223958333,0.00497327710315,0.97875
2026100715,0.0148333333333,1579,1474,1419,1528,0.0594022135417,-0.0482147135417,0.00670268637818,0.013425,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250,minimum_signal_threshold_FE_2026100715,40,4000,0.0580729166667,-0.0486979166667,0.00646882531296,0.01125
