seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026100700,250,250,0.5142875,0.276545833333,0.0208738843244,0.949,0.04,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100701,250,250,0.5119,0.212766666667,0.0413901310192,0.8696,0.064,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100702,250,250,0.477395833333,-0.0545625,0.0206846079076,0.5074,0.024,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100703,250,250,0.52579375,0.106039583333,0.0761748035024,0.7582,0.128,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100704,250,250,0.516929166667,0.0937375,0.0741232873799,0.7328,0.1,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100705,250,250,0.24421875,-0.20371875,0.0473243425586,0.0486,0.064,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100706,250,250,0.5297375,0.2637625,0.0378699450495,0.9522,0.068,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100707,250,250,0.351266666667,-0.2601,0.0451578870588,0.1094,0.092,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100708,250,250,0.614270833333,0.0218958333333,0.0847416865769,0.7634,0.136,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100709,250,250,0.522272916667,0.143060416667,0.063768361145,0.7984,0.124,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100710,250,250,0.565414583333,0.212252083333,0.0557054113154,0.9332,0.064,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100711,250,250,0.221725,-0.100725,0.0751720902068,0.1452,0.144,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100712,250,250,0.536545833333,0.2002875,0.0507290765531,0.8842,0.084,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100713,250,250,0.5083,0.0770333333333,0.0888248613244,0.7024,0.144,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100714,250,250,0.5231375,0.132029166667,0.0671679752581,0.7862,0.076,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100715,250,250,0.37449375,-0.138327083333,0.0674985522098,0.2834,0.072,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100700,500,250,0.507304166667,0.326029166667,0.00386025032639,1,0.024,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100701,500,250,0.503508333333,0.288158333333,0.0225846803359,0.95,0.034,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100702,500,250,0.459889583333,-0.04605625,0.0323043267777,0.4966,0.03,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100703,500,250,0.521885416667,0.311447916667,0.0282616925966,1,0.076,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100704,500,250,0.56156875,0.255597916667,0.028261945348,0.9806,0.06,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100705,500,250,0.21990625,-0.11590625,0.0252958343092,0.1248,0.05,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100706,500,250,0.500416666667,0.279916666667,0.0241170493682,0.9364,0.038,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100707,500,250,0.31158125,-0.31158125,0.0308352700483,0,0.054,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100708,500,250,0.658252083333,0.08758125,0.0681116044748,0.895,0.092,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100709,500,250,0.54283125,0.290502083333,0.0211221699756,1,0.07,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100710,500,250,0.5594125,0.273920833333,0.0302031469067,1,0.042,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100711,500,250,0.0638583333333,-0.0638583333333,0.0321043185167,0,0.074,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100712,500,250,0.5146375,0.318695833333,0.00937050368366,1,0.05,minimum_signal,threshold,FE,6000,2000,100,20,13,18,94,1,random,minimum,250
