seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026100900,250,250,0.316529166667,-0.0248625,0.217668610252,0.35,0.04,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100901,250,250,0.531395833333,0.294604166667,0.0950399740047,0.9912,0.052,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100902,250,250,0.270841666667,-0.228841666667,0.274746877147,0.0504,0.068,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100903,250,250,0.31028125,-0.222114583333,0.253227609037,0.1058,0.076,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100904,250,250,0.305658333333,-0.0876583333333,0.230529661982,0.2616,0.092,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100905,250,250,0.481070833333,0.2857625,0.154918687934,0.9202,0.036,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100906,250,250,0.517491666667,0.202175,0.136561574547,0.8636,0.092,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100907,250,250,0.23475625,-0.123922916667,0.26328110845,0.133,0.088,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100908,250,250,0.5824,0.0419333333333,0.141578387042,0.7492,0.132,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100909,250,250,0.0709958333333,-0.0633291666667,0.252972698609,0.0092,0.06,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100910,250,250,0.153604166667,-0.1414375,0.272435856565,0.0146,0.024,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100911,250,250,0.377245833333,-0.171579166667,0.226563400779,0.2468,0.052,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100912,250,250,0.462597916667,-0.0927645833333,0.202309127035,0.4438,0.032,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100913,250,250,0.4481625,0.0758375,0.183075569234,0.6288,0.144,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100914,250,250,0.488729166667,0.0231041666667,0.186532191463,0.6142,0.196,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100915,250,250,0.495233333333,0.2926,0.122818377369,0.9454,0.064,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100900,500,250,0.38719375,0.00797291666667,0.208922870725,0.4742,0.072,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100901,500,250,0.520914583333,0.31241875,0.0927369715524,1,0.032,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100902,500,250,0.25526875,-0.195102083333,0.259402659019,0.0722,0.042,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100903,500,250,0.368197916667,-0.253197916667,0.24798333835,0.138,0.056,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100904,500,250,0.191847916667,-0.123847916667,0.245961879755,0.0816,0.052,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100905,500,250,0.47170625,-0.0200395833333,0.195739470288,0.542,0.062,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100906,500,250,0.510802083333,0.288364583333,0.114148145984,0.959,0.052,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100907,500,250,0.16435,-0.108516666667,0.248035802363,0.067,0.058,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100908,500,250,0.0932083333333,-0.091875,0.262117342614,0.0016,0.09,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100909,500,250,0.0286458333333,-0.0198125,0.256020646128,0.0106,0.046,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100910,500,250,0.127035416667,-0.10486875,0.261212412197,0.0266,0.024,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100911,500,250,0.300552083333,-0.226385416667,0.239698417236,0.089,0.052,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100912,500,250,0.429129166667,-0.347795833333,0.245855142951,0.0976,0.028,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100913,500,250,0.521585416667,0.291247916667,0.100531082794,0.9754,0.078,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100914,500,250,0.52963125,0.262202083333,0.11014540909,0.9502,0.122,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100915,500,250,0.48185,0.351483333333,0.111652213975,1,0.038,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100900,750,250,0.1868,-0.1053,0.264320682826,0.0978,0.076,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100901,750,250,0.522516666667,0.310816666667,0.0906377881869,1,0.028,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100902,750,250,0.257325,-0.200325,0.256354900575,0.0684,0.0306666666667,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100903,750,250,0.3030375,-0.249870833333,0.271119679331,0.0638,0.0493333333333,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100904,750,250,0.18474375,-0.15174375,0.253025665545,0.0396,0.0453333333333,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100905,750,250,0.50155625,0.240277083333,0.154190811524,0.8902,0.0653333333333,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100906,750,250,0.50251875,0.330814583333,0.10723707028,1,0.0373333333333,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100907,750,250,0.134625,-0.0929583333333,0.246480768202,0.05,0.0413333333333,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100908,750,250,0.082925,-0.082925,0.25681878734,0,0.0613333333333,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100909,750,250,0.0158041666667,-0.0158041666667,0.251055280112,0,0.0346666666667,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100910,750,250,0.09671875,-0.0935520833333,0.258298183012,0.0038,0.0306666666667,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100911,750,250,0.29908125,-0.198747916667,0.239448725385,0.1204,0.036,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100912,750,250,0.423329166667,-0.3816625,0.251987991929,0.05,0.024,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100913,750,250,0.5213125,0.270354166667,0.10260693997,0.95,0.0533333333333,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100914,750,250,0.482291666667,0.309375,0.121640920555,0.95,0.0813333333333,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100915,750,250,0.480208333333,0.353125,0.111820913462,1,0.0253333333333,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100900,1000,250,0.0461791666667,-0.0276791666667,0.258085432898,0.0222,0.06,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100901,1000,250,0.521091666667,0.312241666667,0.0919771211115,1,0.026,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100902,1000,250,0.392002083333,-0.0510020833333,0.214908960993,0.4092,0.035,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100903,1000,250,0.294116666667,-0.190616666667,0.244383290997,0.1242,0.043,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100904,1000,250,0.1603875,-0.1603875,0.259013787974,0,0.036,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100905,1000,250,0.488395833333,0.305270833333,0.137485943899,0.9524,0.05,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100906,1000,250,0.498097916667,0.313735416667,0.113461229739,0.9742,0.033,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100907,1000,250,0.101464583333,-0.0597979166667,0.249706622714,0.05,0.033,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100908,1000,250,0.08889375,-0.08289375,0.256537211741,0.0072,0.049,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100909,1000,250,0.0132041666667,-0.0132041666667,0.25057808642,0,0.03,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100910,1000,250,0.0939041666667,-0.0939041666667,0.2520597151,0,0.025,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100911,1000,250,0.28316875,-0.232835416667,0.248873598399,0.0604,0.028,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100912,1000,250,0.419220833333,-0.3678875,0.250560368651,0.0616,0.022,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100913,1000,250,0.51668125,0.274985416667,0.0999923967956,0.95,0.043,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100914,1000,250,0.482291666667,0.309375,0.121640920555,0.95,0.061,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100915,1000,250,0.480208333333,0.353125,0.111820913462,1,0.019,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100900,1250,250,0.05355,0.0106166666667,0.247535121254,0.077,0.0504,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100901,1250,250,0.5181875,0.315145833333,0.0927984930367,1,0.024,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100902,1250,250,0.532041666667,0.249291666667,0.104333201447,0.9376,0.0344,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100903,1250,250,0.261225,-0.219558333333,0.255915957628,0.05,0.0368,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100904,1250,250,0.157729166667,-0.157729166667,0.259671909577,0,0.0304,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100905,1250,250,0.490804166667,0.328695833333,0.130170039257,0.9834,0.0408,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100906,1250,250,0.505625,0.311041666667,0.113366997423,0.98,0.0272,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
2026100907,1250,250,0.104983333333,-0.0633166666667,0.25240920948,0.05,0.0304,minimum_signal,threshold,MI,6000,2000,100,20,13,18,94,1,random,minimum,250
