seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026090800,0.1595,1513,1461,1473,1553,0.654250520833,1.65779473958,0.0552521364074,,no_fairness,linear,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_AI_2026090800,40,4000,0.658333333333,1.66772395833,0.0530976899851,
2026090801,0.146,1474,1539,1475,1512,0.64266796875,1.64972453125,0.0543303345524,,no_fairness,linear,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_AI_2026090801,40,4000,0.651315104167,1.68036979167,0.0499652794134,
2026090802,0.140833333333,1481,1524,1485,1510,0.629060807292,1.60284979167,0.0589031264488,,no_fairness,linear,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_AI_2026090802,40,4000,0.6264453125,1.59259375,0.0591161016209,
2026090803,0.117166666667,1512,1514,1482,1492,0.671726953125,1.7114825,0.0513537335446,,no_fairness,linear,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_AI_2026090803,40,4000,0.681002604167,1.73897916667,0.0488721767474,
2026090804,0.190333333333,1505,1503,1465,1527,0.574626953125,1.4556334375,0.0710218080607,,no_fairness,linear,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_AI_2026090804,40,4000,0.567916666667,1.43285416667,0.0759712186831,
2026090805,0.0833333333333,1484,1470,1493,1553,0.754504427083,1.90476427083,0.0368457883931,,no_fairness,linear,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_AI_2026090805,40,4000,0.748645833333,1.89381770833,0.038312478629,
2026090806,0.150833333333,1592,1480,1473,1455,0.614685416667,1.55713432292,0.061703946562,,no_fairness,linear,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_AI_2026090806,40,4000,0.609635416667,1.54632291667,0.0633730630211,
2026090807,0.167333333333,1509,1495,1498,1498,0.617153515625,1.57009421875,0.0599042996211,,no_fairness,linear,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_AI_2026090807,40,4000,0.612643229167,1.55972916667,0.0600400062498,
2026090808,0.1765,1537,1558,1463,1442,0.633790494792,1.58820182292,0.059966812247,,no_fairness,linear,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_AI_2026090808,40,4000,0.639817708333,1.60355208333,0.0565843005941,
2026090809,0.172,1478,1467,1554,1501,0.58885,1.49803078125,0.064635330234,,no_fairness,linear,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_AI_2026090809,40,4000,0.586158854167,1.49182291667,0.0659425272434,
2026090810,0.175833333333,1469,1504,1477,1550,0.597848697917,1.51353510417,0.0650416660208,,no_fairness,linear,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_AI_2026090810,40,4000,0.591731770833,1.50264583333,0.0655420813947,
2026090811,0.158333333333,1496,1511,1468,1525,0.598189322917,1.51829666667,0.0661325988629,,no_fairness,linear,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_AI_2026090811,40,4000,0.582018229167,1.48005729167,0.0669852720793,
2026090812,0.0913333333333,1464,1512,1494,1530,0.8022015625,2.06889453125,0.0304874472296,,no_fairness,linear,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_AI_2026090812,40,4000,0.803333333333,2.07120833333,0.0310663980734,
2026090813,0.086,1496,1529,1538,1437,0.661333203125,1.67813,0.0552323108409,,no_fairness,linear,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_AI_2026090813,40,4000,0.6474609375,1.6450625,0.0564570529268,
2026090814,0.119666666667,1493,1489,1526,1492,0.633813020833,1.60729739583,0.0581574884858,,no_fairness,linear,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_AI_2026090814,40,4000,0.634739583333,1.60889583333,0.0570396076258,
2026090815,0.132833333333,1518,1471,1460,1551,0.638538020833,1.61662770833,0.0556202270659,,no_fairness,linear,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_AI_2026090815,40,4000,0.63078125,1.591453125,0.0585963905309,
