seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026090700,0.175,1452,1574,1495,1479,0.621373046875,1.36702070313,0.0454188537517,,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_FE_2026090700,40,4000,0.6245703125,1.3740546875,0.0450418067961,
2026090701,0.224166666667,1486,1482,1480,1552,0.553011458333,1.21662520833,0.0578684486297,,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_FE_2026090701,40,4000,0.544856770833,1.19868489583,0.0578599937278,
2026090702,0.2495,1458,1506,1494,1542,0.553166276042,1.21696580729,0.0576975508399,,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_FE_2026090702,40,4000,0.553203125,1.217046875,0.0565578404979,
2026090703,0.1955,1453,1499,1486,1562,0.579899739583,1.27577942708,0.0562395585322,,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_FE_2026090703,40,4000,0.582825520833,1.28221614583,0.0552219620017,
2026090704,0.1805,1515,1519,1459,1507,0.617050911458,1.35751200521,0.0504010491721,,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_FE_2026090704,40,4000,0.601705729167,1.32375260417,0.0512180094288,
2026090705,0.2125,1515,1488,1485,1512,0.563633203125,1.23999304688,0.0578381563425,,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_FE_2026090705,40,4000,0.558893229167,1.22956510417,0.0587026763942,
2026090706,0.162166666667,1536,1438,1479,1547,0.590771223958,1.29969669271,0.0482815109486,,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_FE_2026090706,40,4000,0.591341145833,1.30095052083,0.0482321547026,
2026090707,0.201666666667,1476,1563,1508,1453,0.582000911458,1.28040200521,0.0526190509183,,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_FE_2026090707,40,4000,0.5849609375,1.2869140625,0.0545204900586,
2026090708,0.1415,1502,1504,1489,1505,0.615481119792,1.35405846354,0.0512057404545,,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_FE_2026090708,40,4000,0.607760416667,1.33707291667,0.05319587588,
2026090709,0.137833333333,1457,1468,1522,1553,0.73010546875,1.60623203125,0.0383210347352,,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_FE_2026090709,40,4000,0.728984375,1.603765625,0.0393061218829,
2026090710,0.141,1510,1494,1507,1489,0.618866666667,1.36150666667,0.054411997191,,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_FE_2026090710,40,4000,0.6205859375,1.3652890625,0.052312296785,
2026090711,0.1805,1539,1518,1474,1469,0.610532942708,1.34317247396,0.0502797805728,,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_FE_2026090711,40,4000,0.6138671875,1.3505078125,0.0506064406768,
2026090712,0.212166666667,1498,1497,1517,1488,0.561471354167,1.23523697917,0.0567454023874,,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_FE_2026090712,40,4000,0.5487109375,1.2071640625,0.0582050296611,
2026090713,0.2325,1521,1535,1491,1453,0.537982161458,1.18356075521,0.0586461110848,,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_FE_2026090713,40,4000,0.551953125,1.214296875,0.0602026595945,
2026090714,0.236333333333,1525,1530,1445,1500,0.561111197917,1.23444463542,0.0569668482657,,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_FE_2026090714,40,4000,0.5769921875,1.2693828125,0.0560406539532,
2026090715,0.184166666667,1497,1457,1505,1541,0.628417838542,1.38251924479,0.0456227764782,,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_FE_2026090715,40,4000,0.628411458333,1.38250520833,0.0440869145096,
