seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026090700,250,250,0.522241666667,1.14893166667,0.0634420511141,,0.236,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090701,250,250,0.548808333333,1.20737833333,0.0592082161918,,0.192,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090702,250,250,0.575410416667,1.26590291667,0.056247795011,,0.244,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090703,250,250,0.546514583333,1.20233208333,0.0582070611256,,0.276,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090704,250,250,0.524722916667,1.15439041667,0.0609236408061,,0.22,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090705,250,250,0.578485416667,1.27266791667,0.0584839596045,,0.136,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090706,250,250,0.485122916667,1.06727041667,0.0602714794536,,0.256,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090707,250,250,0.6632875,1.4592325,0.0480697483242,,0.02,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090708,250,250,0.516002083333,1.13520458333,0.0601381283516,,0.3,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090709,250,250,0.572375,1.259225,0.0473393239341,,0.156,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090710,250,250,0.6042625,1.3293775,0.055925896632,,0.152,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090711,250,250,0.5225,1.1495,0.0631198214167,,0.232,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090712,250,250,0.548883333333,1.20754333333,0.0569282742767,,0.192,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090713,250,250,0.599158333333,1.31814833333,0.0463840381854,,0.124,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090714,250,250,0.544683333333,1.19830333333,0.0597729179633,,0.232,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090715,250,250,0.604166666667,1.32916666667,0.0544632517432,,0.144,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090700,500,250,0.619425,1.362735,0.0618784906779,,0.158,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090701,500,250,0.521627083333,1.14757958333,0.0595333537965,,0.22,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090702,500,250,0.51633125,1.13592875,0.0596844232157,,0.296,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090703,500,250,0.554841666667,1.22065166667,0.0597464559985,,0.228,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090704,500,250,0.543735416667,1.19621791667,0.0593764017508,,0.288,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026090705,500,250,0.5845625,1.2860375,0.057834044491,,0.126,no_fairness,linear,FE,6000,2000,100,20,13,0,0,1,random,mean,250
