seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026090900,0.1965,1487,1501,1473,1539,0.691536588542,1.30987369792,0.0596519848533,,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_MI_2026090900,40,4000,0.693151041667,1.30947916667,0.0583372279548,
2026090901,0.264,1510,1421,1565,1504,0.544581770833,1.04715364583,0.0922823756122,,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_MI_2026090901,40,4000,0.5234765625,1.0114375,0.097061875981,
2026090902,0.2915,1562,1464,1500,1474,0.544303645833,1.04259692708,0.0916864701611,,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_MI_2026090902,40,4000,0.555846354167,1.06171354167,0.0899136215625,
2026090903,0.1945,1485,1512,1546,1457,0.583100520833,1.12650786458,0.083474601063,,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_MI_2026090903,40,4000,0.5754296875,1.112671875,0.0847575516289,
2026090904,0.2685,1500,1509,1481,1510,0.529660807292,1.01581291667,0.095928249446,,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_MI_2026090904,40,4000,0.528580729167,1.01747916667,0.0982479664479,
2026090905,0.254333333333,1438,1528,1529,1505,0.56029921875,1.081213125,0.0893729405802,,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_MI_2026090905,40,4000,0.564596354167,1.08680729167,0.0873968727537,
2026090906,0.259166666667,1520,1513,1507,1460,0.528722005208,1.01514833333,0.095032902498,,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_MI_2026090906,40,4000,0.528580729167,1.01511979167,0.0937059084302,
2026090907,0.217333333333,1468,1500,1531,1501,0.524260546875,1.01243375,0.0980416876894,,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_MI_2026090907,40,4000,0.523294270833,1.01113020833,0.09780037046,
2026090908,0.239166666667,1536,1508,1526,1430,0.541855208333,1.04018598958,0.094390182162,,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_MI_2026090908,40,4000,0.553763020833,1.05747395833,0.0896742867389,
2026090909,0.2435,1521,1537,1557,1385,0.540120703125,1.03357109375,0.0909784147335,,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_MI_2026090909,40,4000,0.558606770833,1.05934895833,0.0867793911716,
2026090910,0.257333333333,1454,1501,1520,1525,0.513865494792,0.986559010417,0.097236976854,,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_MI_2026090910,40,4000,0.510625,0.97959375,0.0972586592412,
2026090911,0.292166666667,1531,1511,1491,1467,0.5187953125,0.993458125,0.0969521983376,,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_MI_2026090911,40,4000,0.524270833333,1.00328645833,0.0953344400775,
2026090912,0.2615,1472,1519,1531,1478,0.543582291667,1.04493947917,0.0931118703136,,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_MI_2026090912,40,4000,0.541940104167,1.03579166667,0.0929869691908,
2026090913,0.298333333333,1503,1495,1488,1514,0.51338671875,0.98089390625,0.0970974147247,,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_MI_2026090913,40,4000,0.5098046875,0.9798125,0.0999144474579,
2026090914,0.269666666667,1451,1444,1527,1578,0.514567578125,0.98416765625,0.0979268543264,,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_MI_2026090914,40,4000,0.524036458333,0.995458333333,0.0927069548557,
2026090915,0.2615,1555,1492,1458,1495,0.506748567708,0.972257708333,0.0998422500559,,no_fairness,linear,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_linear_MI_2026090915,40,4000,0.484270833333,0.932442708333,0.104752793099,
