seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026100800,0.188666666667,1446,1536,1545,1473,0.45678828125,0.00620130208333,0.220644703037,0.5555875,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_AI_2026100800,40,4000,0.4648046875,-0.0158463541667,0.230207856945,0.53875
2026100801,0.2325,1498,1480,1487,1535,0.458521223958,-0.00932330729167,0.223165301872,0.5390375,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_AI_2026100801,40,4000,0.465559895833,0.00631510416667,0.21866990623,0.56625
2026100802,0.181,1546,1519,1422,1513,0.4500921875,0.00176197916667,0.216634929127,0.542225,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_AI_2026100802,40,4000,0.457708333333,-0.00354166666667,0.216451457814,0.545
2026100803,0.212833333333,1503,1421,1579,1497,0.460676692708,-0.00608294270833,0.219577902562,0.5455125,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_AI_2026100803,40,4000,0.458567708333,-0.0200260416667,0.222594199859,0.52625
2026100804,0.205166666667,1468,1544,1520,1468,0.453274479167,0.0199546875,0.20882261161,0.567875,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_AI_2026100804,40,4000,0.474544270833,0.0379557291667,0.200350130343,0.615
2026100805,0.174333333333,1486,1494,1503,1517,0.465017838542,0.0166696614583,0.21152272271,0.578025,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_AI_2026100805,40,4000,0.4711328125,0.0111588541667,0.206389898277,0.57875
2026100806,0.234166666667,1425,1567,1486,1522,0.446707161458,-0.0224154947917,0.233082980232,0.50915,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_AI_2026100806,40,4000,0.439505208333,-0.0415885416667,0.241007058572,0.4775
2026100807,0.2225,1504,1521,1465,1510,0.447913541667,-0.017996875,0.233558168031,0.5159,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_AI_2026100807,40,4000,0.458203125,0.0209635416667,0.219843775221,0.575
2026100808,0.2145,1482,1534,1519,1465,0.468264322917,0.0126627604167,0.219647329531,0.5771125,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_AI_2026100808,40,4000,0.467786458333,0.021796875,0.215061994218,0.5875
2026100809,0.214,1471,1473,1585,1471,0.462927083333,-0.00761458333333,0.222900663193,0.546375,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_AI_2026100809,40,4000,0.463932291667,0.0110677083333,0.211465751935,0.57
2026100810,0.1685,1555,1469,1443,1533,0.465455729167,0.0349609375,0.202151841244,0.6005,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_AI_2026100810,40,4000,0.4733984375,0.0318098958333,0.204253475229,0.60625
2026100811,0.228666666667,1466,1437,1549,1548,0.456271744792,-0.00161549479167,0.224982512597,0.5455875,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_AI_2026100811,40,4000,0.449986979167,0.0177213541667,0.217735935773,0.56125
2026100812,0.215333333333,1526,1477,1521,1476,0.451847005208,0.027142578125,0.216762548179,0.5747875,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_AI_2026100812,40,4000,0.4501953125,0.0206380208333,0.218839116055,0.565
2026100813,0.221333333333,1466,1530,1506,1498,0.467004296875,-0.014004296875,0.226041113677,0.5436,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_AI_2026100813,40,4000,0.452291666667,-0.054375,0.24495881898,0.4775
2026100814,0.209166666667,1488,1505,1488,1519,0.450953385417,0.0258799479167,0.222382596788,0.5722,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_AI_2026100814,40,4000,0.459166666667,0.01375,0.232379292691,0.5675
2026100815,0.221166666667,1541,1552,1413,1494,0.4642328125,0.00185052083333,0.219177432108,0.5593,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_AI_2026100815,40,4000,0.4670703125,0.0120963541667,0.217531781086,0.575
