seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026100800,250,250,0.491929166667,0.0179041666667,0.20608382344,0.6118,0.248,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100801,250,250,0.504497916667,0.0128354166667,0.221555308516,0.6208,0.26,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100802,250,250,0.40270625,-0.0365395833333,0.236380200297,0.4394,0.2,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100803,250,250,0.478260416667,-0.0134270833333,0.23142558523,0.5578,0.272,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100804,250,250,0.43030625,0.0165270833333,0.208467339593,0.5362,0.152,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100805,250,250,0.47983125,-0.00783125,0.213803136523,0.5664,0.24,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100806,250,250,0.496329166667,-0.0051625,0.22330650786,0.5894,0.296,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100807,250,250,0.463760416667,0.0102395833333,0.212992238731,0.5688,0.212,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100808,250,250,0.372822916667,-0.00065625,0.235572150365,0.4466,0.14,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100809,250,250,0.54314375,0.08185625,0.170386592021,0.75,0.16,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100810,250,250,0.45970625,0.0146270833333,0.223118361425,0.5692,0.212,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100811,250,250,0.478958333333,0.00220833333333,0.218976134066,0.5774,0.252,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100812,250,250,0.478320833333,-0.0126541666667,0.223744531539,0.5588,0.248,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100813,250,250,0.46745,0.0207166666667,0.202909754535,0.5858,0.196,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100814,250,250,0.385185416667,-0.0566854166667,0.264885878192,0.3942,0.228,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100815,250,250,0.49481875,0.02968125,0.195486783601,0.6294,0.184,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100800,500,250,0.499685416667,0.187314583333,0.131827909757,0.8244,0.18,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100801,500,250,0.396116666667,-0.0631166666667,0.249446230926,0.3996,0.238,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100802,500,250,0.438289583333,0.01554375,0.211028431531,0.5446,0.188,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100803,500,250,0.537345833333,0.154654166667,0.180574522706,0.8304,0.158,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100804,500,250,0.503616666667,0.28205,0.0905699003082,0.9428,0.08,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100805,500,250,0.49599375,0.0741729166667,0.187094483348,0.6842,0.224,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100806,500,250,0.443902083333,-0.0684020833333,0.25458080689,0.4506,0.262,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100807,500,250,0.447414583333,-0.0199145833333,0.237326368315,0.513,0.276,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100808,500,250,0.427802083333,-0.00780208333333,0.227039826,0.504,0.202,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100809,500,250,0.4599,0.0849333333333,0.195159974568,0.6538,0.138,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100810,500,250,0.460939583333,0.115727083333,0.201676424568,0.692,0.174,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100811,500,250,0.436585416667,-0.04191875,0.243365642894,0.4736,0.238,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100812,500,250,0.44494375,-0.0576104166667,0.250326421231,0.4648,0.248,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100813,500,250,0.479975,0.0746916666667,0.170286013138,0.6656,0.196,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100814,500,250,0.435272916667,-0.0407729166667,0.23577699305,0.4734,0.232,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100815,500,250,0.47685625,0.00731041666667,0.220056348826,0.581,0.226,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100800,750,250,0.457272916667,0.32189375,0.0541618172554,0.935,0.128,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100801,750,250,0.443147916667,-0.0508145833333,0.232130001294,0.4708,0.245333333333,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100802,750,250,0.499222916667,0.109277083333,0.176828353769,0.7302,0.150666666667,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100803,750,250,0.479816666667,0.00651666666667,0.22956168669,0.5836,0.173333333333,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
2026100804,750,250,0.4689125,0.0484208333333,0.192859555944,0.6208,0.132,no_fairness,threshold,AI,6000,2000,100,20,13,0,0,1,random,mean,250
