seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026100700,0.158,1510,1476,1537,1477,0.488451692708,0.077850390625,0.119871067985,0.6795625,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_FE_2026100700,40,4000,0.480325520833,0.0644661458333,0.118963048005,0.65375
2026100701,0.146333333333,1475,1525,1475,1525,0.491402994792,0.107388671875,0.12822872639,0.71855,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_FE_2026100701,40,4000,0.487526041667,0.121848958333,0.125237357342,0.73125
2026100702,0.1715,1492,1531,1495,1482,0.503473567708,0.075453515625,0.128706831088,0.6947125,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_FE_2026100702,40,4000,0.506354166667,0.1040625,0.128270574916,0.7325
2026100703,0.176,1518,1498,1458,1526,0.478690625,0.0528927083333,0.130143913558,0.6379,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_FE_2026100703,40,4000,0.462513020833,0.0468619791667,0.130190884728,0.61125
2026100704,0.1725,1442,1576,1524,1458,0.482151822917,0.04417109375,0.129826387587,0.6315875,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_FE_2026100704,40,4000,0.490455729167,0.0668359375,0.13078418812,0.66875
2026100705,0.192833333333,1487,1560,1479,1474,0.474664192708,0.0100649739583,0.143204731727,0.581675,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_FE_2026100705,40,4000,0.473815104167,-0.00298177083333,0.152592599049,0.565
2026100706,0.206333333333,1491,1496,1516,1497,0.498166666667,0.0515,0.133877040036,0.6596,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_FE_2026100706,40,4000,0.499401041667,0.0526822916667,0.132551471087,0.6625
2026100707,0.1975,1521,1482,1511,1486,0.482353645833,0.0147192708333,0.138670582646,0.5964875,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_FE_2026100707,40,4000,0.486575520833,0.0186328125,0.14354128815,0.60625
2026100708,0.183,1538,1505,1421,1536,0.488061588542,0.0265842447917,0.136056833109,0.617575,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_FE_2026100708,40,4000,0.480416666667,0.0195833333333,0.136156489407,0.6
2026100709,0.192166666667,1527,1508,1497,1468,0.487884895833,0.0358963541667,0.132505717511,0.6285375,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_FE_2026100709,40,4000,0.495546875,0.0440364583333,0.129018310547,0.6475
2026100710,0.17,1542,1501,1452,1505,0.48949453125,0.0383075520833,0.138603569058,0.6333625,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_FE_2026100710,40,4000,0.4845703125,0.0164713541667,0.142646978703,0.60125
2026100711,0.179833333333,1496,1507,1474,1523,0.498583984375,0.0595826822917,0.126633678922,0.6698,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_FE_2026100711,40,4000,0.504752604167,0.0567057291667,0.126083752548,0.67375
2026100712,0.177833333333,1542,1525,1474,1459,0.492828125,0.051671875,0.135751232876,0.6534,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_FE_2026100712,40,4000,0.493880208333,0.051953125,0.131398066428,0.655
2026100713,0.191833333333,1530,1486,1501,1483,0.480246354167,0.0329098958333,0.134305769543,0.6157875,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_FE_2026100713,40,4000,0.469791666667,0.0197916666667,0.139306054508,0.5875
2026100714,0.1515,1437,1514,1531,1518,0.496241666667,0.0789770833333,0.124974607724,0.6902625,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_FE_2026100714,40,4000,0.493697916667,0.0740104166667,0.129513757508,0.68125
2026100715,0.185166666667,1579,1474,1419,1528,0.489040234375,0.036459765625,0.134582616664,0.6306,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_FE_2026100715,40,4000,0.480520833333,0.0319791666667,0.137492061938,0.615
