seed,step,window_steps,group_relative_contribution,surplus,gini,success,acceptance_rate,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every
2026100700,250,250,0.555425,0.204241666667,0.0593442628668,0.9116,0.108,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100701,250,250,0.464560416667,-0.02289375,0.142992396845,0.53,0.244,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100702,250,250,0.43665,-0.0614833333333,0.149023384494,0.4502,0.196,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100703,250,250,0.504525,0.0533083333333,0.149578122008,0.6694,0.168,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100704,250,250,0.506522916667,0.0993104166667,0.117696889183,0.727,0.2,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100705,250,250,0.445714583333,-0.0177145833333,0.142813058263,0.5136,0.184,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100706,250,250,0.478414583333,0.0185854166667,0.12443029416,0.5964,0.208,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100707,250,250,0.465860416667,-0.02719375,0.149080805226,0.5264,0.168,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100708,250,250,0.471404166667,-0.0522375,0.151119283643,0.503,0.292,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100709,250,250,0.502720833333,0.202445833333,0.0938034050104,0.8462,0.04,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100710,250,250,0.511791666667,0.126041666667,0.123505170224,0.7654,0.184,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100711,250,250,0.525504166667,0.0521625,0.138777463391,0.6932,0.256,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100712,250,250,0.48581875,0.136014583333,0.103534874482,0.7462,0.108,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100713,250,250,0.466235416667,-0.0599020833333,0.151702015711,0.4876,0.288,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100714,250,250,0.46458125,-0.0264145833333,0.150007069729,0.5258,0.196,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100715,250,250,0.496439583333,0.0810604166667,0.113872055295,0.693,0.092,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100700,500,250,0.52619375,0.15480625,0.0769084989917,0.8172,0.116,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100701,500,250,0.472345833333,-0.0530125,0.1537036756,0.5032,0.28,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100702,500,250,0.502702083333,0.06463125,0.14346119617,0.6808,0.18,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100703,500,250,0.460175,0.0729916666667,0.131745468747,0.6398,0.144,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100704,500,250,0.478222916667,0.00794375,0.138628242026,0.5834,0.188,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100705,500,250,0.349379166667,-0.0315458333333,0.0908023181465,0.3814,0.15,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100706,500,250,0.521489583333,0.0420104166667,0.128732602286,0.6762,0.212,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100707,500,250,0.455352083333,-0.0258520833333,0.147419298025,0.5154,0.184,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100708,500,250,0.498666666667,0.1255,0.139140317581,0.749,0.216,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100709,500,250,0.493660416667,0.05650625,0.131610140648,0.6602,0.108,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100710,500,250,0.467879166667,0.0439541666667,0.117721024037,0.6142,0.152,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100711,500,250,0.5369875,0.139679166667,0.117640132008,0.812,0.2,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100712,500,250,0.4813125,0.0963541666667,0.123678680835,0.6932,0.154,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100713,500,250,0.469816666667,-0.01415,0.135510416765,0.5468,0.266,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100714,500,250,0.48440625,0.0119270833333,0.13155597395,0.5956,0.216,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100715,500,250,0.530579166667,0.1430875,0.107957611948,0.8084,0.088,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100700,750,250,0.518485416667,0.0835145833333,0.132746567086,0.7224,0.142666666667,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100701,750,250,0.517279166667,0.0930541666667,0.116999077542,0.7324,0.253333333333,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100702,750,250,0.494716666667,0.09645,0.134972067106,0.7094,0.16,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100703,750,250,0.4267375,9.58333333332e-05,0.147287070708,0.5122,0.128,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100704,750,250,0.500779166667,0.0435541666667,0.1353540943,0.6532,0.18,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100705,750,250,0.5054375,0.0183958333333,0.14328573953,0.6286,0.186666666667,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100706,750,250,0.445379166667,-0.0715458333333,0.154954518816,0.4486,0.22,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100707,750,250,0.431297916667,-0.116964583333,0.165365453866,0.3772,0.229333333333,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100708,750,250,0.477054166667,-0.0168875,0.139749656477,0.5522,0.233333333333,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100709,750,250,0.506360416667,0.0116395833333,0.137760058086,0.6216,0.156,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100710,750,250,0.512039583333,0.203460416667,0.0980427635457,0.8586,0.118666666667,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100711,750,250,0.453525,0.0328083333333,0.146304159195,0.5836,0.184,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100712,750,250,0.498972916667,0.08369375,0.143146564558,0.6992,0.150666666667,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
2026100713,750,250,0.482777083333,0.0287229166667,0.144088273122,0.6138,0.269333333333,no_fairness,threshold,FE,6000,2000,100,20,13,0,0,1,random,mean,250
