seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026100900,0.0973333333333,1447,1479,1536,1538,0.450649869792,0.228735546875,0.200055111724,0.8152625,no_fairness,threshold,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_MI_2026100900,40,4000,0.450872395833,0.2418359375,0.198001851818,0.83125
2026100901,0.143333333333,1510,1501,1514,1475,0.435728515625,0.179875651042,0.215478789911,0.738725,no_fairness,threshold,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_MI_2026100901,40,4000,0.447291666667,0.193333333333,0.209167800958,0.76875
2026100902,0.144166666667,1484,1478,1490,1548,0.452374609375,0.119927473958,0.214737348289,0.6867625,no_fairness,threshold,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_MI_2026100902,40,4000,0.463997395833,0.1255859375,0.20865730538,0.7075
2026100903,0.139166666667,1485,1458,1544,1513,0.468843489583,0.125062760417,0.206675800729,0.7126875,no_fairness,threshold,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_MI_2026100903,40,4000,0.478880208333,0.108619791667,0.203924870224,0.705
2026100904,0.0958333333333,1504,1457,1509,1530,0.457776171875,0.175609244792,0.2011493545,0.7600625,no_fairness,threshold,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_MI_2026100904,40,4000,0.468815104167,0.167643229167,0.197458408648,0.76375
2026100905,0.1095,1484,1488,1533,1495,0.425360807292,0.187264192708,0.223037806217,0.73515,no_fairness,threshold,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_MI_2026100905,40,4000,0.4516015625,0.2108984375,0.209143079845,0.795
2026100906,0.132,1498,1439,1539,1524,0.448716796875,0.107679036458,0.220178827513,0.667675,no_fairness,threshold,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_MI_2026100906,40,4000,0.451536458333,0.101588541667,0.218418339482,0.66375
2026100907,0.111166666667,1529,1452,1542,1477,0.461104036458,0.147656380208,0.212829912284,0.7305125,no_fairness,threshold,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_MI_2026100907,40,4000,0.452942708333,0.153307291667,0.216199256912,0.7275
2026100908,0.159833333333,1557,1533,1430,1480,0.461689322917,0.12382109375,0.20853543021,0.7026125,no_fairness,threshold,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_MI_2026100908,40,4000,0.459947916667,0.107760416667,0.210812966552,0.68125
2026100909,0.126833333333,1487,1512,1481,1520,0.441977083333,0.126564583333,0.218561753783,0.68225,no_fairness,threshold,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_MI_2026100909,40,4000,0.443411458333,0.123255208333,0.220134932105,0.68
2026100910,0.106333333333,1520,1492,1475,1513,0.45113203125,0.198951302083,0.209023474866,0.7801,no_fairness,threshold,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_MI_2026100910,40,4000,0.456184895833,0.193815104167,0.20729587079,0.78
2026100911,0.16,1526,1496,1466,1512,0.467668619792,0.122248046875,0.20610798432,0.7079,no_fairness,threshold,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_MI_2026100911,40,4000,0.46625,0.118125,0.203023739332,0.70125
2026100912,0.1525,1488,1489,1558,1465,0.443682421875,0.133723828125,0.219276091548,0.6928875,no_fairness,threshold,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_MI_2026100912,40,4000,0.448033854167,0.129049479167,0.215508629494,0.6925
2026100913,0.142833333333,1519,1476,1540,1465,0.447895052083,0.13053203125,0.218505329794,0.6941125,no_fairness,threshold,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_MI_2026100913,40,4000,0.439544270833,0.117747395833,0.222435132104,0.66875
2026100914,0.129666666667,1596,1453,1490,1461,0.448795833333,0.169652083333,0.205016342626,0.7421375,no_fairness,threshold,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_MI_2026100914,40,4000,0.4472265625,0.200690104167,0.198203223138,0.7775
2026100915,0.143666666667,1535,1487,1461,1517,0.459781640625,0.151655859375,0.210328024663,0.733725,no_fairness,threshold,MI,6000,2000,100,20,13,0,0,1,random,mean,250,no_fairness_threshold_MI_2026100915,40,4000,0.4716015625,0.1658984375,0.201166040317,0.765
