seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026090800,0.0721666666667,1458,1488,1524,1530,0.7965171875,2.03925265625,0.0263582476648,,resolution25,linear,AI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_AI_2026090800,40,4000,0.8014453125,2.051765625,0.0257042835507,
2026090801,0.173666666667,1545,1504,1481,1470,0.601346354167,1.51371588542,0.0644803937269,,resolution25,linear,AI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_AI_2026090801,40,4000,0.596197916667,1.50302604167,0.0649983445281,
2026090802,0.133833333333,1464,1539,1532,1465,0.675470442708,1.70306505208,0.0487698195915,,resolution25,linear,AI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_AI_2026090802,40,4000,0.683255208333,1.72303645833,0.0468247244534,
2026090803,0.167833333333,1510,1512,1543,1435,0.591358463542,1.48795776042,0.0659960397281,,resolution25,linear,AI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_AI_2026090803,40,4000,0.594427083333,1.49847395833,0.0637763621117,
2026090804,0.061,1566,1453,1501,1480,0.726365755208,1.86875817708,0.0307515881798,,resolution25,linear,AI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_AI_2026090804,40,4000,0.727643229167,1.87199479167,0.0304307748054,
2026090805,0.0406666666667,1509,1487,1525,1479,0.719321744792,1.86087526042,0.0410620706346,,resolution25,linear,AI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_AI_2026090805,40,4000,0.721848958333,1.86752083333,0.0401850082583,
2026090806,0.1435,1529,1457,1499,1515,0.601814583333,1.52880848958,0.0569051694035,,resolution25,linear,AI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_AI_2026090806,40,4000,0.615768229167,1.56383854167,0.0532377778887,
2026090807,0.101666666667,1492,1521,1460,1527,0.756320833333,1.91847052083,0.0284189216626,,resolution25,linear,AI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_AI_2026090807,40,4000,0.754244791667,1.91021354167,0.0302079090309,
2026090808,0.153333333333,1541,1460,1534,1465,0.605570052083,1.51612958333,0.0673605588878,,resolution25,linear,AI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_AI_2026090808,40,4000,0.619296875,1.555796875,0.0646061468765,
2026090809,0.174,1528,1509,1513,1450,0.584844791667,1.47637885417,0.0634194443111,,resolution25,linear,AI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_AI_2026090809,40,4000,0.585598958333,1.47903645833,0.0630629919163,
2026090810,0.146,1525,1460,1520,1495,0.617153385417,1.55805244792,0.0602712066964,,resolution25,linear,AI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_AI_2026090810,40,4000,0.625065104167,1.58124479167,0.0584310036738,
2026090811,0.18,1416,1542,1556,1486,0.577463411458,1.45262192708,0.0713893045622,,resolution25,linear,AI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_AI_2026090811,40,4000,0.589895833333,1.48511458333,0.0693517827414,
2026090812,0.180833333333,1491,1474,1512,1523,0.606781510417,1.54105088542,0.0677303220002,,resolution25,linear,AI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_AI_2026090812,40,4000,0.606471354167,1.53940104167,0.0684359868134,
2026090813,0.1765,1541,1411,1502,1546,0.571478385417,1.45192182292,0.064423505866,,resolution25,linear,AI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_AI_2026090813,40,4000,0.58078125,1.47415625,0.0634646037528,
2026090814,0.113333333333,1481,1490,1490,1539,0.7172234375,1.8070803125,0.0429499676376,,resolution25,linear,AI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_AI_2026090814,40,4000,0.710325520833,1.78809895833,0.0440523067714,
2026090815,0.1575,1524,1515,1479,1482,0.632839453125,1.5890809375,0.0558164099,,resolution25,linear,AI,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_AI_2026090815,40,4000,0.639479166667,1.60705729167,0.0531325096888,
