seed,acceptance_rate,agent_1_revisions,agent_2_revisions,agent_3_revisions,agent_4_revisions,group_relative_contribution,surplus,gini,success,experiment,game,treatment,steps,burn_in,thin,rounds,levels,beta,gamma,selection,initial,signal,diagnostic_every,run_id,retained_profiles,post_burn_profiles,snapshot_group_relative_contribution,snapshot_surplus,snapshot_gini,snapshot_success
2026090700,0.113333333333,1511,1495,1479,1515,0.670505078125,1.47511117188,0.0419529336095,,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_FE_2026090700,40,4000,0.675052083333,1.48511458333,0.0413996013319,
2026090701,0.174,1486,1468,1518,1528,0.558762369792,1.22927721354,0.0487369249434,,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_FE_2026090701,40,4000,0.566015625,1.245234375,0.0468893712355,
2026090702,0.132833333333,1509,1521,1441,1529,0.708913151042,1.55960893229,0.0386077209609,,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_FE_2026090702,40,4000,0.707486979167,1.55647135417,0.0380057787214,
2026090703,0.0891666666667,1444,1532,1483,1541,0.663341927083,1.45935223958,0.0405663724417,,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_FE_2026090703,40,4000,0.6650390625,1.4630859375,0.0398419027936,
2026090704,0.254166666667,1493,1505,1537,1465,0.529111588542,1.16404549479,0.0588819690866,,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_FE_2026090704,40,4000,0.531341145833,1.16895052083,0.0574279978313,
2026090705,0.125833333333,1539,1476,1503,1482,0.704112369792,1.54904721354,0.0412987721044,,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_FE_2026090705,40,4000,0.702643229167,1.54581510417,0.0414407684485,
2026090706,0.266,1485,1488,1487,1540,0.540732942708,1.18961247396,0.0571785863095,,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_FE_2026090706,40,4000,0.535729166667,1.17860416667,0.057252940049,
2026090707,0.180833333333,1500,1474,1523,1503,0.588544140625,1.29479710938,0.0487122899222,,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_FE_2026090707,40,4000,0.5929296875,1.3044453125,0.0469343243298,
2026090708,0.221666666667,1576,1418,1525,1481,0.56473203125,1.24241046875,0.0518766438128,,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_FE_2026090708,40,4000,0.5637109375,1.2401640625,0.0519805480792,
2026090709,0.1655,1510,1490,1475,1525,0.577762890625,1.27107835938,0.0529600380759,,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_FE_2026090709,40,4000,0.576184895833,1.26760677083,0.0521226161567,
2026090710,0.248833333333,1495,1525,1488,1492,0.539508072917,1.18691776042,0.0569711743518,,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_FE_2026090710,40,4000,0.553684895833,1.21810677083,0.0564783581727,
2026090711,0.261,1504,1487,1507,1502,0.537224348958,1.18189356771,0.0571180108777,,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_FE_2026090711,40,4000,0.544388020833,1.19765364583,0.0576094002865,
2026090712,0.064,1503,1500,1513,1484,0.8527171875,1.8759778125,0.0183224516513,,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_FE_2026090712,40,4000,0.851875,1.874125,0.0180477178158,
2026090713,0.0795,1494,1483,1510,1513,0.8,1.76,0.0246815831254,,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_FE_2026090713,40,4000,0.8,1.76,0.0246815831254,
2026090714,0.0211666666667,1504,1497,1469,1530,0.7921875,1.7428125,0.0156190947655,,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_FE_2026090714,40,4000,0.7921875,1.7428125,0.0156190947655,
2026090715,0.147,1516,1468,1533,1483,0.694911458333,1.52880520833,0.0397329942519,,resolution25,linear,FE,6000,2000,100,20,25,0,14,1,random,mean,250,resolution25_linear_FE_2026090715,40,4000,0.697903645833,1.53538802083,0.0393226915134,
